FID,(atom depth)-seq,Multiplicity seq
132, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
133, C 0 C 1 C 2 C 1 C 2 C 1 C 2 O 1, 1 1 1 1 1 1 1
134, C 0 C 1 C 2 C 1 C 2, 1 2 1 2
135, C 0 C 1 C 2 O 1 C 2, 1 1 1 1
136, C 0 C 1 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1 1
137, O 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 2
138, C 0 C 1 C 1 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
139, C 0 C 1 C 2 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
140, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
141, C 0 C 1 C 2 C 1 I 2, 1 1 1 1
142, C 0 C 1 C 2 C 2 C 2 C 1 O 2, 1 1 1 1 1 1
143, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
144, C 0 C 1 C 2 C 1 C 2 C 2 O 1, 1 1 1 1 1 1
145, C 0 C 1 C 2 C 1 Cl 2, 1 1 1 1
146, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1
147, O 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
148, C 0 C 1 I 2, 1 1
149, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
150, C 0 C 1 C 1 O 2, 1 1 1
151, C 0 C 1 C 1 C 2, 1 1 2
152, C 0 C 1 C 1 C 1 N 2, 1 1 1 3
153, N 0 N 1, 1
154, C 0 C 1 C 2 C 1 C 2 C 2 O 2, 1 1 1 1 1 1
155, C 0 C 1 C 2 Br 2, 1 2 1
156, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 1
157, C 0 C 1 C 2 C 1 C 2 C 1 O 2, 1 1 1 1 1 1
158, N 0 C 1 N 2 S 2, 1 1 2
