CID,na_in_C4,na_ex_Cl1,bd_in_2,LeafAC_C4_C4_1,C4_2_C4_2_1,C4_2_O2_2_1,C4_3_C4_3_2,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_2_N3_3_1,dg_in_1,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_O2_1,FC_28_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,na_ex_F1,na_in_S2,FC_78_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_63_C4_0_H1_1_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_1,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,ms
6269,0.272727,0.0,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.234481
1548887,0.772727,0.0,0.727273,0.166667,0.142857,0.0,0.333333,0.0,0.0,0.5,0,0.0,0,0.333333,0,0,0,0.0,0,0.23047
6587,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.5,0,0.177419
6278,0.0,0.3,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.674673
3776,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0415577
3672,0.363636,0.0,0.272727,0.5,0.142857,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.109077
6986,0.272727,0.0,0.0,0.5,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0584233
3718,0.681818,0.0,0.545455,0.166667,0.428571,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.194025
54678486,0.772727,0.0,0.636364,0.166667,0.571429,0.0,0.166667,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.199018
7410,0.272727,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.153444
5994,0.772727,0.0,0.0909091,0.5,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0918009
16724,0.272727,0.0,0.0909091,0.333333,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0959024
241,0.272727,0.0,0.272727,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.123075
8078,0.272727,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0234428
931,0.454545,0.0,0.454545,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.156285
8079,0.272727,0.0,0.0909091,0.0,0.714286,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0483508
7095,0.545455,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.150247
2378,1.0,0.0,1.0,0.0,0.714286,0.0,0.0,0.0,0.285714,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.17095
31423,0.727273,0.0,0.727273,0.0,0.285714,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.192051
6853,0.590909,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.162061
6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.5,0,0.243409
5950,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.141886
5754,0.818182,0.0,0.0909091,0.333333,0.428571,0.0,0.0,0.5,0.0,0.5,0,0.0,1,0.0,0,0,0,0.0,0,0.121134
5757,0.772727,0.0,0.272727,0.166667,0.428571,0.0,0.166667,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.105783
5865,0.818182,0.0,0.181818,0.333333,0.285714,0.0,0.0,0.0,0.0,0.5,0,0.0,1,0.0,0,0,0,0.0,0,0.143976
5753,0.818182,0.0,0.0909091,0.333333,0.428571,0.0,0.0,0.5,0.0,0.5,0,0.0,1,0.0,0,0,0,0.0,0,0.111712
7961,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.480391
2441,0.636364,0.0,0.636364,0.0,0.285714,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.361816
5353830,0.363636,0.0,0.272727,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0,0,0.5,0,0.332184
7416,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.5,0,0.247291
448537,0.636364,0.0,0.636364,0.333333,0.285714,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.133944
65394,0.590909,0.2,0.545455,0.0,0.285714,0.0,0.166667,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.326024
2537,0.318182,0.0,0.0,0.5,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0757747
6341,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1,0.0,0,0.0143854
11334,0.272727,0.2,0.272727,0.0,0.142857,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.450397
338,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.238557
7393,0.272727,0.0,0.272727,0.5,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0959024
996,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.162788
1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0164755
1049,0.227273,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.160128
8663,0.454545,0.0,0.454545,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.18171
8497,0.272727,0.0,0.272727,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.5,0,0.303691
243,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.211838
2879,0.272727,0.0,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.136661
3394,0.590909,0.0,0.545455,0.166667,0.285714,0.0,0.166667,0.0,0.0,0.5,0,0.0,0,0.333333,0,0,0,0.0,0,0.197579
2995,0.772727,0.0,0.545455,0.0,1.0,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,0,1,0,0.0,0,0.114017
798,0.363636,0.0,0.363636,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.16723
2519,0.227273,0.0,0.181818,0.0,0.0,0.0,0.166667,0.0,0.142857,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.20912
527,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0850334
8083,0.181818,0.0,0.0,0.0,0.285714,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0850334
190,0.227273,0.0,0.363636,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.258936
4763,0.454545,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.204592
2153,0.227273,0.0,0.181818,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.235646
178,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.126094
8434,0.318182,0.0,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.17989
1775,0.681818,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.211604
6386,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0379347
3715,0.727273,0.1,0.636364,0.166667,0.142857,0.0,0.333333,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.243561
3676,0.363636,0.0,0.272727,0.666667,0.142857,0.0,0.166667,0.0,0.142857,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.0959024
3120,0.318182,0.2,0.272727,0.0,0.0,0.0,0.166667,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.296978
8028,0.181818,0.0,0.0,0.0,0.428571,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0708202
1983,0.272727,0.0,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.180137
5284371,0.727273,0.0,0.363636,0.0,0.142857,0.0,0.333333,0.5,0.142857,0.0,0,0.333333,0,0.0,0,0,0,0.0,0,0.147719
2294,0.181818,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.169811
1031,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0415577
1110,0.0909091,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.227882
4463,0.636364,0.0,0.545455,0.166667,0.285714,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.195001
22311,0.272727,0.0,0.0909091,0.333333,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0540988
10871,0.272727,0.1,0.272727,0.166667,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.25436
6569,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0,0,0.0,0,0.0708202
3283,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0379347
5743,0.818182,0.0,0.181818,0.5,0.142857,0.0,0.0,0.5,0.0,0.5,0,0.0,1,0.333333,0,0,0,0.0,0,0.143573
702,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.047596
887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333,0,0.0,0,0,0,0.0,0,0.0596726
5760,0.681818,0.0,0.272727,0.0,0.428571,0.0,0.0,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.152775
6908,0.272727,0.0,0.272727,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0632956
5280360,0.772727,0.0,0.181818,0.166667,0.857143,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.105437
4748,0.909091,0.1,0.545455,0.0,0.857143,0.0,0.166667,0.0,1.0,0.5,0,0.0,0,0.0,1,0,0,0.0,0,0.183469
7047,0.409091,0.0,0.454545,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.182214
904,0.272727,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.155968
2331,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.180816
4914,0.409091,0.0,0.272727,0.333333,0.285714,0.5,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.116465
7812,0.272727,0.1,0.272727,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.264371
8857,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.111429
8020,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.666667,0,0.0,0,0,0,0.0,0,0.0875416
3825,0.636364,0.0,0.545455,0.166667,0.428571,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.188124
6575,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.958171
6584,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1,0.333333,0,0.0,0,0,0,0.0,0,0.135426
3661,0.681818,0.0,0.272727,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,0.12678
6013,0.772727,0.0,0.0909091,0.333333,0.571429,0.0,0.0,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0892479
1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.144209
3036,0.590909,0.5,0.545455,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.456906
9294,0.363636,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.101941
2244,0.272727,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.235646
10899,0.0,0.1,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.157164
2726,0.681818,0.1,0.545455,0.0,0.571429,0.0,0.166667,0.0,0.142857,0.5,0,0.0,0,0.0,1,0,0,0.0,0,0.202418
5452,0.863636,0.0,0.545455,0.0,0.857143,0.0,0.166667,0.0,0.285714,0.0,0,0.0,0,0.0,1,0,0,0.0,0,0.1641
463134,0.636364,0.0,0.545455,0.333333,0.285714,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.181091
2256,0.136364,0.1,0.272727,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.1879
7505,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.200411
8030,0.181818,0.0,0.181818,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0,0,0.0,0,0.277051
1174,0.181818,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.277051
8029,0.181818,0.0,0.181818,0.0,0.142857,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.180439
1140,0.272727,0.0,0.272727,0.166667,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.103148
5566,0.863636,0.0,0.545455,0.0,0.857143,0.0,0.166667,0.0,0.857143,0.0,0,0.0,0,1.0,1,0,0,0.0,0,0.195186
