CID,n,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,dg_hyd_0,dg_hyd_1,dg_hyd_2,dg_hyd_3,bd_in_2,bd_in_3,na_in_C,na_in_N,na_in_O,na_ex_C,na_ex_N,na_ex_O,C2_C2_1,C2_C2_2,C2_C2_3,C2_C3_1,C2_C3_2,C2_C4_1,C2_N2_1,C2_N2_2,C2_N3_1,C2_O2_1,C3_C3_1,C3_C3_2,C3_C4_1,C3_N2_1,C3_N2_2,C3_N3_1,C3_O2_1,C4_C4_1,C4_N2_1,C4_O2_1,N2_N2_1,N2_N2_2,N2_N3_1,N2_O2_1,N3_N3_1,FC_C0_O1/2,FC_C0_C1/1,FC_C0_O1/1,FC_C0_C1_C2/1/1,FC_C0_O1_C2/1/1,FC_C0_C1_O2/1/1,FC_O0_C1_C2/1/1,FC_C0_N1/1,FC_C0_C1_C2_C2/1/1/1,FC_N0_C1/1,FC_C0_C1_C1/1/1,FC_C0_C1_C2/1/2,FC_C0_O1_O1_C2/2/1/1,FC_O0_C1_C2_O2/1/1/2,FC_N0_C1_C2/1/1,FC_C0_N1_C2_C2/1/1/1,FC_C0_C1_C2_O2/1/1/2,FC_C0_N1_C2_C2_O1/1/1/1/2,FC_C0_N1_C2_O1/1/1/2,FC_C0_C1_O2/1/2,FC_C0_C1_O2_O1/1/1/1,FC_C0_C1_C2_C2/2/1/1,FC_C0_C1_C1_C1/1/1/1,FC_C0_C1_C1_C2/1/1/1,FC_C0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_O1/1/1/2,FC_C0_C1_C2_O2/1/1/1,FC_C0_C1_O2_O1/1/1/2,FC_C0_C1_N2/1/3,FC_C0_C1_C2/1/3,FC_C0_C1/2,FC_C0_C1_O1/1/2,FC_C0_C1_N2_O2/1/1/2,FC_C0_C1_C1/1/2,FC_C0_C1_O1/1/1,FC_O0_C1_O2/1/2,FC_C0_C1_C2_O1/1/3/1,FC_C0_C1_C2/2/1,FC_C0_C1_C2_C2_O2/1/1/1/1,FC_C0_C1_C2_O1/1/1/1,FC_N0_C1_N2_O2/1/1/2,FC_O0_C1_N2_O2/1/1/2,FC_C0_C1_C2_C1_O2/1/1/1/2,FC_C0_C1_C2_C1_C2_C2/1/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/1/1,FC_O0_C1_C2_C2/1/1/1,FC_N0_C1_C2_O2/1/1/2,FC_C0_C1_C2_C2/1/1/2,FC_N0_C1_C2_C1_C2/1/1/1/1,FC_N0_C1_C2_C2/1/1/1,FC_N0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/2/1,FC_C0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C1_C2_O1/1/1/1/1,FC_C0_C1_C2_C1_O2/1/1/1/1,FC_C0_C1_C2_C1_O2/2/1/1/2,FC_C0_C1_C1_C2_C1_C2/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O2/1/1/1/1/2,FC_C0_N1_C2_C2_N1_C2_C2_O1/1/1/1/1/1/1/2,FC_C0_C1_C2_C1_C2_C1_C2_O1/1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_C1_C1_O2/1/1/1/1,FC_C0_C1_C1_O1/1/1/1,FC_C0_C1_C2_C1_C2_C2_O1/1/1/1/1/1/1,FC_O0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_C1_C1_C2_C1_O2/1/1/1/1/1,FC_C0_C1/3,FC_C0_C1_C2_C1_C2_C2/1/1/1/1/2,FC_C0_C1_C2_C1_C2_C1_O2/1/1/1/1/1/2,FC_C0_C1_C2_O1_C2/1/1/1/1,FC_C0_C1_C2_C1_C2_C2_O2/1/1/1/1/1/1,FC_C0_N1_N2_O1/1/1/2,FC_C0_C1_C2_C1_C2/1/2/1/2,FC_C0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/2,FC_C0_N1_N2/1/1,FC_C0_C1_C2_C2_C1_O2/1/1/1/1/1,FC_C0_C1_C2_C2_C1_C2_O2/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O1/1/1/1/1/1,FC_O0_C1_C2_C2_C1_O2/1/1/1/1/2,FC_O0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C2_O2_O1/1/1/2/1,FC_C0_C1_C2_O1_O1_C2/1/2/2/1/1,FC_C0_C1_C2_C1_C2_O2/1/1/1/1/1,FC_O0_C1_C2_C1_C2/1/1/1/1,FC_C0_C1_C2_C1_C2/1/1/1/3,FC_N0_C1_C1/1/1,FC_C0_C1_C1_C2_O1/1/1/2/1,FC_C0_C1_C2_C2_C1_C2_C2_C2/1/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_O1/1/1/1/1/2,FC_C0_C1_C2_C2_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C1_O2/1/1/1,FC_C0_C1_C2_O1_O1_C2/1/1/2/1/1,FC_C0_C1_C2_C2_C1_C2_C2_O2/1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_C1_C1_C2_C1_C2_O1/1/1/1/1/1/1,FC_C0_C1_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1/1,FC_C0_C1_C1_O1_C2/1/1/1/1,FC_O0_C1_C2_C1_C2/1/1/1/2,FC_O0_C1/1,FC_C0_C1_C1_C2_O2/1/1/1/2,FC_O0_C1_C2_C1_C2_O2/1/1/1/1/2,FC_C0_C1_C1_C1/1/1/2,FC_C0_C1_C1_C1_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C2_C1_C2_C2_C2/1/1/1/1/1/1,FC_C0_N1_C2/1/1,FC_C0_C1_C2_C1_C2_C1_O2/1/1/1/1/1/1,FC_C0_C1_C2_C2_C1_C2_C2_O1/1/1/1/1/1/1/2,FC_C0_C1_C2_C2_C1_C2_C2_O1/1/1/1/1/1/1/1,FC_C0_C1_C1_C1_C2_C1_C2/1/1/1/1/1/1,FC_C0_C1_C2_O1/1/2/1,FC_C0_C1_C2_C1_C2/1/1/1/2
46,8,3,125,0,3,0,0,2,1,0,0,0,2,4,2,0,0,3,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,8,4,120,0,4,0,0,2,2,0,0,1,1,5,1,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,9,2,120,0,2,0,0,2,0,0,0,1,1,2,5,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,1,126.667,0,1,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8,3,130,0,2,1,0,2,1,0,0,3,0,3,2,0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,9,4,128.889,0,3,1,0,2,2,0,0,3,0,4,2,0,0,3,0,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,9,3,128.889,0,3,0,0,2,1,0,0,3,1,2,3,0,0,2,0,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7,2,125.714,0,2,0,0,2,0,0,0,1,1,2,3,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,6,1,126.667,0,0,1,0,0,0,0,0,2,0,2,2,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,7,2,125.714,0,2,0,0,2,0,0,0,2,0,3,2,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,8,3,120,0,2,1,0,2,1,0,0,0,1,4,3,0,0,3,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,6,1,133.333,0,0,1,0,0,0,0,0,3,1,1,1,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,8,1,125,0,0,0,1,0,0,0,0,1,1,3,3,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,8,1,125,0,0,1,0,0,0,0,0,2,2,0,4,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
