CID,dg_3,na_ex_O2,FC_12_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,n,ms,C4_2_O2_2_1,FC_6_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_27_N3_0_/_/_0,FC_14_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_3_C4_0_/_/_0,FC_1_C4_0_H1_1_/_1_/_0_0,bd_in_2,na_ex_N3,LeafAC_C4_C4_1,na_in_O2,LeafAC_N3_C4_1,LeafAC_C4_O2_1,FC_22_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,P5_4_S2_2_1,C4_2_S2_2_1,C4_4_O2_2_1,FC_15_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_65_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_62_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_2,FC_101_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_49_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_59_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_80_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
9195,0.3,0.0,0.0,0.254902,0.141617,0.0,0.0,0.0,0.0,0.75,0.833333,0.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
2336,0.4,0.0,0.0,0.313725,0.1599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
2336,0.4,0.0,0.0,0.313725,0.1599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
2336,0.4,0.0,0.0,0.313725,0.1599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
2336,0.4,0.0,0.0,0.313725,0.1599,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
9201,0.3,0.0,0.0,0.254902,0.141617,0.0,0.0,0.0,0.0,0.75,0.833333,0.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
7505,0.05,0.0,0.0,0.0784314,0.16196,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
3102,0.15,0.142857,0.0,0.196078,0.147404,0.0,0.0,0.0,0.0,0.25,0.833333,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
2347,0.25,0.285714,0.0,0.372549,0.133372,1.0,0.333333,0.0,0.0,0.375,0.75,0.6,0.0,0.2,0.285714,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
9782,0.35,0.714286,0.2,0.470588,0.11715,0.0,0.0,0.0,0.0,0.125,0.416667,0.2,0.0,0.6,0.0,0.0,0.0,1,0,0.0,0.0,1,0,0,0.25,0,0,0,0,0
7647,0.1,0.0,0.0,0.196078,0.100989,0.0,0.0,0.0,0.0,0.25,0.833333,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
7095,0.1,0.0,0.0,0.156863,0.122412,0.0,0.0,0.0,0.0,0.25,0.833333,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
6555,0.0,0.0,0.0,0.0196078,0.241457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7891,0.0,0.0,0.0,0.0392157,0.202807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
76308,0.15,0.285714,0.0,0.117647,0.396328,0.0,0.0,0.0,0.0,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0.25,0,0,0,0,0
7961,0.05,0.0,0.0,0.0588235,0.382689,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
8002,0.0,0.0,0.0,0.0196078,0.241457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
12754,0.1,0.0,0.0,0.0784314,0.505509,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7928,0.1,0.0,0.0,0.0784314,0.505509,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
11560,0.1,0.0,0.0,0.0784314,0.31064,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
263,0.0,0.142857,0.0,0.0196078,0.0338672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
6568,0.0,0.142857,0.0,0.0196078,0.0338672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0
8133,0.0,0.142857,0.0,0.0784314,0.0523031,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
31272,0.0,0.142857,0.0,0.0784314,0.0709987,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7705,0.05,0.0,0.0,0.117647,0.0617158,0.0,0.333333,0.0,0.0,0.125,0.416667,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
7366,0.05,0.0,0.0,0.117647,0.0617158,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
261,0.0,0.142857,0.0,0.0196078,0.0597933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
2537,0.1,0.142857,0.0,0.137255,0.0636993,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
6184,0.0,0.142857,0.0,0.0588235,0.0479982,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
454,0.0,0.142857,0.0,0.0980392,0.0418647,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
61143,0.0,0.0,0.0,0.0392157,0.0906565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
10554,0.0,0.0,0.0,0.0196078,0.105274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7474,0.1,0.285714,0.0,0.117647,0.304193,0.0,0.0,0.0,0.5,0.0,0.333333,0.3,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
13011,0.1,0.142857,0.0,0.0980392,0.203815,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
17833,0.1,0.142857,0.0,0.0980392,0.203815,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
12167,0.1,0.142857,0.0,0.0980392,0.203815,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7964,0.05,0.0,0.0,0.0588235,0.223809,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
249266,0.15,0.0,0.0,0.176471,0.189404,0.0,0.0,0.0,0.0,0.25,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
16322,0.15,0.0,0.0,0.176471,0.189404,0.0,0.0,0.0,0.0,0.25,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
16323,0.15,0.0,0.0,0.176471,0.189404,0.0,0.0,0.0,0.0,0.25,0.75,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
8005,0.0,0.0,0.0,0.0196078,0.105274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
6563,0.0,0.0,0.0,0.0196078,0.105274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
38252,0.25,0.0,0.0,0.215686,0.247828,0.0,0.0,0.0,0.0,0.5,0.583333,0.6,0.0,0.0,0.285714,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
75900,0.15,0.0,0.0,0.196078,0.203256,0.0,0.0,0.0,0.0,0.25,0.75,0.6,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
10992,0.0,0.0,0.0,0.0588235,0.0804244,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
10977,0.0,0.0,0.0,0.0392157,0.0906565,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
12245,0.0,0.0,0.0,0.0392157,0.0906565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
12016,0.05,0.0,0.0,0.0392157,0.0906565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7931,0.1,0.0,0.0,0.0784314,0.183536,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7238,0.1,0.0,0.0,0.0784314,0.183536,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7810,0.1,0.0,0.0,0.0784314,0.183536,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
5997,0.35,0.142857,0.2,0.470588,0.045987,0.0,0.0,0.0,0.0,0.125,0.416667,0.1,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
9171,0.3,0.0,0.0,0.27451,0.148118,0.0,0.0,0.0,0.0,0.75,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0
5753,0.4,0.571429,0.2,0.411765,0.0920312,0.0,0.0,0.0,0.0,0.125,0.416667,0.1,0.0,0.4,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
222786,0.35,0.714286,0.0,0.431373,0.10813,0.0,0.0,0.0,0.0,0.125,0.333333,0.1,0.0,0.4,0.0,0.0,0.0,1,0,0.0,0.0,1,0,0,0.0,0,0,0,0,0
323,0.15,0.142857,0.0,0.137255,0.190458,0.0,0.0,0.0,0.0,0.25,0.5,0.4,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
12343,0.0,0.0,0.0,0.0392157,0.0673263,0.0,0.0,0.0,0.0,0.0,0.333333,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
8078,0.0,0.0,0.0,0.0392157,0.0224421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7966,0.05,0.142857,0.2,0.0588235,0.0479982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7967,0.05,0.142857,0.0,0.0588235,0.0694865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
8079,0.0,0.0,0.0,0.0392157,0.042079,0.0,0.0,0.0,0.0,0.0,0.166667,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
9253,0.0,0.0,0.0,0.0196078,0.0224421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
8882,0.0,0.0,0.0,0.0196078,0.0466105,0.0,0.0,0.0,0.0,0.0,0.166667,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
16318,0.6,0.0,0.0,0.352941,0.792336,0.0,0.0,0.0,0.0,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
35876,0.6,0.0,0.0,0.372549,0.779974,0.0,0.0,0.0,0.0,0.25,0.0,0.6,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
8343,0.3,0.285714,0.0,0.470588,0.0756726,1.0,0.666667,0.0,0.0,0.25,0.333333,0.3,0.0,0.8,0.285714,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
568,0.2,0.0,0.0,0.176471,0.165256,0.0,0.0,0.0,0.0,0.5,0.666667,0.6,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
9216,0.2,0.0,0.0,0.196078,0.180835,0.0,0.0,0.0,0.0,0.5,0.666667,0.6,0.0,0.0,0.285714,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
3023,0.2,0.0,0.0,0.176471,0.197899,0.0,0.0,0.0,0.0,0.5,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
11414,0.1,0.0,0.0,0.0784314,0.664388,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7927,0.1,0.0,0.0,0.0784314,0.664388,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7804,0.1,0.0,0.0,0.0784314,0.664388,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7110,0.2,0.0,0.0,0.196078,0.42972,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
8909,0.0,0.0,0.0,0.0980392,0.0287894,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
10405,0.05,0.142857,0.0,0.117647,0.0397837,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
10489,0.0,0.0,0.0,0.0588235,0.177353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
16126,0.15,0.142857,0.0,0.117647,0.29593,0.0,0.0,0.0,0.0,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
16127,0.15,0.142857,0.0,0.117647,0.29593,0.0,0.0,0.0,0.0,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
7239,0.1,0.0,0.0,0.0784314,0.346629,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
10943,0.1,0.0,0.0,0.0784314,0.346629,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
4685,0.1,0.0,0.0,0.0784314,0.346629,0.0,0.0,0.0,0.0,0.0,0.333333,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0,0
36399,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
16308,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
25622,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
36980,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
36982,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
16307,0.2,0.0,0.0,0.196078,0.256396,0.0,0.0,0.0,0.0,0.25,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
