CID,n,M,C,O,H,C1O,C1C,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,2-branch_height,2-branch_number
10044,7,120,7,0,16,0,6,5,0,1,1,0,0,0,0,0.428571,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,1
356,8,120,8,0,18,0,7,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,2
11594,8,120,8,0,18,0,7,3,4,1,0,0,0,0,0,0.75,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,2
11519,8,120,8,0,18,0,7,3,4,1,0,0,0,0,0,0.75,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,2
11512,8,120,8,0,18,0,7,3,4,1,0,0,0,0,0,0.75,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,2
12096,8,120,8,0,18,0,7,3,4,1,0,0,0,0,0,0.625,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,1
11551,8,120,8,0,18,0,7,4,3,0,1,0,0,0,0,0.625,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,1,1
11447,8,120,8,0,18,0,7,4,2,2,0,0,0,0,0,0.625,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,1,1
11511,8,120,8,0,18,0,7,4,2,2,0,0,0,0,0,0.625,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,1,1
11592,8,120,8,0,18,0,7,4,2,2,0,0,0,0,0,0.625,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,1,1
11233,8,120,8,0,18,0,7,4,3,0,1,0,0,0,0,0.625,2,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,1,1
11412,8,120,8,0,18,0,7,4,2,2,0,0,0,0,0,0.625,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,1,1
11863,8,120,8,0,18,0,7,4,2,2,0,0,0,0,0,0.5,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0
14018,8,120,8,0,18,0,7,4,3,0,1,0,0,0,0,0.5,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0
11255,8,120,8,0,18,0,7,5,1,1,1,0,0,0,0,0.5,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0
10907,8,120,8,0,18,0,7,5,1,1,1,0,0,0,0,0.5,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11215,8,120,8,0,18,0,7,5,1,1,1,0,0,0,0,0.5,1,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11269,8,120,8,0,18,0,7,5,0,3,0,0,0,0,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11675,8,120,8,0,18,0,7,6,0,0,2,0,0,0,0,0.375,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,1,1
8141,9,120,9,0,20,0,8,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,1,2
16665,9,120,9,0,20,0,8,3,5,1,0,0,0,0,0,0.777778,2,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,1,2
14062,9,120,9,0,20,0,8,4,4,0,1,0,0,0,0,0.666667,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,1,2
28021,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,1,0,0,1,0,3,1,0,0,1,0,0,0,0,1,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
28022,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,1,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
19041,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,0,0,0,2,0,3,1,0,0,1,0,1,0,0,0,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
28023,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,1,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
14045,9,120,9,0,20,0,8,5,1,3,0,0,0,0,0,0.555556,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,1
28024,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,1,0,0,2,0,2,0,0,0,1,0,2,0,0,0,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
28025,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.555556,2,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,5,0,0,2,0,0,0,1,0,1,0,0,0,1,1
28026,9,120,9,0,20,0,8,5,2,1,1,0,0,0,0,0.444444,2,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,5,0,0,2,0,0,0,1,0,1,0,0,0,0,0
14040,9,120,9,0,20,0,8,5,1,3,0,0,0,0,0,0.444444,1,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0
14020,9,120,9,0,20,0,8,4,4,0,1,0,0,0,0,0.444444,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0
92723,9,120,9,0,20,0,8,6,1,0,2,0,0,0,0,0.444444,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0
14462,9,120,9,0,20,0,8,6,0,2,1,0,0,0,0,0.444444,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0
14058,9,120,9,0,20,0,8,6,1,0,2,0,0,0,0,0.444444,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0
28028,9,120,9,0,20,0,8,6,0,2,1,0,0,0,0,0.444444,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0
15600,10,120,10,0,22,0,9,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,2
23544,10,120,10,0,22,0,9,5,3,1,1,0,0,0,0,0.6,2,0,0,1,0,2,0,0,0,2,0,2,0,0,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0,1,2
26057,10,120,10,0,22,0,9,6,2,0,2,0,0,0,0,0.5,1,0,0,0,0,5,1,0,0,0,0,1,0,0,0,1,6,0,0,2,0,0,0,0,0,2,0,0,0,1,1
14067,10,120,10,0,22,0,9,6,2,0,2,0,0,0,0,0.5,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,0,0,1,1
14257,11,120,11,0,24,0,10,2,9,0,0,0,0,0,0,0.909091,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,2
23415,11,120,11,0,24,0,10,3,7,1,0,0,0,0,0,0.818182,1,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,0,1,0,0,0,0,0,1,2
8182,12,120,12,0,26,0,11,2,10,0,0,0,0,0,0,0.916667,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,2
112817,12,120,12,0,26,0,11,7,2,1,2,0,0,0,0,0.5,0,0,0,2,0,5,0,0,0,1,0,3,0,0,0,0,7,0,0,2,0,0,0,1,0,2,0,0,0,1,2
26058,12,120,12,0,26,0,11,7,2,1,2,0,0,0,0,0.5,0,0,0,1,0,6,0,0,0,2,0,2,0,0,0,0,7,0,0,2,0,0,0,1,0,2,0,0,0,1,2
11006,16,120,16,0,34,0,15,2,14,0,0,0,0,0,0,0.9375,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,1,2
15267,16,120,16,0,34,0,15,3,12,1,0,0,0,0,0,0.875,1,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,3,0,0,12,0,0,0,1,0,0,0,0,0,1,2
