CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_C2,ns_co_O2,ns_co_N2,ns_co_N3,ns_co_C4,ns_nc_O1,ns_nc_C2,ns_nc_C3,ns_nc_C1,ns_nc_N3,ns_nc_O2,ns_nc_N1,ns_nc_C4,ns_nc_N2,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C2_C3_1,ec_co_C2_C2_2,ec_co_C3_C3_1,ec_co_C3_O2_1,ec_co_C3_N2_1,ec_co_C2_N2_1,ec_co_C3_N3_1,ec_co_C2_N3_1,ec_co_C2_N2_2,ec_co_C3_C3_2,ec_co_N2_N2_2,ec_co_C2_O2_1,ec_co_C4_C4_1,ec_co_C3_C4_1,ec_co_C2_C4_1,ec_co_C4_O2_1,ec_co_C3_N2_2,ec_in_C3_C2_1,ec_in_C2_C2_2,ec_in_O2_C2_1,ec_in_C2_C2_1,ec_in_C3_C3_1,ec_in_C3_O2_1,ec_in_C3_C4_1,ec_in_C2_C3_1,ec_in_C3_N3_1,ec_in_O2_C3_1,ec_in_C2_O2_1,ec_in_N3_C2_1,ec_in_C3_N2_1,ec_ex_C3_C2_1,ec_ex_C2_O1_2,ec_ex_C3_C3_1,ec_ex_C3_O1_1,ec_ex_C3_O1_2,ec_ex_C2_O1_1,ec_ex_C2_C2_1,ec_ex_C3_C1_1,ec_ex_N3_C1_1,ec_ex_C3_N3_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C4_C1_1,ec_ex_C2_C1_1,ec_ex_C2_C1_2,ec_ex_C3_N1_1,ec_ex_O2_C2_1,ec_ex_C3_C1_2,ec_ex_O2_O1_1,ec_ex_C4_O2_1,ec_ex_N3_C2_1,ec_ex_C2_N1_3,ec_ex_N2_C1_1,ec_ex_C3_N2_1,ec_ex_N2_N1_1,ec_ex_C2_C2_2,ec_ex_N2_C2_2,ec_ex_C3_C4_1,ec_ex_O2_C3_1,ec_ex_C2_C3_1,nsH
2758,11,8,1,0,123.636,0,5,1,2,3,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2879,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3026,20,6,6,2,128,0,4,2,0,4,8,2,0,3,0,0,0,2,0,2,4,0,0,0,0,2,6,2,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3314,12,6,3,1,126.667,0,3,3,0,3,3,0,0,3,0,0,0,1,0,3,3,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3610,14,6,6,1,125.714,0,3,3,0,3,5,0,0,3,0,0,0,0,0,3,3,0,0,0,0,2,5,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4133,11,6,3,1,130.909,0,4,2,0,3,1,1,0,3,0,0,0,1,0,2,4,0,0,0,0,2,0,1,1,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4837,6,6,0,0,126.667,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5054,8,6,1,0,130,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6115,7,6,1,0,122.857,0,5,1,0,1,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6492,10,10,0,0,120,0,6,4,0,0,0,0,0,2,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6501,15,9,4,1,128,0,6,2,1,3,2,1,0,3,0,0,0,1,0,2,5,1,0,0,1,1,1,1,2,0,1,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6544,10,6,1,0,124,0,3,2,1,4,0,0,0,1,0,0,0,1,0,2,3,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6616,10,7,1,0,120,0,3,3,1,3,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
6623,17,13,1,0,124.706,0,8,4,1,4,0,0,0,6,0,0,0,0,0,4,8,0,0,0,1,2,0,0,2,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
6629,11,6,3,1,127.273,0,5,1,0,3,1,0,1,3,0,0,0,0,0,1,5,0,0,0,0,1,0,0,2,0,1,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12
6654,10,7,1,0,120,0,3,3,1,3,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
6780,16,14,1,0,125,0,8,6,0,2,0,0,0,6,0,0,0,2,0,6,8,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6781,16,6,4,2,130,0,4,2,0,4,4,2,0,3,0,0,0,2,0,2,4,0,0,0,0,2,2,2,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6787,30,6,11,2,125.333,0,4,2,0,4,18,2,0,3,0,0,0,2,0,2,4,0,0,0,0,2,16,2,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
6819,24,6,9,2,130,0,4,2,0,5,10,3,0,3,0,0,0,3,0,2,4,0,0,0,0,3,7,3,2,0,3,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
6877,12,6,4,1,128.333,0,4,2,0,3,2,1,0,3,0,0,0,1,0,2,4,0,0,0,0,1,1,1,1,0,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6893,9,6,1,0,122.222,0,3,3,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6896,9,6,1,0,122.222,0,3,3,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6917,8,5,2,0,127.5,0,3,2,0,2,1,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
6986,11,6,2,0,123.636,0,3,3,0,4,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
6989,11,6,2,0,123.636,0,3,3,0,4,0,1,0,3,0,0,0,0,0,3,3,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6998,9,6,2,0,128.889,0,4,2,0,2,1,0,0,3,0,0,0,1,0,2,4,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7000,9,6,2,0,126.667,0,4,2,0,2,1,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7015,13,12,1,0,121.538,0,9,3,0,1,0,0,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7017,13,12,1,0,123.077,0,9,3,0,1,0,0,0,6,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7044,10,10,0,0,120,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
7047,10,10,0,0,122,0,8,2,0,0,0,0,0,5,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7057,11,10,1,0,121.818,0,7,3,0,1,0,0,0,5,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7061,11,6,3,1,121.818,0,5,1,0,2,2,1,0,3,0,0,0,0,0,1,5,0,0,0,0,0,2,0,2,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15
7095,12,12,0,0,120,0,10,2,0,0,0,0,0,6,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7102,13,12,1,0,121.538,0,9,3,0,1,0,0,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
