CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_O2_2_1,C4_2_N3_2_1,FC_2_C4_0_/_/_0,LeafAC_C4_C4_1,na_in_N3,ms,C4_2_C4_2_1,na_ex_S2,LeafAC_O2_N3_2,C4_2_C4_2_2,LeafAC_O2_C4_2,FC_88_P5_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_N3_2_1,FC_40_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,bd_in_2,FC_50_N3_0_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_2_1_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_F1_1_/_1_/_0_0,na_ex_S6,FC_23_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_18_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_19_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_75_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_106_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Br1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_58_C4_0_S2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_S2_1,FC_39_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_3,C4_2_N3_3_1,FC_25_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_77_C4_0_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,dg_4,FC_42_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,C4_2_N3_2_2,LeafAC_C4_C4_2,FC_209_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0
6294,0.464286,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.249624,0.0952381,0.0,0.0,0.25,0.0,0,0.0,0.0,0.461538,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
17345,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.195816,0.0,0.5,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
13763156,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.265163,0.047619,0.0,0.0,0.0,0.25,0,0.0,0.0,0.153846,0.0,0.0,1,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
3680,0.678571,0.0,0.25,0.0,0.333333,0.0,0.1,0.666667,0.0,0.0947368,0.047619,0.0,0.0,0.125,0.75,0,0.0,0.0,0.153846,0.0,0.5,0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.8,0.0,0.0,0,0
21330,0.392857,0.0,0.0,0.0,0.333333,0.0,0.2,0.166667,0.2,0.15133,0.142857,0.0,0.0,0.25,0.25,0,0.4,0.0,0.307692,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
8702,0.214286,0.0,0.0,0.0,0.0,0.0,0.1,0.166667,0.0,0.126773,0.0,0.0,0.333333,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
6276,0.0714286,0.0,0.125,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0206628,0.047619,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.5,0,0.0,0.0,0.0,0,0
27689,0.321429,0.0,0.0,0.0,0.0,0.0,0.1,0.333333,0.4,0.100053,0.0952381,0.0,0.0,0.25,0.5,0,0.6,0.0,0.230769,0.0,0.0,0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,0
22407,0.392857,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.4,0.087218,0.047619,0.0,0.0,0.125,0.25,0,0.0,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.142857,0.0,0,0.0,0.0,0.0,0,0
11372,0.357143,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.252437,0.0952381,0.0,0.0,0.25,0.0,0,0.0,0.0,0.384615,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
13763155,0.25,0.0,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.246316,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.153846,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
4170,0.5,0.1,0.0,0.0,0.0,0.0,0.3,0.333333,0.4,0.169649,0.0952381,0.0,0.0,0.125,0.25,0,0.4,0.0,0.461538,0.0,0.0,1,0.5,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
2756,0.25,0.0,0.0,0.0,0.0,0.5,0.1,0.166667,0.8,0.117065,0.047619,0.0,0.0,0.0,0.0,0,0.8,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0,0
11428,0.0357143,0.0,0.125,0.0,0.0,0.0,0.0,0.333333,0.0,0.0206628,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
10708,0.214286,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.125,0.75,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
68056,0.214286,0.2,0.0,0.0,0.0,0.0,0.1,0.166667,0.0,0.269825,0.047619,0.0,0.0,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
6001,0.642857,0.0,0.0,0.0,0.0,0.0,0.6,0.333333,0.0,0.0986355,0.190476,0.0,0.0,0.375,0.0,0,0.0,0.0,0.692308,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
9570290,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.333333,0.2,0.156553,0.0952381,0.5,0.0,0.25,0.0,0,0.0,0.0,0.307692,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
10731,0.5,0.0,0.125,0.0,0.0,0.0,0.4,0.0,0.0,0.121404,0.142857,0.0,0.0,0.375,0.0,0,0.0,0.0,0.538462,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
1072,0.5,0.0,0.5,0.0,0.0,0.0,0.4,0.333333,0.8,0.129825,0.0,0.0,0.0,0.0,0.5,0,0.8,0.0,0.384615,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0,0.142857,0.0,0,0.0,0.5,0.0,0,0
3117,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.4,0.137622,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
12437,0.0357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
11265169,0.464286,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.2,0.113876,0.190476,0.0,0.0,0.25,0.5,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0,0.285714,0.0,0,0.0,0.0,0.0,0,0
7276,0.285714,0.0,0.0,0.0,0.333333,0.0,0.1,0.0,0.0,0.0968008,0.0952381,0.0,0.0,0.25,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
22094,0.5,0.2,0.125,0.0,0.0,0.0,0.2,0.333333,0.0,0.161958,0.0952381,0.0,0.0,0.25,0.25,0,0.0,0.0,0.461538,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
205,0.0357143,0.0,0.25,0.0,0.0,0.0,0.0,0.166667,0.0,0.0947368,0.0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
39985,0.5,0.2,0.0,0.0,0.0,0.0,0.3,0.166667,0.0,0.181287,0.047619,0.0,0.0,0.25,0.25,0,0.0,0.0,0.461538,0.0,0.0,0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
7294,0.0357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100585,0.0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0
31423,0.571429,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.121727,0.0952381,0.0,0.0,0.5,0.0,0,0.0,0.0,0.615385,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
135424354,0.214286,0.0,0.0,0.333333,0.0,0.0,0.2,0.5,0.6,0.0648091,0.047619,0.0,0.0,0.0,0.25,0,0.8,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,0
8263,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433918,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.8,0.0,0.0,0,0
9228,0.25,0.0,0.0,0.0,0.333333,0.0,0.2,0.0,0.2,0.147368,0.0952381,0.0,0.0,0.125,0.0,0,0.2,0.0,0.307692,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0,0
6945,0.214286,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243609,0.0952381,0.0,0.333333,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
3285,0.607143,0.0,0.25,0.0,0.0,0.0,0.2,0.166667,0.0,0.0749047,0.142857,0.0,0.0,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.0,0.0,0,0.4,0.0,0.0,0,0
12389,0.357143,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.00701754,0.428571,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
13763149,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.277803,0.047619,0.0,0.0,0.0,0.25,0,0.0,0.0,0.153846,0.0,0.0,1,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
8141,0.178571,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.00399274,0.190476,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
8800,0.25,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.139181,0.047619,0.0,0.0,0.125,0.25,0,0.4,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
7485,0.214286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147368,0.047619,0.0,0.333333,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.333333,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
6709,0.5,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.203509,0.142857,0.0,0.0,0.25,0.5,0,0.0,0.0,0.461538,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
67987,0.214286,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.23096,0.0,0.0,0.333333,0.125,0.25,0,0.0,0.0,0.230769,0.0,0.5,0,0.0,0.0,0.0,0.333333,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
5324,0.214286,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.161988,0.047619,0.0,0.0,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
15189033,0.535714,0.0,0.125,0.0,0.0,0.0,0.3,0.166667,0.4,0.118129,0.047619,0.0,0.0,0.0,0.5,0,0.0,0.0,0.307692,0.0,0.5,0,0.0,0.0,0.25,0.333333,0,0,0,0,0.0,0,0.285714,0.0,0,0.0,0.0,0.0,0,0
10973,0.0357143,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0651893,0.0,0.0,0.0,0.0,0.25,0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
6568,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.333333,0.0,0.0222222,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
980,0.214286,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.174269,0.047619,0.0,0.333333,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
11090,0.214286,0.0,0.0,0.0,0.0,0.0,0.1,0.166667,0.2,0.149875,0.0952381,0.0,0.333333,0.125,0.25,0,0.2,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
23439122,0.285714,0.0,0.0,0.0,0.0,0.0,0.2,0.333333,0.0,0.123977,0.0,0.0,0.333333,0.125,0.25,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.2,0.0,0.0,0,0
5280953,0.392857,0.0,0.0,0.0,0.0,0.25,0.4,0.166667,0.4,0.114787,0.0,0.0,0.0,0.25,0.0,0,0.4,0.0,0.461538,0.0,0.0,0,0.0,0.333333,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
2682,0.464286,0.0,0.125,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0156175,0.571429,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.5,0,0.0,0.0,0.0,0,0
31251,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.035589,0.238095,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
7907,0.0357143,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.00167811,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
1986,0.0714286,0.0,0.0,0.0,0.0,0.0,0.1,0.166667,0.6,0.259095,0.0,0.0,0.0,0.0,0.25,0,0.2,0.0,0.153846,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
15413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0206628,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
23448,0.428571,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25933,0.047619,0.0,0.0,0.25,0.0,0,0.0,0.0,0.461538,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
8580,0.357143,0.0,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.152632,0.0952381,0.0,0.333333,0.25,0.0,0,0.0,0.0,0.384615,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
8222,0.571429,0.0,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.00871534,0.714286,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
11145,0.321429,0.2,0.0,0.333333,0.0,0.0,0.1,0.166667,0.4,0.141308,0.047619,0.0,0.0,0.125,0.25,0,0.4,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0,0.142857,0.0,0,0.0,0.0,0.0,0,0
5801,0.214286,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.104094,0.0952381,0.0,0.0,0.125,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
3290,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.0871091,0.190476,0.0,0.0,0.25,0.0,0,0.0,0.0,0.461538,0.0,0.0,0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0.142857,0.0,0,0.0,0.0,0.0,0,0
98824,0.214286,0.0,0.125,0.0,0.0,0.0,0.0,0.166667,0.0,0.209569,0.0,0.0,0.666667,0.0,0.25,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.333333,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
11855,0.214286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580117,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.230769,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0
4093,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.166667,0.0,0.100585,0.0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0
