CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n,dg_in_4,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,N3_3_N3_3_1,C4_2_S2_2_1,FC_33_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_34_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_3_1,bd_in_2,C4_2_N3_2_1,dg_4,LeafAC_C4_C4_1,FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,C4_2_C4_3_2,FC_46_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_4_O2_2_1,LeafAC_C4_C4_2,ms,FC_1_C4_0_H1_1_/_1_/_0_0,FC_5_C4_0_O2_1_/_2_/_0_0,na_ex_N3
2249,0.25,0.0,0.0909091,0.333333,0.0,0.0,0.44,0,0,1,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.0,0.666667,0.0,0.333333,0,0,0,0.0858275,0.333333,0.0,0.25
2756,0.125,0.0,0.0909091,0.0,0.0,0.0,0.36,0,0,0,0,0,0.666667,0,0,0,0.0,0.111111,0.666667,0.0,0.333333,0.0,0.0,0,0,0,0.207745,0.0833333,0.0,0.5
3120,0.125,0.0,0.0,0.0,0.666667,0.0,0.24,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.426798,0.25,0.0,0.25
667467,0.625,0.0,0.363636,0.0,0.333333,0.0,0.52,0,0,0,0,0,0.0,0,0,0,0.0,0.666667,0.0,0.0,0.0,0.0,0.666667,0,0,0,0.255599,0.666667,0.0,0.25
446220,0.125,0.5,0.272727,0.0,0.0,0.0,0.56,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.145133,0.75,0.25,0.0
156391,0.375,0.0,0.0,0.0,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.0,0.333333,0.0,0.333333,0,0,0,0.18471,0.5,0.0,0.0
68617,0.375,0.0,0.272727,0.0,0.666667,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.5,1,0,0,0.27446,0.666667,0.0,0.25
597,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.111111,0.0,0.0,0.0,0.5,0.166667,0,0,0,0.303502,0.166667,0.25,0.25
2950,0.5,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.376989,0.5,0.5,0.0
222786,0.125,0.0,0.272727,0.0,0.0,0.0,0.72,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.666667,0.0,0.166667,0,0,0,0.104813,0.333333,0.5,0.0
3016,0.5,0.5,0.181818,0.0,0.333333,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.666667,0.333333,0.0,0.0,0.0,0.333333,0,0,0,0.311964,0.666667,0.25,0.0
1548887,0.625,0.0,0.0909091,0.0,0.0,0.0,0.68,0,0,0,0,0,0.0,0,0,0,0.0,0.777778,0.0,0.0,0.333333,0.0,0.666667,0,0,0,0.296892,0.666667,0.0,0.0
3647,0.25,0.0,0.0,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,1,0,0.0,0.222222,0.666667,0.333333,0.0,0.0,0.333333,0,0,0,0.651984,0.166667,0.0,0.25
3394,0.375,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.333333,0.0,0.333333,0,0,0,0.232648,0.666667,0.0,0.0
3325,0.25,0.0,0.0909091,0.0,0.0,0.0,0.48,0,0,0,0,0,1.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.5,0.166667,0,0,0,0.419215,0.0833333,0.0,1.0
3371,0.25,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,1,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.666667,0,0,0,0.391415,0.666667,0.0,0.0
223368,0.375,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0,0,0,0.108352,0.5,0.25,0.0
3639,0.25,0.0,0.0,0.0,0.333333,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.666667,0.333333,0.0,0.0,0.333333,0,0,0,0.6599,0.166667,0.0,0.25
1983,0.125,0.0,0.0909091,0.0,0.0,0.0,0.12,0,1,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.333333,0.0,0.333333,0,0,0,0.198578,0.333333,0.0,0.0
3672,0.25,0.0,0.0909091,0.0,0.0,0.0,0.28,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,1.0,0.0,0.333333,0,0,0,0.0597807,0.333333,0.0,0.0
4946,0.375,0.0,0.272727,0.333333,0.0,0.0,0.44,0,0,1,0,0,0.0,0,0,0,0.0,0.444444,0.333333,0.0,0.666667,0.0,0.5,0,0,0,0.0844683,0.583333,0.0,0.0
6989,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0,0,0.0,1,0,0,0.0,0.222222,0.0,0.0,1.0,0.0,0.166667,0,0,0,0.0340477,0.25,0.0,0.0
4740,0.25,1.0,0.272727,0.0,0.0,0.285714,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.111111,0.0,0.0,0.333333,0.0,0.0,0,0,0,0.173717,0.0833333,0.5,0.0
36679,0.125,0.0,0.0909091,0.0,0.0,0.0,0.28,0,0,0,0,0,0.0,1,0,0,0.0,0.222222,0.0,0.0,0.666667,0.0,0.333333,0,0,0,0.0597807,0.333333,0.0,0.25
135398634,0.25,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.0,0.0,0.5,0.0,0,0,0,0.398934,0.0833333,0.25,0.25
5353830,0.125,0.0,0.0909091,0.0,0.0,0.142857,0.36,0,0,0,0,0,0.0,0,0,0,0.5,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.495563,0.25,0.5,0.25
6047,0.125,0.0,0.0,0.0,0.0,0.0,0.24,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.233607,0.25,0.0,0.25
3718,0.5,0.0,0.272727,0.0,0.0,0.142857,0.52,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.333333,0.0,0.666667,0,0,0,0.225705,0.666667,0.25,0.0
4168,0.125,0.0,0.0909091,0.0,0.333333,0.142857,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.0,0.666667,0.5,0.333333,0,0,0,0.153844,0.166667,0.25,0.25
4173,0.0,0.0,0.0,0.0,0.0,0.142857,0.16,0,0,0,0,0,0.0,0,0,0,0.0,0.111111,0.333333,0.0,0.333333,0.0,0.166667,0,0,0,0.261509,0.0833333,0.0,0.25
4680,0.5,0.0,0.0,0.0,0.0,0.0,0.68,0,0,0,0,0,0.0,0,0,0,0.0,0.777778,0.333333,0.0,0.0,0.0,0.5,0,0,0,0.179425,0.583333,0.0,0.0
4421,0.25,0.0,0.0,0.0,0.0,0.142857,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.333333,0.0,0.0,0.666667,0.0,0.166667,0,0,0,0.246345,0.25,0.25,0.0
7005,0.25,0.0,0.272727,0.0,0.0,0.0,0.12,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.0,0.0,0.0,0.5,0,0,0,0.201651,0.583333,0.0,0.0
4488,0.25,0.0,0.181818,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,1,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.42936,0.583333,0.0,0.0
54675779,0.375,0.0,0.0909091,0.333333,0.0,0.0,1.0,0,0,0,1,0,0.0,0,0,0,0.0,0.444444,0.0,0.666667,0.333333,0.0,0.166667,0,0,0,0.253794,0.416667,0.5,0.5
9142,1.0,0.0,0.363636,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.666667,0,0,0,0.233076,1.0,0.0,0.0
4763,0.125,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.333333,0.333333,0.0,0.166667,0,0,0,0.246345,0.416667,0.75,0.0
1017,0.0,0.0,0.181818,0.0,0.0,0.0,0.16,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.376082,0.333333,0.0,0.0
1775,0.375,0.0,0.363636,0.0,0.0,0.0,0.44,1,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.333333,0.0,0.0,0.333333,0,0,0,0.260041,0.833333,0.5,0.0
4828,0.375,0.0,0.0909091,0.333333,0.0,0.0,0.4,0,0,1,0,0,0.0,0,0,0,0.0,0.333333,0.666667,0.0,0.666667,0.0,0.166667,0,0,0,0.0899154,0.416667,0.0,0.0
5994,0.125,0.0,0.363636,0.0,0.0,0.0,0.6,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.666667,1.0,0.0,0.166667,0,0,0,0.0260365,0.333333,0.25,0.0
4754,0.25,0.0,0.0909091,0.0,0.0,0.0,0.2,0,1,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.666667,0.0,0.333333,0,0,0,0.127948,0.333333,0.0,0.0
31423,0.75,0.0,0.181818,0.0,0.0,0.0,0.32,0,0,0,0,0,0.0,0,0,0,0.0,0.777778,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.221849,0.833333,0.0,0.0
1046,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,1,0,0.0,0,0,0,0.0,0.222222,0.666667,0.0,0.0,0.0,0.0,0,0,0,0.329747,0.25,0.0,0.25
338,0.0,0.0,0.181818,0.0,0.0,0.0,0.08,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.312688,0.333333,0.0,0.0
3478,0.375,0.0,0.545455,0.0,0.0,0.0,0.92,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.666667,0.333333,0.333333,0.0,0.5,0,0,0,0.211572,0.583333,0.5,0.0
3033,0.375,0.0,0.272727,0.0,0.666667,0.0,0.44,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.5,0,0,0,0.443781,0.583333,0.0,0.0
5329,0.25,0.0,0.0909091,0.0,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.333333,0.333333,0.5,0.5,0,0,0,0.356285,0.416667,0.0,0.25
5327,0.25,0.0,0.0909091,0.0,0.0,0.0,0.44,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.333333,0.666667,0.5,0.5,0,0,0,0.291378,0.416667,0.0,0.25
5320,0.125,0.0,0.0909091,0.0,0.0,0.0,0.24,0,1,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.333333,0.333333,0.5,0.333333,0,0,0,0.343648,0.333333,0.0,0.25
5215,0.25,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.333333,0.333333,0.0,0.5,0.333333,0,0,0,0.380014,0.583333,0.0,0.25
39147,0.375,0.0,0.0909091,1.0,0.0,0.0,0.56,0,0,1,0,0,0.0,0,0,1,0.0,0.222222,0.333333,0.0,1.0,0.0,0.166667,0,0,0,0.0665421,0.25,0.0,0.0
7950,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.5,0,0,0,1.0,0.25,0.0,0.0
5426,0.25,0.0,0.272727,0.0,0.0,0.0,0.44,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.341513,0.416667,1.0,0.0
1135,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.166667,0,0,0,0.288804,0.0833333,0.5,0.0
5324289,0.625,0.5,0.181818,0.0,0.0,0.142857,0.6,1,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.333333,0.0,0.0,0.333333,0,0,0,0.147434,0.5,0.0,0.0
1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0,0,0,0.387876,0.166667,0.5,0.0
1175,0.25,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.511716,0.0,0.75,0.0
174174,0.125,0.5,0.272727,0.0,0.0,0.0,0.52,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.0943594,0.666667,0.25,0.0
9502,0.125,0.0,0.0,0.0,0.666667,0.0,0.28,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,0,0.453547,0.25,0.25,0.0
4044,0.25,0.0,0.272727,0.0,0.0,0.0,0.4,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.666667,0.0,0.5,0,0,0,0.172363,0.583333,0.0,0.0
5505,0.125,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.333333,0.666667,0.0,0.333333,0,0,0,0.193271,0.333333,0.25,0.0
5284371,0.5,0.5,0.0909091,0.333333,0.0,0.142857,0.56,1,0,0,0,0,0.0,0,0,0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0,0,0,0.135259,0.583333,0.0,0.0
441071,0.5,0.0,0.363636,0.0,0.0,0.285714,0.68,1,0,1,0,0,0.0,0,0,0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.151489,0.833333,0.25,0.0
978,0.0,0.0,0.0909091,0.0,0.0,0.0,0.08,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.5,0.333333,0,0,0,0.252589,0.333333,0.0,0.25
4649,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.5,0.166667,0,0,0,0.299419,0.25,0.0,0.25
2206,0.125,0.5,0.181818,0.0,0.0,0.0,0.24,0,0,0,0,1,0.0,0,0,0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0,0,0,0.164692,0.5,0.25,0.0
5959,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.46793,0.333333,0.0,0.25
5753,0.125,0.0,0.272727,0.333333,0.0,0.0,0.68,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.666667,0.666667,0.0,0.166667,0,0,0,0.0649273,0.416667,0.25,0.0
2955,0.25,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.333333,0.0,1.0,0.666667,0,0,0,0.30491,0.666667,0.0,0.5
4909,0.125,0.0,0.181818,0.0,0.0,0.0,0.32,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.666667,0.333333,0.333333,0.0,0.166667,0,0,0,0.168503,0.416667,0.5,0.0
5870,0.25,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.333333,0.333333,0.0,0.166667,0,0,0,0.0795399,0.5,0.25,0.0
30951,0.25,0.0,0.0,0.0,0.333333,0.0,0.28,0,0,1,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.166667,0,0,1,0.321465,0.25,0.0,0.0
3385,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.333333,0.0,0.0,0.0,0.166667,0,0,0,0.547099,0.0833333,0.5,0.0
441140,0.375,0.0,0.0,0.0,0.333333,0.0,0.64,1,0,0,0,0,0.0,0,0,0,0.0,0.333333,0.0,0.333333,0.333333,0.0,0.333333,0,1,0,0.309516,0.166667,0.5,0.0
16562,0.125,0.0,0.0909091,0.0,0.0,0.0,0.32,0,0,0,0,0,0.0,0,1,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.309248,0.333333,0.0,0.25
3365,0.125,0.0,0.0,0.0,0.0,0.571429,0.56,0,0,0,0,0,0.0,0,0,0,1.0,0.666667,0.666667,0.333333,0.0,0.0,0.166667,0,0,0,0.352493,0.583333,0.0,0.0
3828,0.5,0.0,0.0,0.0,0.0,0.0,0.44,0,0,1,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.0,0.333333,0.0,0.166667,0,0,0,0.287435,0.25,0.25,0.0
135398737,0.625,0.5,0.363636,0.0,0.333333,0.571429,0.6,0,0,0,0,0,0.0,0,0,0,0.0,0.666667,0.0,0.0,0.0,0.0,0.5,0,0,0,0.222082,0.583333,0.0,0.0
6230,0.125,0.0,0.363636,0.0,0.0,0.0,0.56,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.666667,0.333333,0.0,0.166667,0,0,0,0.056162,0.416667,0.25,0.0
938,0.0,0.0,0.0909091,0.0,0.0,0.0,0.04,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.166667,0,0,0,0.329747,0.333333,0.0,0.0
4748,0.5,0.0,0.545455,0.0,0.333333,1.0,0.76,0,0,0,0,0,0.0,0,0,0,0.0,0.555556,0.0,0.0,0.0,0.0,0.5,0,0,0,0.205087,0.583333,0.0,0.0
1043,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,1.0,0.0,0.0,0.0,0.0,0,0,0,0.397986,0.333333,0.0,0.0
5147,0.0,0.0,0.181818,0.0,0.0,0.0,0.08,0,0,0,1,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.252589,0.333333,0.0,0.25
5333,0.0,0.0,0.0909091,0.0,0.0,0.0,0.12,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.0,0.0,0.5,0.333333,0,0,0,0.35808,0.333333,0.0,0.5
3475,0.125,0.0,0.272727,0.0,0.0,0.285714,0.56,0,0,0,0,0,0.0,0,0,0,0.5,0.222222,0.0,0.333333,0.333333,0.0,0.333333,0,0,0,0.194505,0.5,0.25,0.0
5572,0.125,0.0,1.0,0.0,0.0,0.428571,0.56,0,0,0,0,0,0.0,0,0,0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.166667,0,0,0,0.0,0.5,0.0,0.0
9170,0.75,0.0,0.545455,0.0,0.0,0.0,0.4,0,0,0,0,0,0.0,0,0,0,0.0,0.888889,0.0,0.0,0.0,0.0,1.0,0,0,0,0.203885,1.0,0.0,0.0
55245,0.5,0.0,0.363636,0.0,0.0,0.0,0.96,0,0,0,0,0,0.0,0,0,0,0.0,0.444444,0.0,0.666667,0.666667,0.0,0.5,0,0,0,0.076824,0.666667,0.25,0.25
