CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n,dg_in_4,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0
1175,0.25,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0
174174,0.125,0.5,0.272727,0.0,0.0,0.0,0.52,0,0,0,0
9502,0.125,0.0,0.0,0.0,0.666667,0.0,0.28,0,0,0,0
4044,0.25,0.0,0.272727,0.0,0.0,0.0,0.4,0,0,0,0
5505,0.125,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0
5284371,0.5,0.5,0.0909091,0.333333,0.0,0.142857,0.56,1,0,0,0
441071,0.5,0.0,0.363636,0.0,0.0,0.285714,0.68,1,0,1,0
978,0.0,0.0,0.0909091,0.0,0.0,0.0,0.08,0,0,0,0
4649,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0
2206,0.125,0.5,0.181818,0.0,0.0,0.0,0.24,0,0,0,0
5959,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.48,0,0,0,0
5753,0.125,0.0,0.272727,0.333333,0.0,0.0,0.68,0,0,0,0
2955,0.25,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0
4909,0.125,0.0,0.181818,0.0,0.0,0.0,0.32,0,0,0,0
5870,0.25,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0
30951,0.25,0.0,0.0,0.0,0.333333,0.0,0.28,0,0,1,0
3385,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,0
441140,0.375,0.0,0.0,0.0,0.333333,0.0,0.64,1,0,0,0
16562,0.125,0.0,0.0909091,0.0,0.0,0.0,0.32,0,0,0,0
3365,0.125,0.0,0.0,0.0,0.0,0.571429,0.56,0,0,0,0
3828,0.5,0.0,0.0,0.0,0.0,0.0,0.44,0,0,1,0
135398737,0.625,0.5,0.363636,0.0,0.333333,0.571429,0.6,0,0,0,0
6230,0.125,0.0,0.363636,0.0,0.0,0.0,0.56,0,0,0,0
938,0.0,0.0,0.0909091,0.0,0.0,0.0,0.04,0,0,0,0
4748,0.5,0.0,0.545455,0.0,0.333333,1.0,0.76,0,0,0,0
1043,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0,0,0,0
5147,0.0,0.0,0.181818,0.0,0.0,0.0,0.08,0,0,0,1
5333,0.0,0.0,0.0909091,0.0,0.0,0.0,0.12,0,0,0,0
3475,0.125,0.0,0.272727,0.0,0.0,0.285714,0.56,0,0,0,0
5572,0.125,0.0,1.0,0.0,0.0,0.428571,0.56,0,0,0,0
9170,0.75,0.0,0.545455,0.0,0.0,0.0,0.4,0,0,0,0
55245,0.5,0.0,0.363636,0.0,0.0,0.0,0.96,0,0,0,0
