CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n
3639,0.25,0.0,0.0,0.0,0.333333,0.0,0.36
1983,0.125,0.0,0.0909091,0.0,0.0,0.0,0.12
3672,0.25,0.0,0.0909091,0.0,0.0,0.0,0.28
4946,0.375,0.0,0.272727,0.333333,0.0,0.0,0.44
6989,0.0,0.0,0.0,0.0,0.0,0.0,0.12
4740,0.25,1.0,0.272727,0.0,0.0,0.285714,0.48
36679,0.125,0.0,0.0909091,0.0,0.0,0.0,0.28
135398634,0.25,0.0,0.0,0.0,0.0,0.0,0.12
5353830,0.125,0.0,0.0909091,0.0,0.0,0.142857,0.36
6047,0.125,0.0,0.0,0.0,0.0,0.0,0.24
3718,0.5,0.0,0.272727,0.0,0.0,0.142857,0.52
4168,0.125,0.0,0.0909091,0.0,0.333333,0.142857,0.48
4173,0.0,0.0,0.0,0.0,0.0,0.142857,0.16
4680,0.5,0.0,0.0,0.0,0.0,0.0,0.68
4421,0.25,0.0,0.0,0.0,0.0,0.142857,0.36
7005,0.25,0.0,0.272727,0.0,0.0,0.0,0.12
4488,0.25,0.0,0.181818,0.0,0.0,0.0,0.48
54675779,0.375,0.0,0.0909091,0.333333,0.0,0.0,1.0
9142,1.0,0.0,0.363636,0.0,0.0,0.0,0.48
4763,0.125,0.0,0.181818,0.0,0.0,0.0,0.36
1017,0.0,0.0,0.181818,0.0,0.0,0.0,0.16
1775,0.375,0.0,0.363636,0.0,0.0,0.0,0.44
4828,0.375,0.0,0.0909091,0.333333,0.0,0.0,0.4
5994,0.125,0.0,0.363636,0.0,0.0,0.0,0.6
4754,0.25,0.0,0.0909091,0.0,0.0,0.0,0.2
31423,0.75,0.0,0.181818,0.0,0.0,0.0,0.32
1046,0.0,0.0,0.0,0.0,0.0,0.0,0.04
338,0.0,0.0,0.181818,0.0,0.0,0.0,0.08
3478,0.375,0.0,0.545455,0.0,0.0,0.0,0.92
3033,0.375,0.0,0.272727,0.0,0.666667,0.0,0.44
5329,0.25,0.0,0.0909091,0.0,0.0,0.0,0.36
5327,0.25,0.0,0.0909091,0.0,0.0,0.0,0.44
5320,0.125,0.0,0.0909091,0.0,0.0,0.0,0.24
5215,0.25,0.0,0.181818,0.0,0.0,0.0,0.36
39147,0.375,0.0,0.0909091,1.0,0.0,0.0,0.56
7950,0.0,0.0,0.0,0.0,1.0,0.0,0.04
5426,0.25,0.0,0.272727,0.0,0.0,0.0,0.44
1135,0.0,0.0,0.0,0.0,0.0,0.0,0.04
5324289,0.625,0.5,0.181818,0.0,0.0,0.142857,0.6
1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175,0.25,0.0,0.0,0.0,0.0,0.0,0.16
174174,0.125,0.5,0.272727,0.0,0.0,0.0,0.52
9502,0.125,0.0,0.0,0.0,0.666667,0.0,0.28
4044,0.25,0.0,0.272727,0.0,0.0,0.0,0.4
5505,0.125,0.0,0.181818,0.0,0.0,0.0,0.4
5284371,0.5,0.5,0.0909091,0.333333,0.0,0.142857,0.56
441071,0.5,0.0,0.363636,0.0,0.0,0.285714,0.68
978,0.0,0.0,0.0909091,0.0,0.0,0.0,0.08
4649,0.0,0.0,0.0,0.0,0.0,0.0,0.12
2206,0.125,0.5,0.181818,0.0,0.0,0.0,0.24
5959,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.48
5753,0.125,0.0,0.272727,0.333333,0.0,0.0,0.68
2955,0.25,0.0,0.181818,0.0,0.0,0.0,0.36
4909,0.125,0.0,0.181818,0.0,0.0,0.0,0.32
5870,0.25,0.0,0.272727,0.0,0.0,0.0,0.48
30951,0.25,0.0,0.0,0.0,0.333333,0.0,0.28
3385,0.0,0.0,0.0,0.0,0.0,0.0,0.04
441140,0.375,0.0,0.0,0.0,0.333333,0.0,0.64
16562,0.125,0.0,0.0909091,0.0,0.0,0.0,0.32
3365,0.125,0.0,0.0,0.0,0.0,0.571429,0.56
3828,0.5,0.0,0.0,0.0,0.0,0.0,0.44
135398737,0.625,0.5,0.363636,0.0,0.333333,0.571429,0.6
6230,0.125,0.0,0.363636,0.0,0.0,0.0,0.56
938,0.0,0.0,0.0909091,0.0,0.0,0.0,0.04
4748,0.5,0.0,0.545455,0.0,0.333333,1.0,0.76
1043,0.25,0.0,0.0,0.0,0.0,0.0,0.08
5147,0.0,0.0,0.181818,0.0,0.0,0.0,0.08
5333,0.0,0.0,0.0909091,0.0,0.0,0.0,0.12
3475,0.125,0.0,0.272727,0.0,0.0,0.285714,0.56
5572,0.125,0.0,1.0,0.0,0.0,0.428571,0.56
9170,0.75,0.0,0.545455,0.0,0.0,0.0,0.4
55245,0.5,0.0,0.363636,0.0,0.0,0.0,0.96
