CID,bd_in_2,na_in_C4,FC_45_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,ms,C4_3_C4_3_1
392622,0.714286,0.903226,0,0.141736,0.125
5090,0.5,0.451613,0,0.237448,0.1875
5833,0.0714286,0.580645,0,0.105041,0.1875
441071,0.285714,0.612903,0,0.124994,0.3125
5339,0.714286,0.483871,0,0.28992,0.0
5340,0.357143,0.225806,0,0.340293,0.0
5343,0.428571,0.258065,0,0.21671,0.0
5344,0.357143,0.225806,0,0.22984,0.0625
1548887,0.571429,0.483871,0,0.220325,0.1875
5411,0.214286,0.290323,0,0.057707,0.0625
54675776,0.357143,0.516129,0,0.182214,0.4375
5370664,0.285714,0.16129,0,0.217011,0.0
31307,0.142857,0.516129,0,0.128979,0.0625
5546,0.571429,0.322581,0,0.217343,0.1875
54678486,0.5,0.483871,0,0.180047,0.3125
1188,0.142857,0.0967742,0,0.335653,0.0625
2130,0.0,0.258065,0,0.0057424,0.0
2157,0.5,0.548387,0,0.378338,0.3125
2165,0.571429,0.451613,0,0.156682,0.0625
2405,0.214286,0.322581,0,0.0492849,0.0
31101,0.357143,0.741935,0,0.178716,0.375
40473187,0.214286,0.677419,0,0.0637709,0.0625
667467,0.5,0.451613,0,0.193252,0.1875
2794,0.928571,0.709677,0,0.228689,0.1875
969516,0.571429,0.548387,0,0.175339,0.0
28417,0.214286,0.516129,0,0.081455,0.125
135398739,0.214286,0.225806,0,0.196784,0.0625
3059,0.428571,0.322581,0,0.299607,0.0625
3100,0.428571,0.419355,0,0.0740941,0.125
14208380,0.214286,0.387097,0,0.0629093,0.0625
150311,0.642857,0.709677,0,0.18855,0.25
28871,0.571429,0.451613,0,0.304677,0.125
3735,0.214286,0.193548,0,1.0,0.125
55283,0.857143,0.967742,0,0.194224,0.0
4189,0.571429,0.516129,0,0.372056,0.0625
55245,0.357143,0.709677,0,0.0760417,0.3125
4594,0.5,0.354839,0,0.188804,0.125
4829,0.428571,0.483871,0,0.180999,0.0625
4914,0.214286,0.225806,0,0.0743292,0.0625
441073,0.357143,0.483871,0,0.100192,0.25
5035,0.714286,0.83871,0,0.170072,0.25
135427209,0.642857,1.0,0,0.109103,1.0
441243,0.571429,1.0,0,0.101422,0.375
5323,0.428571,0.258065,0,0.246837,0.0
2733526,0.714286,0.645161,0,0.0834039,0.1875
65999,1.0,0.83871,0,0.148858,0.3125
5405,0.642857,0.83871,0,0.0617319,0.0625
5430,0.428571,0.258065,0,0.296548,0.125
