CID,bd_in_2,na_in_C4,FC_45_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,ms,C4_3_C4_3_1,FC_4_N3_0_/_/_0,FC_2_C4_0_/_/_0,dg_in_1,na_ex_Cl1,N3_2_N3_3_1,FC_33_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_25_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0
68570,0.214286,0.483871,0,0.0606497,0.1875,0.0,0.2,0.0,0.0,0.0,0,0
5870,0.214286,0.483871,0,0.0778223,0.1875,0.0,0.2,0.0,0.0,0.0,0,0
3295,0.285714,0.16129,0,0.32102,0.0,0.125,0.3,0.2,0.0,0.0,0,1
6419930,0.428571,0.774194,0,0.183423,0.8125,0.0,0.5,0.0,0.0,0.0,0,0
2758,0.0,0.16129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3335,0.428571,0.419355,0,0.166096,0.125,0.0,0.3,0.2,0.0,0.0,0,0
3374,0.285714,0.322581,0,0.21637,0.1875,0.125,0.3,0.0,0.0,0.0,0,0
3394,0.428571,0.354839,0,0.178205,0.125,0.0,0.3,0.2,0.0,0.0,0,0
135398658,0.5,0.483871,0,0.232217,0.1875,0.375,0.5,0.2,0.0,0.0,0,0
135398740,0.214286,0.16129,0,0.2029,0.0625,0.375,0.2,0.2,0.0,0.0,0,0
3478,0.428571,0.580645,0,0.164387,0.0625,0.25,0.3,0.0,0.0,0.0,0,0
441140,0.285714,0.354839,0,0.228602,0.1875,0.0,0.3,0.0,0.25,0.0,0,0
3559,0.428571,0.612903,0,0.163608,0.0625,0.125,0.2,0.0,0.25,0.0,0,0
24821094,0.714286,0.677419,0,0.16765,0.1875,0.625,0.6,0.2,0.0,0.5,0,0
5362440,0.642857,0.967742,0,0.0941403,0.3125,0.375,0.4,0.2,0.0,0.0,0,0
3715,0.5,0.451613,0,0.237089,0.125,0.125,0.4,0.2,0.25,0.0,0,0
3718,0.428571,0.419355,0,0.173653,0.1875,0.125,0.4,0.2,0.0,0.0,0,0
456201,0.571429,0.709677,0,0.207628,0.0,0.375,0.4,0.0,0.5,0.0,0,0
4011,0.428571,0.548387,0,0.0685582,0.25,0.0,0.5,0.2,0.0,0.0,1,0
4170,0.428571,0.387097,0,0.266175,0.1875,0.125,0.3,0.0,0.25,0.0,0,0
4409,0.357143,0.322581,0,0.111264,0.0,0.0,0.3,0.2,0.0,0.0,0,0
1302,0.357143,0.290323,0,0.146775,0.0625,0.0,0.3,0.2,0.0,0.0,0,0
64143,0.428571,0.806452,0,0.0946654,0.3125,0.125,0.2,0.2,0.0,0.0,0,0
4463,0.428571,0.387097,0,0.174904,0.125,0.375,0.4,0.0,0.0,0.0,0,0
4485,0.357143,0.354839,0,0.190422,0.375,0.0,0.3,0.4,0.0,0.0,0,0
4495,0.428571,0.322581,0,0.279978,0.0,0.0,0.3,0.2,0.0,0.0,0,0
4539,0.285714,0.354839,0,0.171908,0.1875,0.125,0.3,0.0,0.0,0.0,0,0
4543,0.5,0.516129,0,0.0768524,0.25,0.0,0.5,0.2,0.0,0.0,1,0
275196,0.428571,0.516129,0,0.172741,0.4375,0.0,0.6,0.0,0.0,0.0,0,0
4583,0.285714,0.419355,0,0.176595,0.25,0.25,0.4,0.0,0.0,0.0,0,0
4616,0.5,0.419355,0,0.273392,0.1875,0.125,0.4,0.0,0.25,0.0,0,0
4641,0.428571,0.483871,0,0.142898,0.125,0.25,0.2,0.2,0.0,0.0,0,0
4680,0.571429,0.451613,0,0.14331,0.125,0.125,0.4,0.0,0.0,0.0,0,0
4748,0.428571,0.580645,0,0.160135,0.0625,0.375,0.4,0.2,0.25,0.0,0,0
4754,0.214286,0.129032,0,0.10956,0.0,0.0,0.2,0.4,0.0,0.0,0,1
4756,0.5,0.290323,0,0.179452,0.0,0.375,0.2,0.0,0.0,0.0,0,0
4828,0.285714,0.290323,0,0.0846248,0.0625,0.0,0.3,0.2,0.0,0.0,0,0
4889,0.142857,0.516129,0,0.0775211,0.3125,0.0,0.1,0.4,0.0,0.0,0,0
4159,0.142857,0.516129,0,0.0870667,0.25,0.0,0.1,0.2,0.0,0.0,0,0
4909,0.214286,0.258065,0,0.136149,0.0,0.0,0.1,0.0,0.0,0.0,0,0
4911,0.214286,0.193548,0,0.152388,0.0,0.125,0.1,0.4,0.0,0.0,0,0
4926,0.428571,0.419355,0,0.12455,0.125,0.125,0.4,0.2,0.0,0.0,0,0
4927,0.428571,0.387097,0,0.12455,0.125,0.125,0.4,0.2,0.0,0.0,0,0
65981,0.428571,0.612903,0,0.0863235,0.125,0.125,0.4,0.4,0.0,0.0,0,1
445154,0.5,0.387097,0,0.177586,0.0,0.0,0.2,0.0,0.0,0.0,0,0
392622,0.714286,0.903226,0,0.141736,0.125,0.25,0.4,0.0,0.0,0.0,0,0
5090,0.5,0.451613,0,0.237448,0.1875,0.0,0.4,0.0,0.0,0.0,0,0
5833,0.0714286,0.580645,0,0.105041,0.1875,0.0,0.2,0.2,0.0,0.0,0,0
441071,0.285714,0.612903,0,0.124994,0.3125,0.25,0.4,0.0,0.0,0.0,0,0
5339,0.714286,0.483871,0,0.28992,0.0,0.375,0.4,0.0,0.0,0.0,0,0
5340,0.357143,0.225806,0,0.340293,0.0,0.125,0.2,0.0,0.0,0.0,0,0
5343,0.428571,0.258065,0,0.21671,0.0,0.25,0.2,0.0,0.0,0.0,0,0
5344,0.357143,0.225806,0,0.22984,0.0625,0.125,0.2,0.0,0.0,0.0,0,0
1548887,0.571429,0.483871,0,0.220325,0.1875,0.0,0.5,0.2,0.0,0.0,0,0
5411,0.214286,0.290323,0,0.057707,0.0625,0.0,0.2,0.4,0.0,0.0,0,0
54675776,0.357143,0.516129,0,0.182214,0.4375,0.0,0.3,0.0,0.0,0.0,0,0
5370664,0.285714,0.16129,0,0.217011,0.0,0.125,0.2,0.4,0.0,0.0,0,0
31307,0.142857,0.516129,0,0.128979,0.0625,0.0,0.1,0.2,0.0,0.0,0,0
5546,0.571429,0.322581,0,0.217343,0.1875,0.5,0.4,0.0,0.0,0.0,0,0
54678486,0.5,0.483871,0,0.180047,0.3125,0.0,0.4,0.2,0.0,0.0,0,0
1188,0.142857,0.0967742,0,0.335653,0.0625,0.125,0.2,0.0,0.0,0.0,0,0
2130,0.0,0.258065,0,0.0057424,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2157,0.5,0.548387,0,0.378338,0.3125,0.0,0.6,0.4,0.0,0.0,0,0
2165,0.571429,0.451613,0,0.156682,0.0625,0.125,0.5,0.2,0.25,0.0,0,0
2405,0.214286,0.322581,0,0.0492849,0.0,0.0,0.2,0.4,0.0,0.0,0,0
31101,0.357143,0.741935,0,0.178716,0.375,0.25,0.5,0.2,0.0,0.0,0,0
40473187,0.214286,0.677419,0,0.0637709,0.0625,0.125,0.5,0.2,0.0,0.0,0,0
667467,0.5,0.451613,0,0.193252,0.1875,0.0,0.5,0.2,0.25,0.0,0,0
2794,0.928571,0.709677,0,0.228689,0.1875,0.25,0.8,0.2,0.5,0.0,0,0
969516,0.571429,0.548387,0,0.175339,0.0,0.0,0.2,0.0,0.0,0.0,0,0
28417,0.214286,0.516129,0,0.081455,0.125,0.125,0.3,0.0,0.0,0.0,0,0
135398739,0.214286,0.225806,0,0.196784,0.0625,0.375,0.2,0.0,0.0,0.0,0,0
3059,0.428571,0.322581,0,0.299607,0.0625,0.0,0.2,0.0,0.0,0.0,0,0
3100,0.428571,0.419355,0,0.0740941,0.125,0.0,0.2,0.2,0.0,0.0,0,0
14208380,0.214286,0.387097,0,0.0629093,0.0625,0.0,0.1,0.0,0.0,0.0,0,0
150311,0.642857,0.709677,0,0.18855,0.25,0.125,0.3,0.0,0.0,0.0,0,0
28871,0.571429,0.451613,0,0.304677,0.125,0.125,0.5,0.2,0.25,0.0,0,0
3735,0.214286,0.193548,0,1.0,0.125,0.0,0.1,0.2,0.0,0.0,0,0
55283,0.857143,0.967742,0,0.194224,0.0,1.0,0.6,0.2,0.5,1.0,0,0
4189,0.571429,0.516129,0,0.372056,0.0625,0.25,0.2,0.0,1.0,0.0,0,0
55245,0.357143,0.709677,0,0.0760417,0.3125,0.0,0.4,0.2,0.0,0.0,0,0
4594,0.5,0.354839,0,0.188804,0.125,0.25,0.4,0.0,0.0,0.0,0,0
4829,0.428571,0.483871,0,0.180999,0.0625,0.125,0.3,0.0,0.0,0.0,0,0
4914,0.214286,0.225806,0,0.0743292,0.0625,0.0,0.1,0.2,0.0,0.0,0,0
441073,0.357143,0.483871,0,0.100192,0.25,0.25,0.3,0.0,0.0,0.0,0,0
5035,0.714286,0.83871,0,0.170072,0.25,0.125,0.7,0.0,0.0,0.0,0,0
135427209,0.642857,1.0,0,0.109103,1.0,0.375,0.8,0.4,0.0,0.0,0,0
441243,0.571429,1.0,0,0.101422,0.375,0.25,0.4,0.4,0.0,0.0,0,0
5323,0.428571,0.258065,0,0.246837,0.0,0.25,0.2,0.0,0.0,0.0,0,0
2733526,0.714286,0.645161,0,0.0834039,0.1875,0.0,0.5,0.2,0.0,0.0,0,0
65999,1.0,0.83871,0,0.148858,0.3125,0.375,1.0,0.2,0.0,0.0,0,0
5405,0.642857,0.83871,0,0.0617319,0.0625,0.125,0.3,0.0,0.0,0.0,0,0
5430,0.428571,0.258065,0,0.296548,0.125,0.25,0.4,0.0,0.0,0.0,0,0
