CID,na_in_C4,n,FC_27_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,C4_3_N3_2_1,dg_in_2,FC_3_C4_0_/_/_0,FC_14_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,na_ex_S2,FC_18_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,C4_4_O2_2_1,dg_in_4,na_ex_N3,FC_8_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,na_ex_F1,C4_2_S4_3_1,LeafAC_O2_S4_2,na_ex_S6,FC_43_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_67_C4_0_H1_1_H1_1_C4_1_Br1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,na_in_S6,FC_26_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_39_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_56_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_63_C4_0_N3_1_H1_2_/_2_1_/_0_0_0,C4_2_S2_2_1,FC_70_N3_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_64_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_74_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_N3_C4_2,LeafAC_F1_C4_1,N3_2_N3_2_2,dg_1,C4_3_S6_4_1,FC_46_N3_0_H1_1_S6_1_O2_2_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,bd_in_3,LeafAC_C4_S6_1,LeafAC_O2_S6_2,FC_45_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,N3_2_O2_2_1,FC_66_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,LeafAC_C4_C4_3,FC_51_C4_0_Br1_1_/_1_/_0_0,FC_58_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_40_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_68_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_73_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_62_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_42_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_71_C4_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_59_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_55_C4_0_C4_1_H1_2_H1_2_/_2_1_1_/_0_0_0_0,FC_61_C4_0_S2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_47_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_2_1,LeafAC_C4_S2_1,FC_57_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_29_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_41_N3_0_O2_1_H1_2_/_1_1_/_0_0_0,C4_2_C4_2_2,FC_32_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_1,n_in,FC_1_C4_0_H1_1_/_1_/_0_0,LeafAC_O2_C4_2
2803,0.142857,0.109091,0,0.3,0.285714,0.333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.195122,0.142857,0.0
5625,0.4,0.436364,0,0.5,0.428571,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.487805,0.333333,0.125
163410284,0.771429,1.0,0,1.0,0.964286,0.166667,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.853659,0.380952,1.0
5757,0.371429,0.218182,0,0.0,0.321429,0.333333,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.317073,0.285714,0.0
5757,0.371429,0.218182,0,0.0,0.321429,0.333333,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.317073,0.285714,0.0
5757,0.371429,0.218182,0,0.0,0.321429,0.333333,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.317073,0.285714,0.0
5757,0.371429,0.218182,0,0.0,0.321429,0.333333,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.317073,0.285714,0.0
73214,0.314286,0.363636,0,0.0,0.357143,0.333333,0,0,1,0.0,0.0,0.0,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.390244,0.190476,0.375
5556,0.342857,0.272727,0,0.0,0.428571,0.833333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333,0,0,0.390244,0.333333,0.0
5556,0.342857,0.272727,0,0.0,0.428571,0.833333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333,0,0,0.390244,0.333333,0.0
5556,0.342857,0.272727,0,0.0,0.428571,0.833333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333,0,0,0.390244,0.333333,0.0
5556,0.342857,0.272727,0,0.0,0.428571,0.833333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333,0,0,0.390244,0.333333,0.0
3696,0.371429,0.236364,0,0.0,0.357143,0.666667,0,0,0,0.0,0.0,0.333333,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.341463,0.380952,0.0
3823,0.571429,0.509091,0,0.0,0.785714,0.666667,0,0,0,0.666667,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.658537,0.52381,0.125
4171,0.2,0.2,0,0.0,0.25,0.333333,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.166667,0,0,0.219512,0.190476,0.0
4201,0.142857,0.127273,0,0.1,0.285714,0.166667,1,0,0,0.0,0.0,0.666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.195122,0.047619,0.0
4594,0.257143,0.290909,0,0.3,0.392857,0.666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.317073,0.190476,0.0
35370,0.114286,0.2,0,0.3,0.214286,0.0,0,0,0,0.0,0.0,0.666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.195122,0.142857,0.25
70835,0.0857143,0.163636,0,0.1,0.178571,0.333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.170732,0.047619,0.25
93219,0.0285714,0.127273,0,0.1,0.178571,0.333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.121951,0.047619,0.25
96448,0.0571429,0.145455,0,0.1,0.142857,0.333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.146341,0.047619,0.25
907652,0.0571429,0.0545455,0,0.2,0.214286,0.333333,1,0,0,0.0,0.0,0.333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.146341,0.142857,0.0
640537,0.0571429,0.0545455,0,0.2,0.214286,0.333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.146341,0.142857,0.0
