CID,na_in_C4,na_ex_Cl1,LeafAC_C4_C4_1,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,ms,na_ex_O2,FC_12_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_C4_3_2,LeafAC_O2_N3_2,C4_2_N3_3_1,na_ex_C4,FC_6_O2_0_/_/_0,C4_2_N3_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_N3,LeafAC_O2_S6_2,FC_14_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,bd_in_2,FC_63_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Br1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_S2_P5_2,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_28_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,na_in_S2,FC_21_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,LeafAC_Br1_C4_1,na_ex_I1,LeafAC_F1_C4_1,C4_2_O2_2_1,FC_24_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,dg_3,FC_60_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_O2_P5_1,C4_2_S2_2_1,FC_57_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_41_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_O2_C4_2,dg_in_4,FC_95_P5_0_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_S2_1_/_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_108_C4_0_H1_1_H1_1_C4_1_H1_2_N3_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_79_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_46_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,C4_4_C4_4_1,FC_38_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_O2_C4_1,LeafAC_N3_S6_1,FC_142_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_92_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_78_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_2
38411,0.210526,0.75,0.0,0.0,0.319932,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196078
66143,0.315789,0.0,0.285714,0.0,0.0295643,0.0,0.0,0.4,0.0,0.166667,0.375,0.166667,0.0,0.25,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0816327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313725
66066,0.368421,0.0,0.238095,0.1,0.018187,0.0434783,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22449,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.254902
71306322,0.421053,0.0,0.333333,0.0,0.0569766,0.173913,0.0,0.2,0.0,0.0,0.28125,0.25,0.0,0.1875,0.0,0.0,0.0,0.272727,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,0.230769,0.5,0.0,0,0.0612245,0.0,0.0,0.0714286,0.0,0.0769231,0.0,0.0,0.0,0.0,0.294118
3085092,0.491228,0.0,0.47619,0.2,0.036939,0.26087,0.0,0.0,0.0,0.0,0.4375,0.416667,0.0,0.1875,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.153846,0.5,0.0,0,0.142857,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0.0,0.0,0.490196
10494,0.385965,0.0,0.333333,0.1,0.0280962,0.130435,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.204082,0.0,0.0,0.0714286,0.0,0.153846,0.0,0.0,0.0,0.0,0.27451
198671,0.22807,0.0,0.47619,0.0,0.0301655,0.0869565,0.0,0.4,0.0,0.0,0.4375,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0204082,0.0,1.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.5,0.215686
73078,0.561404,0.0,0.0,0.0,0.0552812,0.173913,0.0,0.6,0.0,0.166667,0.1875,0.166667,0.0,0.375,0.0,0.0,0.285714,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470588
3389,0.45614,0.0,0.047619,0.0,0.0582198,0.0434783,0.166667,0.3,0.0,0.583333,0.09375,0.0833333,0.0,0.21875,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.166667,0.0588235,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45098
46212,0.491228,0.0,0.0,0.0,0.0362406,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.3125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431373
