CID,na_in_C4,na_ex_Cl1,LeafAC_C4_C4_1,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,ms,na_ex_O2,FC_12_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_C4_3_2,LeafAC_O2_N3_2,C4_2_N3_3_1,na_ex_C4,FC_6_O2_0_/_/_0,C4_2_N3_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_N3,LeafAC_O2_S6_2,FC_14_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,bd_in_2,FC_63_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Br1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_S2_P5_2,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_28_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,na_in_S2,FC_21_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,LeafAC_Br1_C4_1,na_ex_I1,LeafAC_F1_C4_1,C4_2_O2_2_1,FC_24_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,dg_3
39786,0.403509,0.0,0.380952,0.0,0.0319457,0.0,0.0,0.3,0.0,0.5,0.40625,0.0,0.0,0.21875,0.166667,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
122361420,0.561404,0.0,0.52381,0.3,0.0365489,0.347826,0.0,0.0,0.0,0.0,0.40625,0.25,0.0,0.28125,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
3740,0.350877,0.0,0.0,0.0,0.324658,0.26087,0.0,0.2,0.0,0.0,0.0625,0.25,0.0,0.0625,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.352941,0.0,0.3
14969,1.0,0.166667,0.190476,0.5,0.0771636,0.782609,0.0,0.7,0.0,0.0,0.28125,0.5,0.0,0.65625,0.5,0.0,0.0,0.681818,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
259846,0.368421,0.0,0.333333,0.1,0.0210972,0.0434783,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
94320,0.385965,0.0,0.380952,0.0,0.0355399,0.173913,0.0,0.1,0.0,0.0,0.3125,0.0,0.0,0.15625,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
40484,0.210526,0.75,0.0,0.0,0.319932,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275
42574,0.350877,0.166667,0.047619,0.0,0.206289,0.0869565,0.0,0.6,0.0,0.0,0.0625,0.0,0.0,0.25,0.166667,0.0,0.0,0.409091,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.3
5282181,0.368421,0.0,0.190476,0.2,0.0252583,0.0869565,0.0,0.2,0.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
38411,0.210526,0.75,0.0,0.0,0.319932,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275
66143,0.315789,0.0,0.285714,0.0,0.0295643,0.0,0.0,0.4,0.0,0.166667,0.375,0.166667,0.0,0.25,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.2
66066,0.368421,0.0,0.238095,0.1,0.018187,0.0434783,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
71306322,0.421053,0.0,0.333333,0.0,0.0569766,0.173913,0.0,0.2,0.0,0.0,0.28125,0.25,0.0,0.1875,0.0,0.0,0.0,0.272727,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
3085092,0.491228,0.0,0.47619,0.2,0.036939,0.26087,0.0,0.0,0.0,0.0,0.4375,0.416667,0.0,0.1875,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
10494,0.385965,0.0,0.333333,0.1,0.0280962,0.130435,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125
198671,0.22807,0.0,0.47619,0.0,0.0301655,0.0869565,0.0,0.4,0.0,0.0,0.4375,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
73078,0.561404,0.0,0.0,0.0,0.0552812,0.173913,0.0,0.6,0.0,0.166667,0.1875,0.166667,0.0,0.375,0.0,0.0,0.285714,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
3389,0.45614,0.0,0.047619,0.0,0.0582198,0.0434783,0.166667,0.3,0.0,0.583333,0.09375,0.0833333,0.0,0.21875,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.166667,0.0588235,0.0,0.225
46212,0.491228,0.0,0.0,0.0,0.0362406,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.3125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
62330,0.385965,0.0,0.0952381,0.0,0.0682623,0.0434783,0.0,0.5,0.0,0.0,0.0625,0.0,0.0,0.40625,0.0,0.0,0.0,0.590909,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225
56965767,0.438596,0.0,0.333333,0.0,0.0400792,0.26087,0.0,0.1,0.0,0.0,0.28125,0.0833333,0.0,0.15625,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
94053,0.614035,0.0,0.0,0.0,0.0545251,0.0869565,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,0.681818,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
65552,0.22807,0.0,0.0,0.0,0.392635,0.130435,0.0,0.4,0.0,0.0,0.03125,0.0833333,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.2
36276,0.315789,0.0,0.285714,0.0,0.0292807,0.0434783,0.166667,0.2,0.0,0.0,0.21875,0.0833333,0.0,0.0625,0.0,0.0,0.0,0.181818,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225
34457,0.54386,0.166667,0.0952381,0.1,0.0588339,0.217391,0.0,0.3,0.0,0.166667,0.125,0.0833333,0.0,0.3125,0.0,0.0,0.0,0.227273,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.275
12391,0.192982,0.0,0.0952381,0.0,0.00695013,0.0,0.333333,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11957499,0.403509,0.0,0.190476,0.0,0.0534888,0.130435,0.0,0.1,0.0,0.0,0.1875,0.25,0.125,0.21875,0.166667,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.325
2157,0.333333,0.0,0.142857,0.0,0.124795,0.0434783,0.166667,0.4,0.0,0.0833333,0.1875,0.166667,0.0,0.1875,0.0,0.0,0.0,0.318182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0588235,0.0,0.25
9115,0.421053,0.0,0.0,0.0,0.0791894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
55562,0.526316,0.0833333,0.047619,0.0,0.0902082,0.26087,0.0,0.7,0.0,0.0,0.09375,0.166667,0.0,0.46875,0.0,0.0,0.0,0.590909,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375
72519,0.561404,0.0,0.380952,0.0,0.0416117,0.173913,0.0,0.0,0.0,0.0,0.25,0.666667,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9386,0.175439,0.0,0.0,0.0,0.233519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3793,0.561404,0.166667,0.0952381,0.0,0.0748017,0.0434783,0.0,0.5,0.0,0.583333,0.09375,0.25,0.125,0.46875,0.0,0.0,0.0,0.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.375
37251,0.210526,0.666667,0.0,0.0,0.290383,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
16495,0.210526,0.666667,0.0,0.0,0.290383,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
12550,0.350877,0.0,0.238095,0.0,0.0527967,0.26087,0.166667,0.1,0.0,0.0,0.25,0.25,0.0,0.1875,0.0,0.0,0.0,0.136364,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
153274032,0.561404,0.0,0.380952,0.2,0.0556504,0.391304,0.0,0.1,0.0,0.166667,0.3125,0.166667,0.25,0.21875,0.0,0.0,0.0,0.409091,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.55
9117,0.385965,0.0,0.0,0.0,0.0751135,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
91706,0.280702,0.0,0.238095,0.0,0.0380231,0.0869565,0.0,0.1,0.0,0.0,0.34375,0.0,0.125,0.09375,0.0,0.0,0.142857,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225
102135,0.403509,0.0,0.333333,0.1,0.0319078,0.173913,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175
40500,0.210526,0.583333,0.0,0.0,0.260834,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225
99707,0.333333,0.0,0.285714,0.0,0.0350953,0.0434783,0.0,0.3,0.0,0.25,0.3125,0.0,0.0,0.21875,0.166667,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
5281847,0.438596,0.0,0.190476,0.0,0.0694543,0.304348,0.0,0.1,0.0,0.0,0.15625,0.0833333,0.0,0.28125,0.0,0.0,0.0,0.5,0.0,0.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
94056,0.614035,0.0,0.0,0.0,0.0456484,0.0869565,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.545455,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
65449,0.491228,0.0833333,0.0,0.0,0.0703106,0.0434783,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.409091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.3
457193,0.736842,0.0,0.571429,0.0,0.0563549,0.565217,0.0,0.0,0.0,0.333333,0.625,0.25,0.0,0.1875,0.166667,0.0,0.571429,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
9142,0.350877,0.0,0.0,0.0,0.070528,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
6434253,0.368421,0.0,0.190476,0.1,0.0279449,0.130435,0.0,0.2,0.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
5280453,0.368421,0.0,0.190476,0.2,0.0279449,0.130435,0.0,0.2,0.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
92391,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
36647,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
66498,0.298246,0.0,0.0,0.0,0.18344,0.0434783,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.225
5360807,0.385965,0.0,0.380952,0.1,0.0378512,0.26087,0.0,0.0,0.0,0.0,0.375,0.166667,0.0,0.125,0.0,0.0,0.0,0.136364,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.325
5889,0.385965,0.0,0.0,0.0,0.0676409,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
38016,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
38024,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
441139,0.421053,0.0,1.0,0.0,0.0465688,0.521739,0.0,0.0,0.0,0.0,0.9375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
7080,0.315789,0.0,0.0,0.0,0.0653312,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.409091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
40172,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
40496,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
71245,0.368421,0.0,0.142857,0.0,0.0485935,0.0,0.0,0.5,0.0,0.0,0.125,0.166667,0.0,0.40625,0.0,0.0,0.0,0.409091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.125
94052,0.578947,0.0,0.0,0.0,0.0586444,0.0869565,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,0.681818,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
37034,0.210526,0.5,0.0,0.0,0.231285,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
89921,0.368421,0.0,0.0,0.0,0.115622,0.0434783,0.0,0.5,0.0,0.166667,0.0625,0.0833333,0.0,0.40625,0.0,0.0,0.0,0.409091,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.175
10055855,0.526316,0.0,0.428571,0.2,0.0396622,0.26087,0.0,0.2,0.0,0.0,0.34375,0.333333,0.0,0.28125,0.166667,0.0,0.0,0.136364,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.425
5065,0.403509,0.0,0.285714,0.0,0.0579384,0.26087,0.666667,0.2,0.0,0.0833333,0.3125,0.333333,0.0,0.15625,0.0,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.4
9158,0.350877,0.0,0.0,0.0,0.070528,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
