CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,LeafAC_C4_C4_1,ms,FC_5_C4_0_O2_1_/_2_/_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_2_C4_0_/_/_0,rank,C4_2_O2_2_1,na_ex_S2,C4_2_N3_2_1,LeafAC_O2_P5_2,C4_2_C4_2_2,C4_2_N3_3_1,na_ex_F1,FC_33_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_N3_C4_1,LeafAC_C4_O2_1,FC_28_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_71_C4_0_O2_1_C4_1_H1_2_Cl1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_58_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_8_O2_0_/_/_0,N3_2_N3_2_1,n,N3_3_N3_3_1,C4_4_C4_4_1,C4_2_N3_2_2,LeafAC_O2_C4_2
2078,0.333333,0.0833333,0.0,0.333333,0.0915008,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.142857,0.0,0,0.0,0.25,0,0,0.0,1,0.0,0.0,0.413793,0,0.0,0.0,0.25
6293,0.583333,0.0,0.333333,0.0,0.167165,0.5,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.413793,0,0.0,0.0,0.5
5842,0.25,0.0,0.0,0.0,0.113205,0.75,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.75
135401907,0.208333,0.0,0.0,0.0,0.18425,0.25,0.0,0.166667,0.285714,0.0,0.0,0.333333,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.5,0.137931,0,0.0,0.5,0.25
439691,0.0416667,0.0,0.166667,0.166667,0.0684629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.0344828,0,0.0,0.0,0.25
2123,0.125,0.0,0.0,0.0,0.0658529,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.0
13263,0.125,0.0,0.0,0.5,0.0916519,0.0,0.0,0.166667,0.142857,0.0,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.0
16247,0.291667,0.0,0.0,0.166667,0.0780805,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,1,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.310345,0,0.0,0.0,0.25
36324,0.583333,0.0,0.0,0.666667,0.071064,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.333333,0.285714,0.0,0,0.0,0.0,0,0,0.333333,0,0.0,0.0,0.551724,0,0.0,0.5,0.0
688385,0.583333,0.0,0.166667,0.0,0.0994447,0.0,0.0,0.166667,0.428571,0.0,0.0,0.666667,0,0.166667,0.0,0.0,0,0.0,0.25,0,0,0.0,0,0.0,0.0,0.448276,0,0.0,0.5,0.0
11869385,0.708333,0.0,0.0,0.333333,0.0560108,0.5,0.0,0.0833333,0.571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.517241,0,0.0,0.0,0.5
118574610,0.708333,0.0,0.166667,0.333333,0.0419178,0.25,0.0,0.0,0.571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.517241,0,0.0,0.0,0.25
91687,0.333333,0.0833333,0.0,0.333333,0.165459,0.25,0.0,0.0833333,0.142857,0.0,0.5,0.0,0,0.166667,0.0,0.0,0,0.0,0.5,0,0,0.0,0,0.0,0.0,0.517241,0,0.0,0.0,0.25
6604848,0.458333,0.0,0.166667,0.166667,0.0874093,0.0,0.0,0.0833333,0.285714,0.0,0.0,0.333333,0,0.166667,0.0,0.0,0,0.0,0.25,0,0,0.0,0,0.0,0.0,0.448276,0,0.0,0.0,0.25
8418,0.583333,0.0,0.0,0.0,0.103062,0.0,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
6780,0.583333,0.0,0.0,0.0,0.147232,0.5,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.344828,0,0.0,0.0,0.5
2206,0.375,0.0,0.0,0.166667,0.0964936,0.25,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.333333,0,0.0,0.0,0.275862,1,0.0,0.0,0.25
6604340,0.458333,0.0,0.0,0.333333,0.0933872,0.5,0.5,0.166667,0.428571,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,1,0.0,0.0,0.5
54676315,0.208333,0.0,0.666667,0.0,0.151943,0.25,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.206897,0,0.0,0.0,0.25
6267,0.0833333,0.0,0.166667,0.0,0.115361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.666667,0.0,0,0,0.0,0,0.0,0.0,0.103448,0,0.0,0.0,0.5
2244,0.25,0.0,0.166667,0.166667,0.143867,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.241379,0,0.0,0.0,0.5
74989,0.916667,0.0833333,0.166667,0.0,0.1287,0.5,0.0,0.333333,0.571429,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.689655,0,0.0,0.0,0.5
2256,0.125,0.0833333,0.0,0.5,0.112822,0.0,0.0,0.166667,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
2266,0.291667,0.0,0.333333,0.0,0.0700621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.241379,0,0.0,0.0,0.5
2272,0.5,0.0,0.0,0.0,0.108952,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
19662,0.333333,0.0833333,0.166667,0.0,0.250547,0.25,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.166667,0.142857,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.5
2319,0.333333,0.0,0.0,0.333333,0.144514,0.0,0.5,0.0833333,0.142857,0.0,0.0,0.0,0,0.0,0.142857,0.428571,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.586207,0,0.0,0.0,0.0
28780,0.458333,0.0,0.0,0.166667,0.103742,0.25,0.5,0.25,0.285714,0.0,0.0,0.333333,0,0.166667,0.0,0.0,0,0.0,0.25,0,0,0.0,0,0.0,0.0,0.517241,0,0.0,0.0,0.5
7037,0.541667,0.0,0.166667,0.0,0.0910574,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
6463,0.541667,0.0,0.333333,0.0,0.118801,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.37931,0,0.0,0.0,0.25
31593,0.5,0.0,0.0,0.0,0.137353,0.25,0.0,0.0833333,0.285714,0.0,0.0,0.666667,0,0.5,0.285714,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.448276,0,0.0,0.0,0.25
9195,0.708333,0.0,0.0,0.0,0.104179,0.0,0.0,0.5,0.571429,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.37931,0,0.0,0.0,0.0
2336,0.833333,0.0,0.0,0.0,0.119258,0.0,0.0,0.666667,0.714286,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.482759,0,0.0,0.0,0.0
9153,0.833333,0.0,0.0,0.0,0.119258,0.0,0.0,0.666667,0.714286,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.482759,0,0.0,0.0,0.0
6796,0.541667,0.0,0.0,0.0,0.115993,0.0,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.25,0.0
9152,0.833333,0.0,0.0,0.0,0.119258,0.0,0.0,0.666667,0.714286,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.482759,0,0.0,0.0,0.0
2337,0.291667,0.0,0.0,0.166667,0.0944846,0.25,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.25
667422,0.583333,0.0,0.166667,0.0,0.108531,0.25,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.344828,0,0.0,0.0,0.25
10853,0.291667,0.0,0.0,0.0,0.0933872,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.333333,0,0.333333,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.25
124917198,0.875,0.0,0.333333,0.666667,0.0778878,0.5,0.5,0.166667,0.571429,0.0,0.0,0.0,0,0.166667,0.0,0.142857,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.965517,0,0.142857,0.0,0.75
7647,0.583333,0.0,0.0,0.0,0.0706714,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
7095,0.5,0.0,0.0,0.0,0.0883392,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.0
6552009,0.291667,0.0,0.166667,0.5,0.0286341,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0714286,0.0,0.0
40475910,0.208333,0.0,0.0,0.5,0.182437,0.5,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.5
16422,0.25,0.166667,0.0,0.0,0.37927,0.0,0.0,0.0833333,0.142857,0.0,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.5,0,0,0.0,0,0.333333,0.0,0.344828,0,0.0,0.0,0.0
15531,0.25,0.0,0.166667,0.0,0.539626,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.0
76441,0.416667,0.0,0.0,0.0,0.249501,0.25,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.25,0.25
98047227,0.875,0.0,0.0,0.0,0.0941214,0.25,0.0,0.333333,1.0,0.5,0.0,0.0,0,0.0,0.285714,0.0,0,0.0,0.5,0,0,0.0,0,0.333333,0.0,0.793103,0,0.0,0.0,0.25
17564,0.291667,0.0,0.0,1.0,0.0522004,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.448276,0,0.0,0.0,0.25
2482,0.375,0.0,0.0,0.166667,0.0761545,0.25,0.5,0.0833333,0.142857,0.5,0.0,0.0,0,0.166667,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.333333,0.0,0.275862,0,0.0,0.0,0.25
76972370,0.208333,0.0,0.166667,0.5,0.115109,0.25,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.142857,0.0,0,0.0,0.0,0,0,0.333333,0,0.0,0.5,0.37931,0,0.0,0.0,0.25
13193168,0.333333,0.0833333,0.0,0.166667,0.129036,0.25,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.333333,0,0.0,0.0,0.344828,0,0.0,0.0,0.25
159055,0.291667,0.0,0.0,0.5,0.0399162,0.25,0.0,0.0,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0714286,0.0,0.25
2969,0.291667,0.0,0.166667,0.166667,0.0309187,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.25
92170683,0.375,0.333333,0.0,0.0,0.297212,0.5,0.0,0.0,0.285714,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.413793,0,0.0,0.0,0.5
7595,0.541667,0.0,0.0,0.0,0.108531,0.25,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.666667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.344828,0,0.0,0.0,0.25
6854,0.5,0.0,0.0,0.0,0.109219,0.0,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.241379,0,0.0,0.0,0.0
443067,0.375,0.0,0.0,0.333333,0.0936931,0.5,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.37931,0,0.0,0.0,0.5
6488,0.0833333,0.0,0.0,0.333333,0.17583,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.5
2682,0.541667,0.0,0.166667,0.166667,0.00866071,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.37931,0,0.0,0.0,0.0
11380,0.125,0.0833333,0.0,0.666667,0.0868112,0.0,0.0,0.166667,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.37931,0,0.0,0.0,0.0
25912,0.291667,0.0833333,0.0,0.0,0.255548,0.25,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.25,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.25
76956056,0.333333,0.0833333,0.0,0.166667,0.156749,0.25,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.310345,0,0.0,0.0,0.25
22094,0.583333,0.166667,0.166667,0.333333,0.156035,0.25,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,0,0.0,0.0,0.25
15910,0.25,0.333333,0.0,0.0,0.511358,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
21803,0.208333,0.25,0.0,0.0,0.335843,0.0,0.0,0.0833333,0.142857,0.0,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.5,0,0,0.0,0,0.333333,0.0,0.344828,0,0.0,0.0,0.0
19014,0.333333,0.333333,0.0,0.0,0.431979,0.0,0.0,0.166667,0.285714,0.0,0.0,0.666667,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.0
10176,0.833333,0.0,0.0,0.0,0.104968,0.0,0.0,0.666667,0.714286,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.482759,0,0.0,0.0,0.0
2756,0.291667,0.0,0.0,0.166667,0.110826,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.666667,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.37931,0,0.0,0.25,0.0
6957610,0.708333,0.0,0.166667,0.0,0.077096,0.0,0.0,0.25,0.571429,0.0,0.0,0.0,0,0.166667,0.285714,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,0,0.0,0.25,0.0
8784,0.333333,0.0,0.166667,0.0,0.116236,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.25
2802,0.625,0.0833333,0.0,0.0,0.189267,0.25,0.0,0.333333,0.428571,0.0,0.0,0.333333,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,0,0.0,0.0,0.25
5417141,0.666667,0.0,0.166667,0.0,0.0866957,0.0,0.0,0.333333,0.714286,0.0,0.0,0.0,0,0.333333,0.142857,0.0,0,0.0,0.25,0,0,0.333333,0,0.333333,0.0,0.551724,0,0.0,0.0,0.0
9115,1.0,0.0,0.0,0.0,0.135453,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.62069,0,0.0,0.0,0.0
51399519,0.75,0.0,0.333333,0.333333,0.063283,0.25,0.0,0.0833333,0.571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.655172,0,0.0,0.0,0.5
2871,0.375,0.0833333,0.0,0.5,0.177887,0.25,0.0,0.25,0.285714,0.0,0.5,0.0,0,0.166667,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.666667,0.0,0.551724,0,0.0,0.0,0.25
54750303,0.791667,0.0,0.166667,0.0,0.112516,0.25,0.0,0.416667,0.571429,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.551724,0,0.0,0.0,0.25
30773,0.166667,0.0833333,0.0,0.5,0.13391,0.0,0.0,0.166667,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.344828,0,0.0,0.0,0.0
23274061,0.416667,0.0,0.0,0.0,0.0968685,0.75,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.310345,0,0.0,0.0,0.75
5843,0.375,0.0,0.0,0.0,0.107366,0.75,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.75
23274317,0.458333,0.0,0.0,0.0,0.0883392,0.75,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.344828,0,0.0,0.0,0.75
257156,0.333333,0.0,0.0,0.0,0.120602,0.75,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.241379,0,0.0,0.0,0.75
244867,0.25,0.0,0.0,0.0,0.161089,0.75,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.75
16554,0.375,0.0,0.0,0.0,0.0353357,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.25
11263365,0.75,0.166667,0.0,0.333333,0.16713,0.25,0.0,0.25,0.428571,0.0,0.0,0.0,0,0.5,0.0,0.142857,0,0.0,0.0,0,0,0.0,0,0.666667,0.0,0.793103,0,0.0,0.0,0.25
597,0.166667,0.0,0.0,0.0,0.142702,0.25,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.0689655,0,0.0,0.25,0.25
3032799,0.5,0.0,0.0,0.333333,0.0583039,0.25,0.0,0.0833333,0.285714,0.0,0.0,0.0,0,0.166667,0.142857,0.0,0,0.0,0.0,0,0,0.333333,0,0.0,0.0,0.413793,0,0.0,0.0,0.25
440917,0.25,0.0,0.0,0.333333,0.0258222,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.137931,0,0.0,0.0,0.0
12309654,0.25,0.0,0.833333,0.0,0.0929482,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.0
5284500,0.291667,0.0,0.0,0.5,0.0399162,0.25,0.0,0.0,0.285714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0714286,0.0,0.25
688057,0.583333,0.0,0.333333,0.333333,0.0777385,0.0,0.0,0.166667,0.285714,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.482759,0,0.0,0.0,0.0
15331,0.125,0.0,0.166667,0.0,0.0868029,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.172414,0,0.0,0.0,0.5
124303803,0.75,0.0,0.166667,0.333333,0.0699918,0.0,0.0,0.25,0.714286,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.655172,0,0.0714286,0.25,0.0
6454864,0.75,0.0,0.0,0.333333,0.22051,0.25,0.0,0.25,0.428571,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.666667,0.0,0.758621,0,0.0,0.0,0.25
24743,0.583333,0.0,0.0,0.166667,0.119955,0.5,0.0,0.25,0.285714,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.333333,0.0,0.551724,0,0.0,0.0,0.5
