CID,na_in_C4,na_ex_C4,ms,na_ex_O2,FC_28_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_1,C4_2_C4_3_2,dg_in_3,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_N3_2_1,FC_49_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_43_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_33_C4_0_H1_1_C4_1_Cl1_2_Cl1_2_/_1_2_1_1_/_0_0_0_0_0,FC_23_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,dg_3,FC_7_C4_0_Cl1_1_/_1_/_0_0,na_ex_Cl1,FC_30_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_N3_2_2,FC_47_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_60_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_36_S2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_51_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_57_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,n,C4_2_C4_3_1,na_in_S6,N3_2_O2_2_1,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_5_O2_0_/_/_0,C4_3_N3_3_1,LeafAC_O2_S6_2
43234,0.555556,0.25,0.529661,0.0,0,0.0,0.5,0.2,0.6,0.5,0.0,0,0,0,0,0,0.3,0.666667,0.666667,0,1.0,0,0,0,0,0,0,0.47619,0.714286,0,0,0.0,0.666667,0.0,0
135424354,0.166667,0.625,0.150416,0.166667,0,0.0,0.0,0.0,0.4,0.5,0.666667,0,0,0,0,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.142857,0.142857,0,0,0.0,0.0,0.0,0
4929,0.0,0.875,0.257457,0.0,0,0.0,0.0,0.0,0.4,0.0,0.833333,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.190476,0.0,0,0,0.0,0.0,0.0,0
66461,0.5,0.25,0.488647,0.166667,0,0.0,0.5,0.2,0.6,0.5,0.0,0,0,0,0,0,0.2,0.666667,0.666667,0,1.0,0,0,0,0,0,0,0.380952,0.428571,0,0,0.0,0.0,0.0,0
4169,0.333333,0.75,0.261294,0.333333,0,0.5,0.0,0.2,0.4,0.0,0.0,0,0,0,0,0,0.4,0.0,0.333333,0,0.0,0,0,0,0,0,0,0.333333,0.285714,0,0,0.333333,0.0,1.0,0
86210,0.666667,0.25,0.311564,0.166667,0,0.0,0.5,0.4,0.8,0.0,0.0,0,0,0,0,0,0.2,0.333333,0.333333,0,1.0,0,0,0,0,0,0,0.47619,0.714286,0,0,0.0,0.0,0.0,0
13263,0.0,0.75,0.287604,0.0,0,0.0,0.0,0.0,0.4,0.0,0.833333,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.142857,0.0,0,0,0.0,0.0,0.0,0
86102,0.5,0.5,0.295587,0.166667,0,0.0,0.5,0.4,0.4,0.0,0.0,0,0,0,0,0,0.1,0.333333,0.333333,0,1.0,0,0,0,0,0,0,0.428571,0.428571,0,0,0.0,0.0,0.0,0
15951,0.0,0.75,0.331984,0.0,0,0.0,0.0,0.0,0.4,0.0,0.666667,0,0,0,0,0,0.2,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.142857,0.0,0,0,0.0,0.0,0.333333,0
91693,0.444444,0.25,0.50588,0.0,0,0.0,0.5,0.2,0.6,0.5,0.0,0,0,0,0,0,0.3,0.666667,0.666667,0,1.0,0,0,0,0,0,0,0.285714,0.714286,0,0,0.0,0.0,0.0,0
93379,0.5,0.0,0.587461,0.166667,0,0.0,0.5,0.4,0.4,0.0,0.666667,0,0,0,0,0,0.2,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.238095,0.428571,0,0,0.0,0.0,0.0,0
9576091,0.5,0.625,0.393359,0.333333,0,0.0,0.0,0.2,0.4,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.666667,0.428571,0,1,0.0,0.333333,0.333333,0
94686,0.833333,0.5,0.53368,0.333333,0,0.0,0.0,0.4,0.8,0.0,0.0,0,0,0,0,0,1.0,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.809524,0.714286,0,0,0.0,0.333333,0.333333,0
13904,0.0,0.625,0.323989,0.0,0,0.0,0.0,0.0,0.2,0.0,0.666667,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0952381,0.0,0,0,0.0,0.0,0.0,0
91751,0.5,0.375,0.639596,0.666667,0,0.0,0.0,0.4,0.6,0.0,1.0,0,0,0,0,1,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.761905,0.142857,1,0,0.0,0.0,0.0,1
167454,0.277778,0.875,0.261294,0.166667,0,0.5,0.0,0.2,0.4,0.0,0.0,0,0,0,1,0,0.3,0.0,0.333333,0,0.0,0,0,0,0,0,0,0.333333,0.142857,0,0,0.0,0.0,0.666667,0
51369,0.722222,0.5,0.261685,0.5,0,0.0,0.0,0.4,0.6,0.0,0.0,0,0,0,0,0,0.6,0.0,0.0,0,0.0,0,0,0,0,0,0,0.571429,0.571429,0,0,0.333333,0.0,1.0,0
93539,0.388889,0.375,0.771927,0.833333,0,0.0,0.0,0.2,0.4,0.0,1.0,0,0,0,0,1,0.4,0.0,0.0,0,0.5,0,0,0,0,0,0,0.714286,0.285714,1,0,0.0,0.0,0.0,1
11442,0.444444,1.0,0.171371,0.333333,0,0.0,0.0,0.0,0.8,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0.47619,0.571429,0,0,0.0,0.333333,0.0,0
43233,0.5,0.0,0.707793,0.0,0,0.0,0.5,0.2,0.4,0.0,0.0,0,0,0,0,0,0.2,0.666667,0.666667,0,1.0,0,0,0,0,0,0,0.333333,0.428571,0,0,0.0,0.666667,0.0,0
2078,0.277778,0.75,0.286984,0.333333,0,1.0,0.0,0.2,0.4,0.0,0.0,0,0,0,0,0,0.3,0.0,0.333333,0,0.0,0,0,0,0,0,0,0.285714,0.142857,0,0,0.0,0.0,0.666667,0
1988,0.277778,0.75,0.286984,0.166667,0,0.5,0.0,0.2,0.4,0.0,0.0,0,0,0,0,0,0.3,0.0,0.333333,0,0.0,0,0,0,0,0,0,0.285714,0.142857,0,0,0.0,0.0,0.666667,0
86355,0.333333,0.5,0.625031,0.833333,0,0.0,0.0,0.2,0.8,0.0,1.0,0,0,0,0,1,0.7,0.0,0.0,0,0.5,0,0,0,0,0,0,0.809524,0.285714,1,0,0.0,0.0,0.333333,1
39985,0.611111,0.25,0.631472,0.333333,0,0.0,0.0,0.6,0.6,0.0,0.0,0,0,0,0,0,0.5,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.47619,0.714286,0,0,0.333333,0.666667,0.0,0
9839306,0.444444,1.0,0.204712,0.333333,0,0.0,0.0,0.0,0.8,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0.47619,0.571429,0,0,0.0,0.333333,0.0,0
71245,1.0,0.5,0.232615,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0.3,0.0,0.0,0,0.0,0,0,0,0,0,0,0.761905,0.857143,0,0,0.0,0.666667,0.0,0
50897,0.666667,0.5,0.440515,0.166667,0,0.0,0.5,0.6,0.6,0.5,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.714286,0.571429,0,0,0.333333,1.0,0.0,0
50897,0.666667,0.5,0.440515,0.166667,0,0.0,0.5,0.6,0.6,0.5,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.714286,0.571429,0,0,0.333333,1.0,0.0,0
50897,0.666667,0.5,0.440515,0.166667,0,0.0,0.5,0.6,0.6,0.5,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.714286,0.571429,0,0,0.333333,1.0,0.0,0
50897,0.666667,0.5,0.440515,0.166667,0,0.0,0.5,0.6,0.6,0.5,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.714286,0.571429,0,0,0.333333,1.0,0.0,0
61899,0.722222,0.25,0.0,0.0,0,0.0,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.571429,0,0,0.666667,0.333333,0.333333,0
91742,0.222222,0.875,0.226921,0.166667,0,0.0,0.0,0.2,0.6,0.0,0.333333,0,0,0,1,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.333333,0.428571,0,0,0.0,0.0,0.0,0
43226,0.777778,0.0,0.669547,0.166667,0,0.0,1.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.3,0.666667,0.666667,0,1.0,0,0,0,0,0,0,0.47619,0.428571,0,0,0.0,0.0,0.0,0
73665,0.555556,0.25,0.657482,0.166667,0,0.0,0.5,0.4,0.6,0.5,0.0,0,0,0,0,0,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0.52381,0.285714,0,0,0.0,0.333333,0.666667,0
5053,0.777778,0.625,0.220031,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.619048,0.857143,0,0,0.0,0.666667,0.0,0
5053,0.777778,0.625,0.220031,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.619048,0.857143,0,0,0.0,0.666667,0.0,0
5053,0.777778,0.625,0.220031,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.619048,0.857143,0,0,0.0,0.666667,0.0,0
5053,0.777778,0.625,0.220031,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.619048,0.857143,0,0,0.0,0.666667,0.0,0
135616186,0.555556,0.5,0.220785,0.333333,0,0.0,0.0,0.0,0.8,0.5,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.47619,1.0,0,1,0.0,0.0,0.0,0
91750,0.333333,0.625,0.563846,1.0,0,0.0,0.0,0.2,0.6,0.0,0.833333,0,0,0,0,1,0.6,0.0,0.0,0,0.5,0,0,0,0,0,0,0.761905,0.285714,1,0,0.0,0.0,0.333333,1
14337,0.222222,0.5,0.149807,0.166667,1,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,1,0,0,0.0952381,0.285714,0,0,0.0,0.0,0.666667,0
2319,0.277778,0.625,0.504394,0.666667,1,0.0,0.0,0.4,0.2,0.5,0.0,1,0,0,0,0,0.3,0.0,0.0,0,0.0,0,0,0,0,0,0,0.52381,0.285714,0,0,0.0,0.0,0.333333,0
12968,0.0,0.75,0.143129,0.166667,0,0.0,0.0,0.0,0.2,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0.333333,0
4944,0.222222,0.5,0.269188,0.166667,0,0.0,0.0,0.4,0.4,0.0,0.0,0,0,0,1,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.142857,0.0,0,0,0.0,0.333333,0.0,0
16181,0.0,1.0,0.109522,0.166667,0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,1,1,0,0,0.0952381,0.0,0,0,0.0,0.0,0.333333,0
14215,0.0555556,0.75,0.124843,0.166667,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.047619,0.0,0,0,0.0,0.0,0.333333,0
62020,0.388889,0.5,0.216816,0.166667,0,0.0,0.0,0.2,0.4,1.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.238095,0.285714,0,0,0.0,0.0,0.333333,0
27189,0.5,0.625,0.217467,0.166667,0,0.0,0.0,0.6,0.6,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.142857,0,0,0.333333,0.333333,0.333333,0
91740,0.333333,0.75,0.19626,0.166667,1,0.0,0.0,0.2,0.2,0.0,0.0,0,0,0,0,0,0.2,0.0,0.0,0,0.0,1,0,0,0,0,0,0.285714,0.285714,0,0,0.0,0.0,0.666667,0
135741327,0.555556,0.875,0.194458,0.333333,0,0.5,0.0,0.4,0.6,0.0,0.0,0,0,0,0,0,0.7,0.0,0.0,0,0.0,0,0,0,0,0,0,0.571429,0.857143,0,1,0.0,0.0,0.0,0
36242,0.444444,0.25,0.677778,0.333333,0,0.0,0.0,0.6,0.8,0.0,0.0,0,0,0,0,0,0.4,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.285714,0.428571,0,0,0.0,0.0,1.0,0
73668,0.444444,0.5,0.481597,0.166667,0,0.0,1.0,0.6,0.6,0.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,1.0,0,0,0,0,0,0,0.47619,0.428571,0,0,0.0,0.0,0.0,0
34192,0.277778,0.5,0.425272,0.166667,0,0.0,0.0,0.4,0.2,0.0,0.0,0,0,0,0,0,0.2,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.190476,0.428571,0,0,0.0,0.0,0.333333,0
54740,0.277778,0.875,0.306624,0.5,0,0.5,0.0,0.2,0.4,0.0,0.5,0,1,0,0,0,0.3,0.0,0.0,0,0.5,0,0,0,0,0,0,0.428571,0.285714,0,0,0.0,0.0,0.0,0
36867,0.277778,0.5,0.425272,0.166667,0,0.0,0.0,0.4,0.2,0.0,0.0,0,0,0,0,0,0.2,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.190476,0.142857,0,0,0.0,0.0,0.333333,0
94498,0.333333,0.75,0.631472,0.166667,0,0.0,0.0,0.4,0.6,0.0,0.0,0,0,0,0,0,0.5,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.47619,0.285714,0,0,0.0,0.666667,0.666667,0
36679,0.222222,0.625,0.164235,0.166667,0,0.0,0.0,0.4,0.2,0.0,0.333333,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,1,0,0.142857,0.285714,0,0,0.0,0.0,0.0,0
38283,0.833333,0.75,0.284955,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0.761905,0.571429,0,0,0.0,0.666667,0.0,0
25912,0.222222,0.25,0.959749,0.333333,0,0.0,0.0,0.2,0.2,0.0,0.333333,0,0,0,0,0,0.3,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.142857,0.428571,0,0,0.0,0.0,0.333333,0
5368008,0.0,0.5,0.318607,0.166667,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.333333,0.0,0
24743,0.611111,0.25,0.403678,0.333333,0,0.0,0.0,0.6,0.6,0.0,0.666667,0,0,0,0,0,0.3,0.0,0.0,0,0.0,0,0,0,0,0,0,0.47619,0.428571,0,0,0.0,0.333333,0.0,0
2566,0.333333,0.375,0.292717,0.166667,0,0.0,0.0,0.2,0.6,0.0,0.0,0,0,0,0,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.190476,0.285714,0,0,0.0,0.666667,0.0,0
17517,0.222222,0.5,0.224048,0.166667,0,0.0,0.0,0.4,0.2,0.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,1,0,0.0952381,0.0,0,0,0.0,0.333333,0.0,0
91612,0.333333,0.75,0.427213,0.333333,0,0.0,0.0,0.2,0.6,0.0,0.333333,0,0,0,0,0,0.5,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.52381,0.428571,0,0,0.0,0.333333,0.666667,0
2912,0.833333,0.5,0.541646,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,1,0,0,0.5,0.0,0.666667,0,0.0,0,0,0,0,0,0,0.761905,0.571429,0,0,0.0,0.666667,0.0,0
2912,0.833333,0.5,0.541646,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,1,0,0,0.5,0.0,0.666667,0,0.0,0,0,0,0,0,0,0.761905,0.571429,0,0,0.0,0.666667,0.0,0
2912,0.833333,0.5,0.541646,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,1,0,0,0.5,0.0,0.666667,0,0.0,0,0,0,0,0,0,0.761905,0.571429,0,0,0.0,0.666667,0.0,0
2912,0.833333,0.5,0.541646,0.166667,0,0.0,0.0,0.6,1.0,0.0,0.0,0,0,1,0,0,0.5,0.0,0.666667,0,0.0,0,0,0,0,0,0,0.761905,0.571429,0,0,0.0,0.666667,0.0,0
22883,0.222222,0.25,0.623071,0.5,0,0.0,0.0,0.2,0.2,0.0,0.0,0,0,0,0,0,0.1,0.333333,0.333333,0,0.0,0,0,0,0,0,1,0.0952381,0.428571,0,0,0.0,0.333333,0.0,0
802,0.333333,0.125,0.412345,0.333333,0,0.0,0.5,0.6,0.6,0.0,0.166667,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.047619,0.142857,0,0,0.0,0.0,0.0,0
14322,0.222222,0.25,0.299221,0.166667,0,0.0,0.0,0.4,0.2,0.0,0.0,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.285714,0,0,0.0,0.333333,0.0,0
3347,1.0,0.5,0.428407,0.166667,0,0.0,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.6,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.857143,0.714286,0,0,0.0,0.666667,0.0,0
3347,1.0,0.5,0.428407,0.166667,0,0.0,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.6,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.857143,0.714286,0,0,0.0,0.666667,0.0,0
3347,1.0,0.5,0.428407,0.166667,0,0.0,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.6,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.857143,0.714286,0,0,0.0,0.666667,0.0,0
3347,1.0,0.5,0.428407,0.166667,0,0.0,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.6,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.857143,0.714286,0,0,0.0,0.666667,0.0,0
3120,0.222222,0.25,0.665285,0.166667,0,0.0,0.0,0.2,0.2,0.0,0.333333,0,0,0,0,0,0.2,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.0952381,0.428571,0,0,0.0,0.0,0.0,0
21307,0.444444,0.125,0.433923,0.166667,0,0.0,0.0,0.2,0.4,0.0,0.333333,0,0,0,0,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.190476,0.142857,0,0,0.0,0.333333,0.0,0
39238,0.611111,0.375,0.230544,0.166667,0,0.0,0.0,0.6,0.4,0.0,0.5,0,0,0,0,0,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.428571,0,0,0.0,0.0,0.0,0
97982,0.222222,0.375,0.701803,0.333333,0,0.0,0.0,0.2,0.2,0.0,0.0,0,0,0,0,0,0.2,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.142857,0.428571,0,0,0.0,0.333333,0.0,0
41632,0.555556,0.5,0.259155,0.166667,0,0.0,0.0,0.8,0.6,0.0,0.333333,0,0,0,1,0,0.3,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.285714,0,0,0.0,0.0,0.0,0
9502,0.222222,0.25,0.701803,0.333333,0,0.0,0.0,0.2,0.2,0.0,0.333333,0,0,0,0,0,0.3,0.666667,0.666667,0,0.0,0,0,0,0,0,0,0.142857,0.428571,0,0,0.0,0.0,0.333333,0
