CID,na_in_C4,LeafAC_O2_C4_1,na_ex_Cl1,LeafAC_C4_C4_1,LeafAC_O2_C4_2,dg_in_1,C4_2_N3_3_1,na_ex_Br1,C4_3_C4_3_2,C4_2_N3_2_1,na_ex_S2,C4_2_C4_2_1,na_ex_F1,FC_3_C4_0_/_/_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_2,ms,FC_25_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,C4_2_O2_2_1,N3_3_N3_3_1,LeafAC_C4_C4_2,dg_in_4,FC_61_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_S2_1,C4_4_C4_4_1,na_ex_O2,FC_37_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_66_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_C4_C4_3,FC_94_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0
7804,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
54680085,0.833333,0.181818,0.0,0.0,0.25,0.0,0.0,0.25,0.166667,0.0,0.0,0.285714,0.0,0.583333,0.0,0.0,0.0933842,0.0,0.0,0,0.0,0.0,0,0,0.0,0.272727,0,0,0,0
7805,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.137016,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7806,0.166667,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.222968,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
28936,0.388889,0.0909091,0.0,0.2,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0952381,0.0,0.166667,0.0,0.0,0.134456,0.0,0.0,0,0.0,0.0,0,0,0.0,0.181818,0,0,0,0
7683,0.166667,0.0,0.0,0.1,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0833333,0.0,0.0,0.134456,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0909091,0,0,0,0
7808,0.166667,0.0909091,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.173047,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0909091,0,0,0,0
7961,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.168795,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7960,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.0927326,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
76441,0.277778,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.166667,0.0,0.0,0.0952381,0.0,0.0833333,0.0,0.0,0.140182,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0909091,0,0,0,0
9411,0.138889,0.0,0.0,0.3,0.5,0.25,0.0,0.25,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104316,0.0,0.0,0,0.0,0.0,0,0,0.0,0.181818,0,0,0,0
14362,0.166667,0.0,0.0,0.2,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.100587,0.0,0.0,0,0.5,0.5,0,0,0.0,0.272727,0,0,0,0
6488,0.0555556,0.0,0.0,0.2,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100783,0.0,0.0,0,0.0,0.0,0,0,0.0,0.181818,0,0,0,0
40585,0.5,0.0,0.0,0.2,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.25,0.0,0.0,0.124677,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0909091,0,0,0,0
4420,0.0277778,0.0,0.166667,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281235,0.0,0.0,0,0.0,0.0,0,0,0.0,0.272727,0,0,0,0
8140,0.138889,0.0,0.0,0.1,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.190476,0.0,0.0,0.333333,0.0,0.0619152,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12369,0.111111,0.0,0.0,0.1,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.142857,0.0,0.0,0.333333,0.0,0.0686999,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8101,0.0833333,0.0,0.0,0.1,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0952381,0.0,0.0,0.333333,0.0,0.0775201,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8057,0.0555556,0.0,0.0,0.1,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.333333,0.0,0.0894533,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8002,0.0277778,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106501,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7891,0.0277778,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0894533,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
6555,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106501,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9115,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0791894,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9117,0.611111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0952381,0.0,0.833333,0.0,0.0,0.0751135,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9128,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2336,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.142857,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
31423,0.444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0952381,0.0,0.5,0.0,0.0,0.0685293,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9162,0.611111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.0676409,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9153,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.238095,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
5889,0.611111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.0676409,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9152,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9142,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9158,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.070528,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9154,0.444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.190476,0.0,0.5,0.0,0.0,0.0685293,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9170,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.5,0.0,0.0,0.0653312,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9171,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.190476,0.0,0.5,0.0,0.0,0.0653312,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7080,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.5,0.0,0.0,0.0653312,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8418,0.388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.333333,0.0,0.0,0.0618667,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
931,0.277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.166667,0.0,0.0,0.0560925,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
20615,0.138889,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7115,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.333333,0.0,0.0,0.057536,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7095,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.166667,0.0,0.0,0.0539928,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7501,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.044544,0.0,0.0,0,0.5,0.0,0,0,0.0,0.0,0,0,0,0
9195,0.472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.190476,0.0,0.5,0.0,0.0,0.062464,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9201,0.472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.5,0.0,0.0,0.062464,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
15604,0.361111,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.142857,0.0,0.333333,0.0,0.0,0.0525391,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
6853,0.361111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.333333,0.0,0.0,0.0581009,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
74417,0.444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.238095,0.0,0.5,0.0,0.0,0.044544,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
1674,0.555556,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.142857,0.0,0.666667,0.0,0.0,0.0585894,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
1674,0.555556,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.142857,0.0,0.666667,0.0,0.0,0.0585894,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
1674,0.555556,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.142857,0.0,0.666667,0.0,0.0,0.0585894,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
1674,0.555556,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.142857,0.0,0.666667,0.0,0.0,0.0585894,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
10176,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.190476,0.0,0.666667,0.0,0.0,0.0628857,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
6734,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.142857,0.0,0.333333,0.0,0.0,0.0539928,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
10326,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.166667,0.0,0.0,0.0390737,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8404,0.277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.166667,0.0,0.0,0.0350953,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9253,0.138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8078,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9265,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9266,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380952,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11574,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.0171924,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8079,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.0,0.0,0.0,0.01856,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12363,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,0.0171924,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
8882,0.138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.0205588,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12343,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.029696,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11000,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.037615,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11000,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.037615,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11000,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.037615,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11000,0.194444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.037615,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
19540,0.222222,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.0,0.333333,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
16270,0.166667,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.333333,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7296,0.138889,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
15504,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7962,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11523,0.166667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
440917,0.166667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.0205588,0.0,0.0,0,0.5,0.0,0,0,0.0,0.0,0,0,0,0
7044,0.277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,0.0,0.014848,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
23313,0.166667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
241,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.044544,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
9161,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0952381,0.0,0.333333,0.0,0.0,0.0653312,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11542,0.0277778,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387339,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
19041,0.0555556,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.00512,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11229,0.0277778,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387339,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
16295,0.194444,0.0,0.0,0.3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0833333,0.0,0.0,0.0252966,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
6403,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029696,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
10907,0.0277778,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456862,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7366,0.166667,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.0272214,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
10044,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387339,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7580,0.361111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.166667,0.0,0.0,0.0487015,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7647,0.388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095,0.0,0.166667,0.0,0.0,0.044544,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7668,0.194444,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0952381,0.0,0.0833333,0.333333,0.0,0.029696,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12986,0.0277778,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00989867,0.0,0.0,0,0.5,0.0,0,0,0.0,0.0,0,0,0,0
12309,0.0277778,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205588,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0
10864,0.25,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.190476,0.0,0.0833333,0.333333,0.0,0.0252966,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
