CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,LeafAC_C4_C4_1,LeafAC_O2_C4_2,ms,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,n_in,na_ex_S2,LeafAC_O2_S6_1,na_ex_C4,LeafAC_O2_P5_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_N3_2_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,FC_1_C4_0_H1_1_/_1_/_0_0,bd_in_2,FC_31_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,na_in_N3,FC_57_C4_0_F1_1_F1_1_/_1_1_/_0_0_0,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_O2_S4_2,S2_2_S2_2_1,FC_237_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,N3_2_N3_2_1,FC_25_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_37_C4_0_I1_1_/_1_/_0_0,FC_41_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0
3336,0.458333,0.0,0.0,0.0555556,0.0,0.0546728,0.0,0.410714,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.571429,0.375,0.0,0.1,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
5572,0.416667,0.0,0.0416667,0.0,0.0,0.0367494,0.0,0.375,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.214286,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5452,0.395833,0.0,0.0,0.0,0.0,0.0744381,0.0,0.392857,0.5,0.0,0.0833333,0.0,0.222222,0.0,0.0,0.125,0.0,0.285714,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2585,0.479167,0.0,0.0416667,0.0,0.0,0.0743209,0.0,0.482143,0.0,0.0,0.0416667,0.0,0.0,0.166667,0.5,0.0,0.166667,0.392857,0.375,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2913,0.416667,0.0,0.0,0.0,0.0,0.0605533,0.0,0.375,0.0,0.0,0.0416667,0.0,0.222222,0.0,0.0,0.125,0.0,0.357143,0.333333,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3488,0.458333,0.0833333,0.0,0.0,0.25,0.0943778,0.0,0.464286,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.166667,0.285714,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3054,0.291667,0.0,0.0833333,0.111111,0.0,0.0611652,0.0,0.25,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3440,0.229167,0.0833333,0.0416667,0.0,0.125,0.147873,0.0,0.232143,0.0,0.0,0.0416667,0.0,0.0,0.0833333,0.25,0.0,0.0,0.178571,0.208333,0.5,0.1,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
135398737,0.354167,0.0833333,0.0,0.0,0.0,0.0867931,0.0,0.375,0.0,0.0,0.0416667,0.0,0.444444,0.0,0.0,0.125,0.0,0.25,0.291667,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3672,0.166667,0.0,0.0416667,0.166667,0.125,0.0502203,0.0,0.142857,0.0,0.0,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4168,0.1875,0.0833333,0.0,0.111111,0.125,0.0714164,0.0,0.196429,0.0,0.0,0.208333,0.0,0.111111,0.0,0.25,0.0,0.166667,0.0714286,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2733,0.145833,0.0833333,0.0,0.0,0.125,0.171035,0.0,0.160714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107143,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2337,0.145833,0.0,0.0,0.0555556,0.125,0.0725009,0.0,0.142857,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1978,0.229167,0.0,0.0416667,0.222222,0.25,0.0554614,0.25,0.25,0.0,0.0,0.291667,0.0,0.0,0.0833333,0.25,0.0,0.0,0.107143,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5578,0.229167,0.0,0.0,0.0,0.0,0.0787674,0.0,0.232143,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.5,0.107143,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
338,0.125,0.0,0.0833333,0.0,0.125,0.10721,0.0,0.107143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
3676,0.166667,0.0,0.0,0.222222,0.125,0.0444217,0.0,0.178571,0.0,0.0,0.25,0.0,0.111111,0.0,0.0,0.0,0.0,0.107143,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5584,0.354167,0.0,0.0,0.0555556,0.0,0.0474116,0.0,0.321429,0.0,0.0,0.125,0.0,0.111111,0.0,0.0,0.25,0.0,0.285714,0.25,0.0,0.1,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
16231,0.104167,0.0833333,0.0,0.0,0.125,0.139475,0.0,0.142857,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4509,0.166667,0.0,0.0,0.0,0.25,0.148419,0.0,0.214286,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.107143,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2265,0.166667,0.0,0.0,0.0,0.0,0.155739,0.0,0.267857,0.0,0.0,0.0416667,0.0,0.111111,0.0,0.5,0.125,0.0,0.107143,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5039,0.208333,0.0,0.0,0.0,0.0,0.0755725,0.0,0.232143,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.375,0.0,0.0714286,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
298,0.1875,0.166667,0.0833333,0.0,0.125,0.142192,0.0,0.178571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4173,0.0833333,0.0,0.0416667,0.0555556,0.0,0.0956774,0.0,0.107143,0.0,0.0,0.0833333,0.0,0.111111,0.0,0.25,0.0,0.0,0.0357143,0.0833333,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
14307844,0.729167,0.0,0.0,0.166667,0.25,0.0532084,0.0,0.732143,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.285714,0.25,0.0,0.6,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
54684452,0.541667,0.0,0.0416667,0.111111,0.125,0.0928982,0.25,0.535714,0.0,0.0,0.208333,0.0,0.0,0.0,0.25,0.0,0.0,0.428571,0.416667,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5625,0.375,0.0,0.0,0.111111,0.125,0.0826926,0.0,0.428571,0.0,0.0,0.166667,0.0,0.444444,0.0,0.0,0.0,0.0,0.25,0.291667,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18020,0.354167,0.0,0.0,0.277778,0.375,0.0561853,0.0,0.321429,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5556,0.333333,0.166667,0.0,0.0555556,0.0,0.135179,0.0,0.357143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.375,0.0,0.4,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0
5556,0.333333,0.166667,0.0,0.0555556,0.0,0.135179,0.0,0.357143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.375,0.0,0.4,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0
5556,0.333333,0.166667,0.0,0.0555556,0.0,0.135179,0.0,0.357143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.375,0.0,0.4,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0
5556,0.333333,0.166667,0.0,0.0555556,0.0,0.135179,0.0,0.357143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.375,0.0,0.4,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0
3823,0.5,0.166667,0.0,0.0555556,0.125,0.0992867,0.0,0.553571,0.0,0.0,0.0833333,0.0,0.777778,0.166667,0.25,0.0,0.0,0.392857,0.333333,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12555,0.354167,0.0,0.0,0.0,0.0,0.0615812,0.0,0.357143,0.0,0.0,0.0833333,0.0,0.111111,0.0833333,0.0,0.25,0.0,0.321429,0.291667,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
214,0.354167,0.0,0.125,0.0555556,0.25,0.0444217,0.25,0.303571,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2118,0.333333,0.0833333,0.0,0.0555556,0.0,0.111669,0.0,0.357143,0.0,0.0,0.0416667,0.0,0.0,0.0,0.25,0.0,0.0,0.285714,0.375,0.0,0.4,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0
5512,0.3125,0.0,0.0416667,0.277778,0.0,0.0422472,0.0,0.285714,0.0,0.0,0.291667,0.0,0.111111,0.0,0.0,0.0,0.0,0.321429,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3929,0.291667,0.0,0.0,0.0555556,0.25,0.0841061,0.0,0.339286,0.0,0.0,0.0833333,0.0,0.333333,0.166667,0.25,0.0,0.0,0.142857,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
135743713,0.1875,0.0,0.0,0.0,0.0,0.0675437,0.0,0.214286,0.0,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0357143,0.0833333,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23278464,0.3125,0.0,0.0416667,0.0555556,0.375,0.0856943,0.0,0.357143,0.0,0.0,0.125,0.0,0.555556,0.0,0.25,0.0,0.0,0.142857,0.125,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
60753,0.3125,0.0,0.0416667,0.111111,0.0,0.0490512,0.25,0.303571,0.0,0.0,0.208333,0.0,0.222222,0.0,0.0,0.0,0.0,0.142857,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2803,0.1875,0.166667,0.0,0.0,0.0,0.139891,0.0,0.214286,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.107143,0.166667,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9142,0.416667,0.0,0.0,0.0,0.0,0.0892705,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571,0.416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2247,0.5625,0.0,0.0,0.0,0.0,0.069445,0.0,0.553571,0.0,0.0,0.0416667,0.0,0.444444,0.0,0.0,0.0,0.166667,0.464286,0.416667,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4034,0.5,0.0833333,0.0,0.0555556,0.0,0.0706895,0.0,0.464286,0.0,0.0,0.0416667,0.0,0.555556,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4037,0.25,0.166667,0.0416667,0.0555556,0.125,0.13675,0.0,0.232143,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
4044,0.25,0.0,0.0416667,0.111111,0.125,0.0755893,0.0,0.232143,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
9170,0.375,0.0,0.0,0.0,0.0,0.0826926,0.0,0.321429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
31423,0.333333,0.0,0.0,0.0,0.0,0.0867405,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357143,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3339,0.3125,0.0833333,0.0,0.222222,0.25,0.0883085,0.0,0.303571,0.0,0.0,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2378,0.458333,0.0,0.0,0.0,0.0,0.0774532,0.0,0.428571,0.0,0.0,0.0,0.0,0.222222,0.0,0.25,0.0,0.0,0.642857,0.458333,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3108,0.416667,0.0,0.166667,0.0,0.0,0.0595286,0.0,0.5,0.0,0.0,0.166667,0.0,0.888889,0.0,0.0,0.0,0.0,0.0,0.208333,0.0,0.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3371,0.25,0.0,0.0416667,0.0,0.125,0.12495,0.0,0.232143,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
252015,0.354167,0.0,0.0,0.166667,0.25,0.0427131,0.0,0.321429,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5568,0.3125,0.0,0.0,0.0,0.0,0.0967105,0.0,0.303571,0.0,0.0,0.125,0.0,0.111111,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5568,0.3125,0.0,0.0,0.0,0.0,0.0967105,0.0,0.303571,0.0,0.0,0.125,0.0,0.111111,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5568,0.3125,0.0,0.0,0.0,0.0,0.0967105,0.0,0.303571,0.0,0.0,0.125,0.0,0.111111,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5568,0.3125,0.0,0.0,0.0,0.0,0.0967105,0.0,0.303571,0.0,0.0,0.125,0.0,0.111111,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3247,0.354167,0.0,0.0416667,0.0555556,0.125,0.0611652,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3247,0.354167,0.0,0.0416667,0.0555556,0.125,0.0611652,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3247,0.354167,0.0,0.0416667,0.0555556,0.125,0.0611652,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3247,0.354167,0.0,0.0416667,0.0555556,0.125,0.0611652,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
282516,0.354167,0.0,0.0,0.222222,0.25,0.0452609,0.0,0.321429,0.0,0.0,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
10597,0.354167,0.0,0.0416667,0.0555556,0.125,0.068341,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4932,0.395833,0.0,0.0416667,0.0555556,0.125,0.0577613,0.25,0.375,0.0,0.0,0.0833333,0.0,0.0,0.0833333,0.5,0.0,0.0,0.321429,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2950,0.291667,0.0,0.0833333,0.0,0.25,0.1217,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
351835,0.354167,0.0,0.0,0.166667,0.25,0.0470794,0.0,0.321429,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4893,0.354167,0.0,0.0,0.0,0.125,0.087867,0.0,0.392857,0.0,0.0,0.0833333,0.0,0.444444,0.0833333,0.0,0.0,0.333333,0.178571,0.291667,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3269,0.354167,0.0,0.125,0.0555556,0.0,0.0539894,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3680,0.395833,0.0,0.0833333,0.222222,0.375,0.068341,0.0,0.357143,0.0,0.0,0.208333,0.0,0.0,0.0833333,0.0,0.0,0.0,0.178571,0.0833333,0.0,0.0,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
3025,0.291667,0.0,0.0,0.166667,0.125,0.0528377,0.25,0.321429,0.0,0.0,0.25,0.0,0.111111,0.0833333,0.25,0.0,0.0,0.178571,0.208333,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
450,0.354167,0.0,0.0833333,0.0555556,0.0,0.0487706,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5203,0.333333,0.166667,0.0,0.0,0.0,0.0985958,0.0,0.285714,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.125,0.0,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
541197,0.354167,0.0,0.0,0.111111,0.25,0.0543505,0.0,0.321429,0.0,0.0,0.208333,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,0.354167,0.0,0.0416667,0.111111,0.125,0.0369176,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4993,0.208333,0.0833333,0.0,0.0555556,0.0,0.0989578,0.0,0.214286,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
578771,0.4375,0.0,0.0833333,0.222222,0.375,0.0612663,0.25,0.392857,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0833333,0.0,0.0,0.0,0.166667,0.0,0.0,0,0.0,0.0,0.0,0.0
4919,0.395833,0.0,0.0416667,0.0,0.0,0.0382026,0.0,0.357143,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.214286,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6762,0.4375,0.0833333,0.0,0.0555556,0.125,0.0845897,0.0,0.464286,0.0,0.0,0.0833333,0.0,0.777778,0.0833333,0.0,0.0,0.0,0.25,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2581,0.270833,0.0833333,0.0416667,0.0555556,0.125,0.111859,0.0,0.25,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2315,0.291667,0.0,0.0,0.0,0.0,0.146516,0.0,0.303571,0.0,0.0,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.25,0.5,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3001,0.395833,0.0,0.0,0.166667,0.375,0.0517191,0.0,0.357143,0.0,0.0,0.166667,0.0,0.0,0.0833333,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4536,0.354167,0.0,0.0416667,0.0555556,0.125,0.0494049,0.0,0.303571,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4536,0.354167,0.0,0.0416667,0.0555556,0.125,0.0494049,0.0,0.303571,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.178571,0.0416667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
