CID,dg_in_4,na_in_C4,na_in_S6,C4_2_C4_2_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_3_1,N3_2_N3_3_1,N3_3_N3_3_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_14_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_15_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_23_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_28_C4_0_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_34_N3_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1
4748,0.0,0.818182,0.0,0.545455,0.0,1.0,0.0,0.111111,0.333333,0.0,0.4,0.0,0.0,0.583333,0.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4754,0.0,0.181818,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.666667
4763,0.0,0.363636,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.416667,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4828,0.0,0.409091,0.0,0.0909091,0.666667,0.0,1.0,0.111111,0.333333,0.0,0.0,0.0,0.0,0.416667,0.375,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
4909,0.0,0.363636,0.0,0.181818,0.666667,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.416667,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4946,0.0,0.5,0.0,0.272727,0.333333,0.0,1.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.583333,0.375,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5147,0.0,0.181818,0.0,0.181818,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5215,0.0,0.363636,1.0,0.181818,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5320,0.0,0.181818,1.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333
5327,0.0,0.363636,1.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416667,0.25,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5329,0.0,0.318182,1.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416667,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5333,0.0,0.181818,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5426,0.0,0.5,0.0,0.272727,0.0,0.0,0.0,0.444444,0.0,0.0,0.6,0.0,0.0,0.416667,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5505,0.0,0.318182,1.0,0.181818,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5572,0.0,0.818182,0.0,1.0,0.0,0.428571,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5578,0.0,0.409091,0.0,0.0,0.333333,0.0,0.0,0.222222,0.333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5753,0.0,0.727273,0.0,0.272727,0.0,0.0,0.0,0.444444,0.0,0.8,0.0,0.0,0.0,0.416667,0.125,0.0,1.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5870,0.0,0.681818,0.0,0.272727,0.0,0.0,0.0,0.333333,0.333333,0.4,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5959,0.0,0.318182,0.0,0.0909091,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5994,0.0,0.681818,0.0,0.363636,0.0,0.0,0.0,0.222222,0.0,0.8,0.0,0.0,0.0,0.333333,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6047,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6230,0.0,0.681818,0.0,0.363636,0.0,0.0,0.0,0.444444,0.0,0.2,0.0,0.0,0.0,0.416667,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
6989,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7005,0.0,0.363636,0.0,0.272727,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.583333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7950,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9142,0.0,0.818182,0.0,0.363636,0.0,0.0,0.0,0.666667,0.666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9170,0.0,0.727273,0.0,0.545455,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9502,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.2,0.0,0.0,0.25,0.125,0.25,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16562,0.0,0.227273,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27200,0.0,0.318182,0.0,0.0909091,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30951,0.0,0.272727,0.0,0.0,0.0,0.0,1.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31423,0.0,0.636364,0.0,0.181818,0.0,0.0,0.0,0.333333,0.666667,0.0,0.0,0.0,0.0,0.833333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36679,0.0,0.227273,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666667
39147,0.0,0.5,0.0,0.0909091,0.333333,0.0,1.0,0.222222,0.333333,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
55245,0.0,1.0,0.0,0.363636,0.0,0.0,0.0,0.555556,0.333333,0.2,0.0,0.0,0.0,0.666667,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
60961,0.0,0.318182,0.0,0.0,0.333333,0.142857,0.0,0.444444,0.333333,0.0,0.4,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68617,0.0,0.636364,0.0,0.272727,0.0,0.0,0.0,0.444444,0.333333,0.0,0.0,0.0,0.0,0.666667,0.375,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156391,0.0,0.409091,0.0,0.0,0.0,0.0,0.0,0.111111,0.333333,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333
174174,0.0,0.590909,0.0,0.272727,0.0,0.0,0.0,0.222222,0.0,0.0,0.4,0.0,0.0,0.666667,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222786,0.0,0.727273,0.0,0.272727,0.0,0.0,0.0,0.333333,0.0,0.8,0.0,0.0,0.0,0.333333,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
223368,0.0,0.681818,0.0,0.272727,0.0,0.0,0.0,0.333333,0.333333,0.4,0.0,0.0,0.0,0.5,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
441071,1.0,0.863636,0.0,0.363636,0.0,0.285714,1.0,0.555556,0.0,0.6,0.8,0.0,0.0,0.833333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441074,0.0,0.681818,0.0,0.0909091,0.333333,0.285714,0.0,0.444444,0.333333,0.0,0.2,0.0,0.0,0.583333,0.375,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441140,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,0.6,0.0,0.0,0.0,0.166667,0.375,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
446220,0.0,0.590909,0.0,0.272727,0.0,0.0,0.0,0.444444,0.0,0.0,0.4,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667467,0.0,0.636364,0.0,0.363636,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.666667,0.625,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548887,0.0,0.681818,0.0,0.0909091,0.0,0.0,0.0,0.333333,0.666667,0.0,0.0,0.0,0.0,0.666667,0.625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5284371,1.0,0.636364,0.0,0.0909091,0.0,0.142857,0.0,0.333333,0.666667,0.6,0.2,0.0,0.0,0.583333,0.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5324289,1.0,0.636364,0.0,0.181818,0.0,0.142857,0.0,0.333333,0.666667,0.6,0.2,0.0,0.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5353830,0.0,0.272727,0.0,0.0909091,0.0,0.142857,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54675779,0.0,0.727273,0.0,0.0909091,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.416667,0.375,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333333
