CID,dg_in_1,bd_in_2,na_in_C4,na_ex_Cl1,na_ex_I1,na_ex_N3,C4_2_C4_2_1,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_N3_2_1,C4_3_C4_4_1,C4_3_N3_2_1,FC_2_C4_0_/_/_0,FC_17_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_20_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_25_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_28_C4_0_I1_1_/_1_/_0_0,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_37_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,LeafAC_Cl1_C4_1,LeafAC_I1_C4_1,LeafAC_N3_C4_1,LeafAC_O2_C4_1
2343,0.0,0.5,0.419355,0.25,0.0,0.333333,0.222222,0.416667,0.375,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2405,0.4,0.214286,0.322581,0.0,0.0,0.0,0.222222,0.416667,0.25,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2441,0.0,0.5,0.387097,0.0,0.0,0.0,0.222222,0.333333,0.25,0.5,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,0.2,0.0,0.0967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2540,0.2,0.857143,0.903226,0.0,0.0,0.0,0.888889,0.5,0.625,0.0,0.0,0.25,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2554,0.0,0.5,0.387097,0.0,0.0,0.333333,0.444444,0.166667,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
2662,0.0,0.571429,0.419355,0.0,0.0,0.333333,0.222222,0.416667,0.625,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2727,0.2,0.214286,0.193548,0.25,0.0,0.0,0.111111,0.166667,0.25,0.5,0.0,0.25,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2754,0.0,0.357143,0.580645,0.0,0.0,0.0,0.888889,0.666667,0.125,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,0.2,0.142857,0.16129,0.0,0.0,0.666667,0.111111,0.0833333,0.0,1.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,0.0,0.0,0.16129,0.0,0.0,0.0,0.222222,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2764,0.0,0.285714,0.451613,0.0,0.0,0.0,0.333333,0.333333,0.375,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2769,0.0,0.428571,0.612903,0.25,0.0,0.333333,0.444444,0.5,0.5,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.333333,0.0
2794,0.2,0.928571,0.709677,0.5,0.0,0.0,0.444444,0.5,1.0,0.0,0.0,0.375,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2995,0.2,0.428571,0.483871,0.0,0.0,0.333333,0.777778,0.166667,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3019,0.0,0.285714,0.16129,0.25,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
3033,0.2,0.428571,0.354839,0.5,0.0,0.0,0.333333,0.166667,0.375,0.0,0.0,0.25,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2
3059,0.0,0.428571,0.322581,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
3100,0.2,0.428571,0.419355,0.0,0.0,0.333333,0.555556,0.166667,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3295,0.2,0.285714,0.16129,0.0,0.0,0.333333,0.0,0.25,0.125,0.0,0.0,0.125,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335,0.2,0.428571,0.419355,0.0,0.0,0.0,0.444444,0.333333,0.375,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3374,0.0,0.285714,0.322581,0.0,0.0,0.0,0.111111,0.333333,0.375,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3394,0.2,0.428571,0.354839,0.0,0.0,0.0,0.222222,0.333333,0.25,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3478,0.0,0.428571,0.580645,0.0,0.0,0.0,0.666667,0.5,0.375,1.0,0.0,0.625,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3559,0.0,0.428571,0.612903,0.25,0.0,0.0,0.666667,0.416667,0.5,0.0,0.166667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
3715,0.2,0.5,0.451613,0.25,0.0,0.0,0.111111,0.5,0.375,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
3718,0.2,0.428571,0.419355,0.0,0.0,0.0,0.333333,0.25,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3735,0.2,0.214286,0.193548,0.0,1.0,0.333333,0.0,0.25,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333333,0.2
4011,0.2,0.428571,0.548387,0.0,0.0,0.333333,0.777778,0.0833333,0.5,0.0,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159,0.2,0.142857,0.516129,0.0,0.0,0.0,0.111111,0.5,0.125,0.0,0.666667,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
4170,0.0,0.428571,0.387097,0.25,0.0,0.333333,0.222222,0.166667,0.5,0.0,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
4189,0.0,0.571429,0.516129,1.0,0.0,0.0,0.0,0.666667,0.25,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4409,0.2,0.357143,0.322581,0.0,0.0,0.0,0.111111,0.583333,0.25,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4463,0.0,0.428571,0.387097,0.0,0.0,0.0,0.222222,0.333333,0.0,0.5,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4485,0.4,0.357143,0.354839,0.0,0.0,0.333333,0.222222,0.0,0.25,0.0,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4495,0.2,0.428571,0.322581,0.0,0.0,0.333333,0.222222,0.333333,0.25,0.0,0.0,0.125,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4539,0.0,0.285714,0.354839,0.0,0.0,0.0,0.222222,0.166667,0.375,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
4543,0.2,0.5,0.516129,0.0,0.0,0.333333,0.777778,0.166667,0.625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4583,0.0,0.285714,0.419355,0.0,0.0,0.0,0.222222,0.166667,0.25,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
4594,0.0,0.5,0.354839,0.0,0.0,0.0,0.0,0.333333,0.25,0.5,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4616,0.0,0.5,0.419355,0.25,0.0,0.0,0.222222,0.333333,0.25,0.0,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
4641,0.2,0.428571,0.483871,0.0,0.0,0.0,0.444444,0.333333,0.375,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
4680,0.0,0.571429,0.451613,0.0,0.0,0.0,0.0,0.666667,0.375,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4748,0.2,0.428571,0.580645,0.25,0.0,0.0,0.666667,0.25,0.375,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
4754,0.4,0.214286,0.129032,0.0,0.0,0.0,0.111111,0.166667,0.25,0.0,0.0,0.125,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4756,0.0,0.5,0.290323,0.0,0.0,0.666667,0.222222,0.25,0.125,0.0,0.0,0.375,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0
4828,0.2,0.285714,0.290323,0.0,0.0,0.0,0.111111,0.333333,0.125,1.0,0.0,0.125,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
4829,0.0,0.428571,0.483871,0.0,0.0,0.0,0.222222,0.583333,0.375,0.5,0.0,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4889,0.4,0.142857,0.516129,0.0,0.0,0.0,0.111111,0.833333,0.125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8
4909,0.0,0.214286,0.258065,0.0,0.0,0.0,0.222222,0.0833333,0.125,1.0,0.5,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4911,0.4,0.214286,0.193548,0.0,0.0,0.0,0.111111,0.166667,0.25,0.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
4914,0.2,0.214286,0.225806,0.0,0.0,0.333333,0.222222,0.166667,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333,0.0
4926,0.2,0.428571,0.419355,0.0,0.0,0.333333,0.666667,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4927,0.2,0.428571,0.387097,0.0,0.0,0.333333,0.444444,0.0833333,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5035,0.0,0.714286,0.83871,0.0,0.0,0.0,0.777778,0.583333,0.625,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5090,0.0,0.5,0.451613,0.0,0.0,0.0,0.333333,0.333333,0.375,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5323,0.0,0.428571,0.258065,0.0,0.0,0.333333,0.111111,0.25,0.375,0.0,0.0,0.375,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
5339,0.0,0.714286,0.483871,0.0,0.0,0.0,0.333333,0.416667,0.5,0.0,0.0,0.5,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5340,0.0,0.357143,0.225806,0.0,0.0,0.333333,0.111111,0.166667,0.25,0.5,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
5343,0.0,0.428571,0.258065,0.0,0.0,0.333333,0.111111,0.25,0.375,0.0,0.0,0.375,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
5344,0.0,0.357143,0.225806,0.0,0.0,0.333333,0.111111,0.166667,0.25,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
5405,0.0,0.642857,0.83871,0.0,0.0,0.0,1.0,0.583333,0.5,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5411,0.4,0.214286,0.290323,0.0,0.0,0.333333,0.333333,0.166667,0.25,0.5,0.0,0.125,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5430,0.0,0.428571,0.258065,0.0,0.0,0.0,0.222222,0.0,0.375,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5546,0.0,0.571429,0.322581,0.0,0.0,1.0,0.222222,0.0833333,0.125,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5743,0.2,0.142857,0.516129,0.0,0.0,0.0,0.111111,0.583333,0.125,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
5745,0.2,0.0714286,0.548387,0.0,0.0,0.0,0.333333,0.583333,0.125,0.0,0.666667,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
5753,0.2,0.0714286,0.516129,0.0,0.0,0.0,0.333333,0.583333,0.125,0.0,0.666667,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5833,0.2,0.0714286,0.580645,0.0,0.0,0.0,0.444444,0.583333,0.125,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5870,0.0,0.214286,0.483871,0.0,0.0,0.0,0.333333,0.666667,0.125,0.0,0.333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
6047,0.2,0.214286,0.193548,0.0,0.0,0.333333,0.0,0.416667,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.6
6854,0.0,0.428571,0.322581,0.0,0.0,0.0,0.444444,0.0,0.5,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11487,0.0,0.428571,0.322581,0.0,0.0,0.0,0.444444,0.166667,0.25,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25429,0.2,0.285714,0.193548,0.0,0.0,0.0,0.222222,0.0,0.25,0.0,0.0,0.625,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28417,0.0,0.214286,0.516129,0.0,0.0,0.0,0.333333,0.583333,0.125,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
28871,0.2,0.571429,0.451613,0.25,0.0,0.0,0.333333,0.333333,0.375,0.0,0.0,0.125,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
30951,0.4,0.214286,0.193548,0.25,0.0,0.0,0.0,0.333333,0.125,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
31101,0.2,0.357143,0.741935,0.0,0.0,0.0,0.333333,0.583333,0.25,0.0,0.333333,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
31307,0.2,0.142857,0.516129,0.0,0.0,0.0,0.111111,0.583333,0.125,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
38103,0.0,0.214286,0.387097,0.0,0.0,0.333333,0.333333,0.166667,0.125,0.0,0.0,0.25,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.2
39186,0.4,0.428571,0.483871,0.0,0.0,0.333333,0.444444,0.166667,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55245,0.2,0.357143,0.709677,0.0,0.0,0.333333,0.444444,0.75,0.375,0.0,0.166667,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
55283,0.2,0.857143,0.967742,0.5,0.0,0.0,0.444444,0.75,0.625,0.5,0.166667,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
56206,0.0,0.5,0.548387,0.0,0.0,0.0,0.333333,0.333333,0.625,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
60795,0.0,0.428571,0.677419,0.5,0.0,0.0,0.777778,0.5,0.25,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
64143,0.2,0.428571,0.806452,0.0,0.0,0.0,0.666667,0.75,0.25,0.0,0.0,0.375,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
65981,0.4,0.428571,0.612903,0.0,0.0,0.0,0.666667,0.5,0.375,0.0,0.0,0.25,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
65999,0.2,1.0,0.83871,0.0,0.0,0.0,0.555556,0.5,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
68570,0.0,0.214286,0.483871,0.0,0.0,0.0,0.333333,0.666667,0.125,0.0,0.333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
71414,0.4,0.142857,0.548387,0.0,0.0,0.0,0.0,0.666667,0.125,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
74989,0.0,0.5,0.645161,0.25,0.0,0.0,0.555556,0.5,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2
150311,0.0,0.642857,0.709677,0.0,0.0,0.0,0.444444,0.666667,0.75,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
222528,0.2,0.0,0.580645,0.0,0.0,0.0,0.444444,0.833333,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
275196,0.0,0.428571,0.516129,0.0,0.0,0.0,0.111111,0.333333,0.125,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392622,0.0,0.714286,0.903226,0.0,0.0,0.0,0.444444,0.833333,0.5,0.5,0.0,0.875,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
441071,0.0,0.285714,0.612903,0.0,0.0,0.0,0.444444,0.416667,0.375,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441073,0.0,0.357143,0.483871,0.0,0.0,0.0,0.111111,0.666667,0.125,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
441140,0.0,0.285714,0.354839,0.25,0.0,0.0,0.0,0.333333,0.25,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
441243,0.4,0.571429,1.0,0.0,0.0,0.333333,0.777778,1.0,0.375,0.0,0.0,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.2
445154,0.0,0.5,0.387097,0.0,0.0,0.0,0.111111,0.583333,0.625,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
456201,0.0,0.571429,0.709677,0.5,0.0,0.0,0.333333,0.583333,0.375,0.5,0.166667,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
667467,0.2,0.5,0.451613,0.25,0.0,0.333333,0.444444,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
969516,0.0,0.571429,0.548387,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
1548887,0.2,0.571429,0.483871,0.0,0.0,0.0,0.111111,0.583333,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2733526,0.2,0.714286,0.645161,0.0,0.0,0.333333,0.666667,0.333333,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
