CID,n,ms,dg_3,dg_in_1,na_in_C4,na_ex_Cl1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_3_2,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_N3_2_1,FC_2_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_17_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_23_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_34_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_38_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_39_C4_0_O2_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_63_C4_0_H1_1_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_77_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_N3_1,LeafAC_O2_C4_1,LeafAC_O2_N3_2
702,0.0384615,0.047596,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
727,0.384615,0.646595,0.5,0.0,0.272727,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,0.269231,0.16723,0.166667,0.0,0.363636,0.0,0.0,0.0,0.285714,0.5,0.5,0.0,0.0,0.142857,0.0,0.2,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,0.0,0.0596726,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
904,0.307692,0.155968,0.0833333,0.5,0.272727,0.0,0.0,0.166667,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0
931,0.307692,0.156285,0.166667,0.0,0.454545,0.0,0.0,0.0,0.428571,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0.192308,0.162788,0.0833333,0.0,0.272727,0.0,0.0,0.166667,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
1031,0.0769231,0.0415577,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
1049,0.153846,0.160128,0.0,0.0,0.227273,0.0,0.0,0.0,0.285714,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,0.0384615,0.144209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.230769,0.227882,0.0,1.0,0.0909091,0.0,0.0,0.666667,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
1140,0.192308,0.103148,0.0833333,0.0,0.272727,0.0,0.0,0.0,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0
1146,0.0769231,0.0164755,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1174,0.230769,0.277051,0.166667,0.0,0.181818,0.0,0.0,0.333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,0.576923,0.173037,0.416667,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.142857,0.166667,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
1775,0.653846,0.211604,0.333333,0.0,0.681818,0.0,0.0,0.333333,0.571429,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.346154,0.180137,0.166667,0.5,0.272727,0.0,0.0,0.333333,0.142857,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.166667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
2153,0.423077,0.235646,0.5,0.0,0.227273,0.0,0.0,0.333333,0.0,0.0,0.5,0.0,0.0,0.142857,0.166667,0.4,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
2244,0.423077,0.235646,0.166667,0.5,0.272727,0.0,0.0,0.5,0.285714,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
2256,0.461538,0.1879,0.25,1.0,0.136364,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2294,0.423077,0.169811,0.25,0.0,0.181818,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
2331,0.269231,0.180816,0.0833333,0.0,0.272727,0.0,0.5,0.166667,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,0.384615,0.159698,0.25,0.5,0.318182,0.0,0.5,0.166667,0.142857,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0
2378,0.846154,0.17095,0.5,0.0,1.0,0.0,0.0,0.0,0.714286,1.0,0.5,0.285714,0.0,0.428571,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.653846,0.361816,0.5,0.0,0.636364,0.0,0.0,0.166667,0.285714,0.5,0.5,0.0,0.0,0.285714,0.166667,0.6,0.666667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2519,0.461538,0.20912,0.583333,0.0,0.227273,0.0,0.0,0.333333,0.0,0.0,0.0,0.142857,0.0,0.142857,0.166667,0.2,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2537,0.346154,0.0757747,0.166667,0.0,0.318182,0.0,0.0,0.166667,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2726,0.730769,0.202418,0.5,0.5,0.681818,0.1,0.5,0.0,0.571429,0.75,0.0,0.142857,0.0,0.142857,0.166667,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
2879,0.230769,0.136661,0.166667,0.0,0.272727,0.0,0.0,0.166667,0.142857,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
2995,0.692308,0.114017,0.416667,0.5,0.772727,0.0,0.5,0.0,1.0,1.0,0.0,0.142857,0.0,0.285714,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
3016,0.692308,0.238187,0.583333,0.0,0.681818,0.1,0.0,0.166667,0.285714,0.5,0.5,0.0,0.0,0.285714,0.166667,0.0,0.666667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
3036,0.653846,0.456906,0.416667,0.0,0.590909,0.5,0.0,0.0,0.285714,1.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120,0.461538,0.296978,0.333333,0.5,0.318182,0.2,0.5,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,0.166667,0.4,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
3283,0.115385,0.0379347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
3335,0.653846,0.188124,0.333333,0.5,0.681818,0.0,0.0,0.5,0.571429,0.75,0.0,0.0,0.0,0.285714,0.0,0.0,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
3365,0.769231,0.258936,0.416667,0.0,0.590909,0.0,0.0,0.166667,0.0,0.25,1.0,0.571429,0.0,0.0,0.166667,0.0,0.166667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
3394,0.615385,0.197579,0.416667,0.5,0.590909,0.0,0.0,0.333333,0.285714,0.5,0.0,0.0,0.0,0.285714,0.166667,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
3661,0.730769,0.12678,0.583333,0.0,0.681818,0.0,0.0,0.333333,0.428571,0.25,0.0,0.0,0.0,0.285714,0.0,0.0,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0
3672,0.5,0.109077,0.25,1.0,0.363636,0.0,0.0,0.333333,0.142857,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.166667,0.0
3676,0.576923,0.0959024,0.416667,0.5,0.363636,0.0,0.0,0.166667,0.142857,0.25,0.0,0.142857,0.0,0.142857,0.166667,0.4,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0
3696,0.730769,0.107979,0.416667,0.5,0.772727,0.0,0.5,0.0,1.0,1.0,0.0,0.142857,0.0,0.285714,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
3715,0.884615,0.243561,0.75,0.5,0.727273,0.1,0.0,0.666667,0.142857,0.75,0.0,0.0,0.0,0.285714,0.333333,0.0,0.666667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
3718,0.730769,0.194025,0.583333,0.5,0.681818,0.0,0.0,0.5,0.428571,1.0,0.0,0.142857,0.0,0.428571,0.0,0.0,0.666667,0.333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
3776,0.0769231,0.0415577,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.166667,0.0
3825,0.653846,0.188124,0.416667,0.5,0.636364,0.0,0.0,0.5,0.428571,0.75,0.0,0.0,0.0,0.428571,0.0,0.0,0.5,0.333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
3958,0.730769,0.332214,0.666667,0.0,0.681818,0.2,0.0,0.333333,0.285714,0.75,0.0,0.0,0.0,0.571429,0.166667,0.6,0.666667,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
4463,0.692308,0.195001,0.666667,0.0,0.636364,0.0,0.0,0.166667,0.285714,0.0,0.5,0.0,0.0,0.285714,0.333333,0.6,0.666667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0
4485,0.884615,0.207119,0.75,1.0,0.590909,0.0,0.5,1.0,0.285714,0.5,0.0,0.0,0.0,0.857143,0.333333,0.4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0
4616,0.692308,0.271909,0.583333,0.0,0.681818,0.1,0.0,0.333333,0.285714,0.5,0.0,0.0,0.0,0.428571,0.166667,0.6,0.666667,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
4748,0.961538,0.183469,0.666667,0.5,0.909091,0.1,0.0,0.166667,0.857143,0.75,0.0,1.0,0.0,0.142857,0.166667,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
4754,0.423077,0.143976,0.166667,1.0,0.272727,0.0,0.0,0.166667,0.142857,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
4763,0.576923,0.204592,0.333333,0.0,0.454545,0.0,0.0,0.5,0.285714,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.166667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0
4914,0.576923,0.116465,0.333333,0.5,0.409091,0.0,0.5,0.166667,0.285714,0.5,0.0,0.142857,0.5,0.142857,0.0,0.0,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
4926,0.692308,0.155681,0.416667,0.5,0.681818,0.0,0.5,0.0,0.857143,1.0,0.0,0.142857,0.0,0.285714,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5452,0.884615,0.1641,0.666667,0.0,0.863636,0.0,0.0,0.0,0.857143,0.75,0.0,0.285714,0.0,0.142857,0.166667,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
5566,1.0,0.195186,0.666667,0.0,0.863636,0.0,0.0,0.0,0.857143,0.75,0.0,0.857143,0.0,0.142857,0.166667,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
5568,0.846154,0.214702,0.5,0.5,0.681818,0.0,0.5,0.0,0.571429,0.75,0.0,0.142857,0.0,0.142857,0.166667,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5743,1.0,0.143573,0.583333,0.5,0.818182,0.0,0.0,0.833333,0.142857,0.25,0.0,0.0,0.0,0.142857,0.0,0.0,0.166667,0.333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
5753,0.884615,0.111712,0.666667,0.5,0.818182,0.0,0.0,0.666667,0.428571,0.25,0.0,0.0,0.0,0.571429,0.0,0.0,0.166667,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0
5754,0.923077,0.121134,0.583333,0.5,0.818182,0.0,0.0,0.833333,0.428571,0.25,0.0,0.0,0.0,0.428571,0.0,0.0,0.166667,0.333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.5,0.0
5757,0.692308,0.105783,0.583333,0.0,0.772727,0.0,0.0,0.333333,0.428571,0.25,0.0,0.0,0.0,0.428571,0.166667,0.0,0.333333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0
5760,0.769231,0.152775,0.666667,0.5,0.681818,0.0,0.0,0.5,0.428571,0.25,0.0,0.0,0.0,0.571429,0.0,0.0,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
5865,0.923077,0.143976,0.583333,0.5,0.818182,0.0,0.0,0.833333,0.285714,0.25,0.0,0.0,0.0,0.428571,0.0,0.0,0.166667,0.666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0
5950,0.153846,0.141886,0.0,0.0,0.0,0.0,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0
