CID,bd_in_2,C4_2_C4_2_2,C4_2_C4_3_2,C4_3_N3_2_1,C4_3_O2_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_10_C4_0_F1_1_/_1_/_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0
3033,0.6,0.5,0.6,0.4,0.0,0.636364,0.5,0.0,0.5,0.0,0.0
3100,0.6,1.0,0.4,0.0,0.5,1.0,0.333333,0.0,0.0,0.0,0.0
3342,0.6,0.75,0.6,0.0,1.0,0.818182,0.5,0.0,0.0,1.0,0.0
3371,0.6,0.5,0.8,0.4,0.0,0.727273,0.333333,0.0,0.0,0.0,0.0
3374,0.4,0.0,0.6,0.0,0.0,0.272727,0.5,0.5,0.0,0.0,0.0
3394,0.6,0.75,0.4,0.0,0.0,0.727273,0.5,0.5,0.0,1.0,0.0
3478,0.6,0.25,0.6,1.0,0.0,0.636364,0.5,0.0,0.0,0.0,0.0
3608,0.1,0.0,0.2,0.4,0.0,0.0909091,0.166667,0.0,0.0,0.0,0.0
3647,0.3,0.0,0.4,0.2,0.0,0.181818,0.333333,0.0,0.0,0.0,0.0
3672,0.3,0.25,0.4,0.0,0.0,0.363636,0.333333,0.0,0.0,1.0,0.0
3948,0.4,0.0,0.4,0.2,0.0,0.181818,0.5,1.0,0.0,0.0,0.0
4011,0.6,0.5,0.8,0.0,0.0,0.818182,0.833333,0.0,0.0,0.0,0.0
4044,0.6,0.5,0.6,0.4,0.0,0.636364,0.333333,0.0,0.0,0.0,0.0
4168,0.3,0.0,0.4,0.2,0.0,0.181818,0.166667,0.0,0.25,0.0,0.0
4173,0.2,0.0,0.2,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0
4189,0.8,0.75,0.4,0.0,0.5,0.909091,0.333333,0.0,1.0,0.0,0.0
4421,0.4,0.25,0.2,0.2,0.0,0.272727,0.333333,0.0,0.0,0.0,0.0
4488,0.6,0.5,0.4,0.6,0.0,0.636364,0.333333,0.0,0.0,0.0,0.0
4539,0.4,0.0,0.6,0.0,0.0,0.272727,0.5,0.5,0.0,0.0,0.0
4583,0.4,0.0,0.4,0.0,0.5,0.181818,0.666667,0.5,0.0,0.0,0.0
4680,0.8,0.5,0.6,0.0,0.0,0.636364,0.666667,0.0,0.0,0.0,0.0
4756,0.7,0.75,0.2,0.6,0.0,0.636364,0.333333,0.0,0.0,0.0,0.0
4763,0.3,0.5,0.2,0.8,0.0,0.454545,0.166667,0.0,0.0,0.0,0.0
4781,0.6,1.0,0.4,0.0,0.0,1.0,0.333333,0.0,0.0,0.0,0.0
4828,0.4,0.5,0.2,0.2,0.5,0.454545,0.5,0.0,0.0,0.0,0.0
4914,0.3,0.25,0.4,0.0,0.5,0.363636,0.166667,0.0,0.0,0.0,0.0
4946,0.5,0.5,0.6,0.0,0.5,0.636364,0.5,0.0,0.0,0.0,0.0
5195,0.3,0.5,0.2,0.0,0.0,0.454545,0.166667,0.0,0.0,0.0,0.0
5320,0.3,0.25,0.4,0.0,0.0,0.363636,0.166667,0.0,0.0,0.0,1.0
5327,0.6,0.25,0.6,0.6,0.0,0.454545,0.333333,0.0,0.0,0.0,0.0
5339,1.0,0.75,0.8,0.8,0.0,1.0,0.666667,0.0,0.0,0.0,0.0
5340,0.5,0.5,0.4,0.2,0.0,0.545455,0.333333,0.0,0.0,0.0,0.0
5411,0.3,0.25,0.4,0.2,0.5,0.363636,0.333333,0.0,0.0,0.0,0.0
5509,0.5,0.25,0.8,0.0,0.0,0.545455,0.5,0.0,0.0,0.0,0.0
5560,0.3,0.0,0.4,0.6,0.0,0.181818,0.333333,0.0,0.25,0.0,0.0
5578,0.6,0.0,0.6,0.2,0.0,0.272727,0.333333,0.0,0.0,0.0,0.0
5584,0.6,0.5,0.8,0.0,0.0,0.727273,0.666667,0.0,0.0,0.0,0.0
6024,0.3,0.25,0.2,0.4,0.0,0.454545,0.333333,0.0,0.0,0.0,0.0
6989,0.3,0.25,0.2,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0
7005,0.5,0.5,0.6,0.0,0.0,0.636364,0.333333,0.0,0.0,0.0,0.0
10894,0.3,0.25,0.4,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,0.0
39186,0.6,0.5,0.8,0.0,0.5,0.909091,0.5,0.0,0.0,0.0,0.0
56206,0.7,0.25,1.0,0.0,0.0,0.636364,0.666667,1.0,0.0,0.0,0.0
56208,0.7,0.25,1.0,0.0,0.0,0.636364,0.666667,1.0,0.0,0.0,0.0
60464,0.4,0.0,0.2,0.4,0.0,0.181818,0.5,1.0,0.0,0.0,0.0
71188,0.4,0.0,0.6,0.0,0.0,0.363636,0.5,0.5,0.0,0.0,0.0
71335,0.4,0.0,0.6,0.0,0.0,0.545455,0.5,0.5,0.0,0.0,0.0
77918,0.5,0.75,0.2,0.0,0.0,0.727273,0.166667,0.0,0.0,0.0,0.0
79858,0.3,0.25,0.2,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0
81814,0.3,0.0,0.4,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.0
156391,0.5,0.5,0.4,0.0,0.0,0.545455,0.5,0.0,0.0,1.0,0.0
174174,0.3,0.5,0.2,0.0,1.0,0.727273,0.166667,0.0,0.0,0.0,0.0
667467,0.7,0.5,0.8,0.0,0.0,0.727273,0.833333,0.0,0.25,0.0,0.0
1548887,0.8,0.5,0.8,0.0,0.0,0.727273,0.833333,0.5,0.0,0.0,0.0
3001055,0.3,0.0,0.6,0.2,1.0,0.181818,0.333333,0.0,0.0,0.0,0.0
3034034,0.5,0.5,0.2,0.0,0.0,0.636364,0.5,0.0,0.0,0.0,0.0
5284596,0.3,0.25,0.0,0.0,1.0,0.363636,0.666667,0.0,0.0,0.0,0.0
5702160,0.3,0.0,0.2,0.4,0.0,0.0909091,0.333333,0.0,0.0,0.0,0.0
6604200,0.3,0.0,0.4,0.4,1.0,0.272727,0.166667,0.0,0.0,0.0,0.0
54675776,0.5,0.25,0.2,0.0,0.0,0.454545,0.5,0.0,0.0,0.0,0.0
54675779,0.5,0.25,0.2,0.0,0.0,0.454545,0.5,0.0,0.0,0.0,0.0
54676228,0.7,0.5,0.6,0.6,0.0,0.727273,0.666667,0.0,0.0,0.0,0.0
54678486,0.7,0.75,0.6,0.0,1.0,0.909091,0.666667,0.0,0.0,0.0,0.0
135398634,0.3,0.0,0.0,1.0,0.0,0.0909091,0.333333,0.0,0.0,0.0,0.0
