SLN,Smiles,logS
O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH3,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.9066
O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH3,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.0706
O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH2CH3,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.6778
O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OC(=O)CH2CH2CH2CH3,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.8861
C(C[s=N]H(NH2)CH(CH3)CH3)(=O)OH,CC(C)C(N)C(=O)O,-0.3098
C(C[s=N]H(NHC(C[s=N]H(NH2)CH2C[15]=CHNHC[20]=CHCH=CHCH=C@15@20)=O)CH2CH(CH3)CH3)(=O)OH,CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-1.7612
C(C[s=N]H(NHC(CH2NH2)=O)CH2C[17]=CHCH=C(OH)CH=CH@17)(=O)OH,NCC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-0.7326
C(CH2NHC(C[s=N]H(NH2)CH2C[16]=CHCH=C(OH)CH=CH@16)=O)(=O)OH,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)O,-1.0983
C(C[s=N]H(NHC(C[s=N]H(NH2)CH2C[15]=CHCH=C(OH)CH=CH@15)=O)CH2CH(CH3)CH3)(=O)OH,CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-2.0709
C(CH2NHC(CH2NHC(C[s=N]H(NH2)CH2C[22]=CHCH=C(OH)CH=CH@22)=O)=O)(=O)OH,NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)O,-1.4703
C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH2C[29]=CHCH=C(OH)CH=CH@29)(=O)OH,CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.5768
C(C[s=N]H(NHC(C[s=N]H(NH2)CH(CH3)CH3)=O)CH(CH3)CH3)(=O)OH,CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.4056
C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH(CH3)CH3)(=O)OH,CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,-0.1748
C(C[s=N]H(NHC(CH2NH2)=O)CH2CH(CH3)CH3)(=O)OH,CC(C)CC(NC(=O)CN)C(=O)O,-0.4333
C(C[s=N]H(NHC(CH2NHC(CH2NH2)=O)=O)CH2CH(CH3)CH3)(=O)OH,CC(C)CC(NC(=O)CNC(=O)CN)C(=O)O,-0.1132
C(CH2NHC(CH2NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)=O)(=O)OH,CC(C)CC(N)C(=O)NCC(=O)NCC(=O)O,0.3076
C(C[s=N]H(NHC(CH2NH2)=O)CH2C[17]=CHNHC[22]=CHCH=CHCH=C@17@22)(=O)OH,NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.8856
C(CH2NHC(C[s=N]H(NH2)CH2C[16]=CHNHC[21]=CHCH=CHCH=C@16@21)=O)(=O)OH,NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,-0.8466
C(C[s=N]H(NHC(C[s=N]H(NH2)CH2CH(CH3)CH3)=O)CH2C[29]=CHNHC[34]=CHCH=CHCH=C@29@34)(=O)OH,CC(C)CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.1178
S[1](=O)(=O)C[s=I]H(CH2C[s=I]H(NHCH2CH3)C[20]=C@1SC(S(=O)(=O)NH2)=CH@20)CH3,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,-1.2219
NH2CH(C(OH)=O)CH2C(OH)=O,NC(CC(=O)O)C(=O)O,-1.2219
NH2CH(C(OH)=O)CH2C(NH2)=O,NC(=O)CC(N)C(=O)O,-1.2924
S(=O)(=O)(NH2)C[7]SC(NHC(=O)CH3)=NN=@7,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.4949
S(=O)(=O)(NH2)C[7]SC(N(N=@7)CH3)=[S=I]NC(=O)CH3,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.9208
S(=O)(=O)(NH2)C[7]SC[9]=C(N=@7)CH=CHC(OCH2CH3)=CH@9,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-4.3979
S(=O)(=O)(NHC[6]SC(S(=O)(=O)NH2)=NN=@6)C[17]=CHCH=CHCH=CH@17,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,-2.9208
C(C[s=N]H(NH2)C[7]CH=CHCH=CHCH=@7)(=O)OH,NC(C(=O)O)c1ccccc1,-1.2676
C(C[s=N]H(NH2)CH2OH)(=O)OH,NC(CO)C(=O)O,-1.1367
C(C[s=N]H(NH2)CH(OH)C[11]CH=CHCH=CHCH=@11)(=O)OH,NC(C(=O)O)C(O)c1ccccc1,-1.3188
NH2CH(C(OH)=O)CH2SH,NC(CS)C(=O)O,-1.1871
OHC(C[4]=C(CH=C(OH)CH=CH@4)CH3)=O,Cc1cc(O)ccc1C(=O)O,-1.4949
OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH3)=O,CCc1cc(O)ccc1C(=O)O,-1.9586
OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH2CH3)=O,CCCc1cc(O)ccc1C(=O)O,-2.3979
OHC(C[4]=C(CH=C(OH)CH=CH@4)CH2CH2CH2CH3)=O,CCCCc1cc(O)ccc1C(=O)O,-2.8239
OHC[3:s=I]HC[5:s=N](C[s=I]H(C[8:s=N]HC[s=N]H(C[12:s=I](CH(CH2C[s=I]H@8OH)CH2C[s=I]H(OH)CH2CH2@12)CH3)CH2@3)CH2CH2CH@5C[s=N]H(CH2CH2C(OH)=O)CH3)CH3,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-2.5918
OHC[3:s=I]HC[5:s=N]HC[7:s=N]HC[s=N](CH(CH2CH2@7)C[s=N]H(CH2CH2C(OH)=O)CH3)(CH2CH2CH@5C[42:s=I](CH(CH@3OH)CH2C[s=I]H(OH)CH2CH2@42)CH3)CH3,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,-4.3468
OHC[3]HC[5]HC(C[8]HCH(C[12]HC(CH(CH2CH2@12)CH(CH2CH2C(OH)=O)CH3)(CH2CH2@8)CH3)CH2@3)(CH2CH2CH(OH)CH2@5)CH3,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,-4.8239
OHC[3:s=N]HC[5:s=N]HC[7:s=N]HC[s=N](CH(CH2CH2@7)C[s=N]H(CH2CH2C(OH)=O)CH3)(CH2CH2CH@5C[42:s=I](CH(CH2@3)CH2C[s=I]H(OH)CH2CH2@42)CH3)CH3,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.5686
OHC[3:s=I]HC[5:s=N](CH(C[8:s=N]HC[s=N]H(C[12:s=I](CH(CH2CH2@8)CH2C[s=I]H(OH)CH2CH2@12)CH3)CH2@3)CH2CH2CH@5C[s=N]H(CH2CH2C(OH)=O)CH3)CH3,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,-4.5528
OHC[s=N]H(CH2NHCH3)C[14]=CHC(OH)=CHCH=CH@14,CNCC(O)c1cccc(O)c1,0.58
O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]C(OCH2CH=CH2)=CHCH=CHCH=@24,C=CCOc1ccccc1OCC(O)CNC(C)C,0.38
OHCH(CH2NHCH(CH3)CH3)C[20]=CHC(OH)=C(OH)CH=CH@20,CC(C)NCC(O)c1ccc(O)c(O)c1,0.14
O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]=CHCH=C(CH=CH@24)CH2C(=O)NH2,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.04
O(CH2CH(OH)CH2NHCH(CH3)CH3)C[24]C[25]C(CH=CHCH=@24)=CHCH=CHCH=@25,CC(C)NCC(O)COc1cccc2ccccc12,-0.48
OHCH(CH2NHCH(CH2CH2C[18]=CHCH=CHCH=CH@18)CH3)C[33]=CHC(=C(OH)CH=CH@33)C(=O)NH2,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,-1.3
O=C(N[3]C[s=N]H(CH2CH2CH2@3)C(OH)=O)C[s=N]H(NHC[s=I]H(CH2CH2C[31]=CHCH=CHCH=CH@31)C(OCH2CH3)=O)CH3,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,-1.1778
C[1]H=CHCH=C(CH=CH@1)CH2CH2C[s=N]H(NHC[s=I]H(CH2N[27]CH2CH2CH2CH@27C(=O)OH)CH3)C(OCH2CH3)=O,CCOC(=O)C(CCc1ccccc1)NC(C)CN1CCCC1C(=O)O,-1.237
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)OCH3,COc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1,-4.4733
C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH3)CH2CH(CH3)CH3)OH,CC(C)CN(C)Cc1cc(C(=O)c2ccc(S(N)(=O)=O)s2)ccc1O,-1.3785
C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH3)CH3)OH,CN(C)Cc1cc(C(=O)c2ccc(S(N)(=O)=O)s2)ccc1O,-1.4906
C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH(CH3)CH3,CC(C)CNCc1cccc(C(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.5471
C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2OCH2CH2@29,NS(=O)(=O)c1ccc(C(=O)c2cccc(CN3CCOCC3)c2)s1,-1.8828
C[1]H=CHC(=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH2CH(CH3)CH3,CC(C)CCNCc1cccc(C(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.4569
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(O@13)S(=O)(=O)NH2)OCH3,COc1ccc(C(=O)c2ccc(S(N)(=O)=O)o2)cc1,-4.1481
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OCH3,COc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,-4.2219
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OH,NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(O)cc2)s1,-3.0272
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH3,Cc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,-4.0245
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2N[30]CH2CH2OCH2CH2@30,NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)s1,-1.0607
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3,CC(C)CNCc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,-1.1196
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH2CH2CH3,CCCCNCc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,-1.6449
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)OH,NS(=O)(=O)c1ccc(C(=O)c2ccc(O)cc2)s1,-2.8612
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2C[35]=CHCH=CHCH=N@35,NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)s1,-0.6726
C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)OH,NS(=O)(=O)c1ccc(S(=O)(=O)c2cccc(O)c2)s1,-2.719
C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3,CC(C)CNCc1cccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.552
C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH(CH2CH3)CH3,CCC(C)NCc1cccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.2884
C[1]H=CHCH=C(C(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2CH(CH3)CH3,CC(C)CNCc1ccccc1S(=O)(=O)c1ccc(S(N)(=O)=O)s1,-1.9266
C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH(CH3)CH3,CC(C)NCc1cccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.5165
C[1]H=CHC(=CHC(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHC(CH3)(CH3)CH3,CC(C)(C)NCc1cccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)c1,-1.9362
C[1]H=CHCH=C(C(=CH@1)S(=O)(C[13]=CHCH=C(S@13)S(=O)(=O)NH2)=O)CH2NHCH2C[35]=NCH=CHCH=CH@35,NS(=O)(=O)c1ccc(S(=O)(=O)c2ccccc2CNCc2ccccn2)s1,-1.9109
C[1]H=C(C(=CHC(=CH@1)S(=O)(C[12]=CHCH=C(S@12)S(=O)(=O)NH2)=O)OH)CH2N(CH2CH3)CH2CH3,CCN(CC)Cc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1O,-2.4608
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)OCH3,COc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)o2)cc1,-3.0244
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)OH,NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(O)cc2)o1,-2.4027
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH3,Cc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1,-4.4492
C[1]H=C(CH=CHC(=CH@1)S(=O)(C[13]=CHCH=C(O@13)S(=O)(=O)NH2)=O)CH3,Cc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)o2)cc1,-3.7801
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH3,CNCc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1,-2.352
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH(CH3)CH3,CC(C)CNCc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1,-2.003
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2C[34]=CHCH=CHCH=CH@34,NS(=O)(=O)c1ccc(C(=O)c2ccc(CNCc3ccccc3)cc2)s1,-3.3319
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2NHCH2CH2CH2CH3,CCCCNCc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1,-2.1669
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2OCH2CH2@29,NS(=O)(=O)c1ccc(C(=O)c2ccc(CN3CCOCC3)cc2)s1,-1.4812
C[1]H=C(CH=CHC(=CH@1)C(=O)C[13]=CHCH=C(S@13)S(=O)(=O)NH2)CH2N[29]CH2CH2N(CH2CH2@29)CH3,CN1CCN(Cc2ccc(C(=O)c3ccc(S(N)(=O)=O)s3)cc2)CC1,-1.8802
C[1]H=C(C(=CHC(=CH@1)C(=O)C[12]=CHCH=C(S@12)S(=O)(=O)NH2)CH2N(CH2CH3)CH2CH3)OH,CCN(CC)Cc1cc(C(=O)c2ccc(S(N)(=O)=O)s2)ccc1O,-1.0324
