CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_O2,ns_co_C2,ns_co_N2,ns_co_C4,ns_co_N3,ns_nc_O1,ns_nc_C2,ns_nc_N1,ns_nc_C1,ns_nc_O2,ns_nc_C3,ns_nc_N2,ns_nc_N3,ns_nc_C4,ec_co_C3_O2_1,ec_co_C3_C3_1,ec_co_C2_O2_1,ec_co_C2_C3_1,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C2_C2_2,ec_co_C3_C3_2,ec_co_C3_N2_1,ec_co_C2_C4_1,ec_co_C3_C4_1,ec_co_C2_N2_1,ec_co_C3_N3_1,ec_co_C2_N2_2,ec_co_C3_N2_2,ec_co_C4_C4_1,ec_co_C4_N2_1,ec_co_N2_N2_2,ec_co_C4_O2_1,ec_co_C2_N3_1,ec_co_N2_N2_1,ec_co_N2_O2_1,ec_co_N2_N3_1,ec_co_N3_N3_1,ec_in_C3_O2_1,ec_in_C3_N2_1,ec_in_C2_C2_1,ec_in_C4_C2_1,ec_in_N2_C3_1,ec_in_N3_C2_1,ec_in_C2_O2_1,ec_in_O2_C3_1,ec_in_C3_C2_1,ec_in_C3_C3_1,ec_in_C2_C3_1,ec_in_C4_O2_1,ec_in_O2_C2_1,ec_in_C4_C3_1,ec_in_N3_C3_1,ec_in_C3_N3_1,ec_in_N2_C2_2,ec_in_C2_N2_1,ec_in_N2_C2_1,ec_in_C2_C2_2,ec_ex_C2_O1_1,ec_ex_C3_C2_1,ec_ex_C2_N1_3,ec_ex_C3_O1_1,ec_ex_C3_C1_1,ec_ex_C3_O1_2,ec_ex_C4_C1_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C3_C3_1,ec_ex_C3_C1_2,ec_ex_C2_C1_1,ec_ex_C4_C2_1,ec_ex_O2_C2_1,ec_ex_N2_C3_1,ec_ex_N3_C1_1,ec_ex_C2_C2_1,ec_ex_C3_N1_1,ec_ex_C2_C1_2,ec_ex_C3_N3_1,ec_ex_N2_C2_1,ec_ex_N2_C4_1,ec_ex_N2_C1_1,ec_ex_C3_N2_1,ec_ex_C4_C3_1,ec_ex_C2_C3_2,ec_ex_N3_C2_1,ec_ex_C2_C3_1,ec_ex_O2_C3_1,ec_ex_C2_C1_3,ec_ex_C3_C4_1,ec_ex_C4_O1_1,ec_ex_C2_O2_1,ec_ex_C2_N3_1,ec_ex_C2_C2_2,ec_ex_C2_C4_1,ec_ex_C2_O1_2,ec_ex_N2_N1_1,ec_ex_C3_C2_2,nsH
52,17,12,2,0,129.412,0,7,4,1,4,1,0,0,1,0,0,0,3,0,4,0,5,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
53,18,18,0,0,120,0,12,6,0,0,0,0,0,9,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
56,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
58,12,10,1,0,120,0,6,4,0,2,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
59,19,18,1,0,120,0,11,7,0,1,0,0,0,9,0,0,0,0,0,7,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
64,8,6,1,0,127.5,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
68,9,6,2,0,131.111,0,5,1,0,2,0,1,0,3,0,0,0,1,0,1,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
73,11,7,1,0,123.636,0,3,2,2,4,0,0,0,0,0,0,0,1,0,2,0,3,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
74,18,12,3,1,128.889,0,7,4,1,4,2,0,0,3,0,0,0,4,0,4,0,5,2,1,0,3,2,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
77,28,17,8,1,127.143,0,11,5,1,4,6,1,0,6,0,0,0,3,0,4,0,10,1,1,1,3,5,0,1,1,1,0,0,0,0,0,0,2,2,4,4,0,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
82,11,10,1,0,127.273,0,7,3,0,1,0,0,0,5,0,0,0,0,0,3,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
84,8,6,1,0,120,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
85,10,6,2,0,120,0,4,2,0,2,2,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
89,11,6,2,0,123.636,0,3,3,0,4,0,1,0,0,0,0,0,1,0,3,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
93,16,16,0,0,120,0,10,6,0,0,0,0,0,8,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
95,12,10,1,0,120,0,6,4,0,2,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
96,20,14,2,0,124,0,8,6,0,4,2,0,0,7,0,0,0,0,0,6,0,8,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
99,9,9,0,0,124.444,0,7,2,0,0,0,0,0,3,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
100,9,6,2,0,120,0,5,1,0,2,0,1,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1000,8,6,1,0,125,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1002,9,6,2,0,122.222,0,5,1,0,2,0,1,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1003,10,10,0,0,120,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1005,20,20,0,0,120,0,12,8,0,0,0,0,0,10,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
101,24,17,3,1,125,0,9,6,2,5,1,1,0,1,0,0,0,2,0,6,0,9,0,2,0,3,1,0,2,0,1,0,0,0,0,2,0,7,1,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1011,16,6,3,2,128.75,0,3,3,0,5,4,0,1,3,0,0,0,0,0,3,0,0,3,0,0,0,1,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1014,14,6,4,1,127.143,0,4,2,0,4,2,2,0,3,0,0,0,1,0,2,0,4,0,0,0,1,0,0,3,1,2,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1016,17,17,0,0,120,0,11,6,0,0,0,0,0,8,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1023,14,14,0,0,122.857,0,12,2,0,0,0,0,0,7,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
