CID,n,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,dg_hyd_0,dg_hyd_1,dg_hyd_2,dg_hyd_3,bd_in_2,bd_in_3,na_in_C,na_in_N,na_in_O,na_ex_C,na_ex_N,na_ex_O,C2_C2_1,C2_C2_2,C2_C3_1,C2_C3_2,C2_C4_1,C2_N2_1,C2_N2_2,C2_N3_1,C2_O2_1,C3_C3_1,C3_C3_2,C3_C4_1,C3_N2_1,C3_N2_2,C3_N3_1,C3_O2_1,C4_C4_1,C4_N2_1,C4_N3_1,C4_O2_1,N2_N2_1,N2_N2_2,N2_N3_1,N2_O2_1,N3_N3_1,N3_O2_1,O2_O2_1,FC_C0_O1/2,FC_C0_C1/1,FC_C0_O1/1,FC_C0_O1_C2/1/1,FC_C0_C1_C2/1/1,FC_N0_C1/1,FC_C0_C1_O2_O2/1/1/2,FC_C0_N1/1,FC_C0_C1_C2_C2/1/1/1,FC_C0_N1_C2_C2/1/1/1,FC_C0_C1_O2/1/1,FC_C0_N1_O2/2/1,FC_N0_C1_C2_C2/1/1/1,FC_C0_C1_N2_O2/1/1/2,FC_C0_N1/2,FC_C0_C1_N2/1/1,FC_O0_C1_C2/1/1,FC_C0_C1_C1/1/1,FC_N0_C1_C2/1/1,FC_N0_C1_C2_O2/1/1/2,FC_C0_C1_C2/1/2,FC_C0_O1_O1_C2/2/1/1,FC_C0_C1_C2_O2/1/1/2,FC_C0_N1_C2/1/1,FC_O0_C1_C2_O2/1/1/2,FC_C0_C1_C1_O2_O2/1/1/1/2,FC_C0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_O2/1/1/1,FC_C0_C1_O2_O1/1/1/2,FC_C0_C1_O1/1/1,FC_C0_C1_N2/1/3,FC_N0_C1_C2_C1_C2/1/1/1/1,FC_C0_C1_C2/2/1,FC_C0_N1_C2_C2_O1/1/1/1/2,FC_C0_N1_O2_O1/1/1/2,FC_C0_C1_C1_C2/1/1/1,FC_N0_C1_O2/1/2,FC_N0_C1_N2_N2/1/1/2,FC_C0_N1_C2_O1/1/1/2,FC_C0_C1_O1_C2/1/1/1,FC_C0_C1_O2_O1/1/1/1,FC_C0_C1_N2_O1/1/1/2,FC_C0_C1_C2_O1/1/1/2,FC_C0_C1_C2_C2_C2_O1/1/1/1/1/2,FC_N0_C1_N2/1/3,FC_N0_C1_C2_C2_C1_C2_C2/1/1/1/1/1/1,FC_C0_N1_N1_O2/1/2/1,FC_C0_C1_N2_N2/1/1/2,FC_C0_C1_C2_C2_N2/1/1/1/1,FC_C0_C1_C2_O1/1/1/1,FC_C0_C1_C2_N2/1/1/1,FC_C0_C1_C2_C2_O2/1/1/1/1,FC_C0_C1_O2_C1_O2/1/1/1/1,FC_N0_C1_C2_C2_C2/1/1/1/1,FC_N0_C1_N2_O2/1/1/2,FC_C0_C1_N1_O2/1/2/1,FC_O0_C1_N2_O2/1/1/2,FC_C0_C1_C2/1/3,FC_C0_C1_C2_C1_O2/1/1/1/1,FC_C0_C1_C1_C1_O2/1/1/1/1,FC_C0_C1_N1_C2/1/1/1,FC_C0_O1_C2_O1_C2/1/1/1/1,FC_C0_C1_O2/1/2,FC_O0_C1_C2_C2/1/1/1,FC_O0_C1_C2_C2_C2/1/1/1/1,FC_C0_C1_C2_C2_C1_N2/1/1/1/1/3,FC_C0_C1_C1_O2/1/1/1,FC_C0_C1_O2_O2_O1/1/1/2/2,FC_C0_C1_C2_O1/1/3/1,FC_N0_C1_C1_C2/1/1/1,FC_N0_C1_N2_N2/2/1/1
13,0.259259,0.317073,0.25,0,0.375,0.217391,0,0.25,0.272727,0.333333,0,0.296296,0.304348,0.130435,0.142857,0.5,0,0.285714,0.4,0,0.117647,0.333333,0,0.153846,0,0.1875,0.571429,0,0.4,1,0.25,0,0.125,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.259259,0.317073,0.25,0,0.375,0.217391,0,0.25,0.272727,0.333333,0,0.296296,0.304348,0.130435,0.142857,0.5,0,0.285714,0.4,0,0.117647,0.333333,0,0.153846,0.166667,0.1875,0.571429,0,0.4,0,0.25,0,0.125,0,0,0.1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.203704,0.146341,0.470588,0,0.125,0.26087,0,0.25,0.181818,0.0666667,0,0.296296,0.130435,0.130435,0.214286,0.166667,0,0.142857,0.2,0,0.235294,0,0.272727,0.0769231,0.166667,0.125,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.125,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0.12963,0.0731707,0.538462,0,0.09375,0.173913,0,0.25,0.0909091,0.0666667,0,0.185185,0.173913,0.130435,0.0714286,0.166667,0,0.0857143,0.1,0,0.176471,0,0.272727,0,0.166667,0.0625,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.5,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.259259,0.317073,0.3,0,0.375,0.217391,0,0.25,0.272727,0.333333,0,0.333333,0.26087,0.130435,0.142857,0.5,0,0.257143,0.5,0,0.117647,0.333333,0,0.153846,0,0.1875,0.571429,0,0.2,0.5,0.25,0,0.125,0,0,0.1,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.37037,0.414634,0.346154,0,0.4375,0.304348,0,0,0.454545,0.266667,0,0.296296,0.652174,0.130435,0,0.583333,0,0.457143,0.2,0,0.0588235,0.333333,0.272727,0.230769,0.666667,0.4375,0.285714,0,0.2,0,0,0,0.125,0.25,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.277778,0.317073,0.285714,0,0.34375,0.26087,0,0.25,0.272727,0.333333,0,0.37037,0.217391,0.130435,0.214286,0.5,0,0.257143,0.5,0,0.176471,0.333333,0,0.153846,0,0.25,0.571429,0,0.2,0,0,0,0.125,0,0,0.2,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0555556,0.0487805,0.555556,0,0.09375,0.130435,0,0,0.121212,0,0,0.148148,0.173913,0,0.0714286,0.25,0,0.0571429,0.1,0,0.0588235,0,0.181818,0.0769231,0,0,0.142857,0,0,0.5,0,0,0.0625,0.25,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.555556,0.609756,0.333333,0,0.5625,0.478261,0,0.25,0.575758,0.466667,0,0.444444,0.695652,0.347826,0,0.666667,0,0.628571,0.4,0,0.117647,0.666667,0.272727,0.307692,0.666667,0.625,0.285714,0,0,0.5,0.125,0,0.125,0.25,0,0.5,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.203704,0.146341,0.470588,0,0.15625,0.217391,0,0.25,0.181818,0.0666667,0,0.259259,0.217391,0.0869565,0.214286,0.166667,0,0.142857,0.2,0,0.235294,0,0.272727,0.0769231,0.166667,0.125,0,0,0,0,0.25,0,0.0625,0.25,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.125,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.166667,0.097561,0.6,0,0.09375,0.217391,0,0.25,0.121212,0.0666667,0,0.259259,0.173913,0.0434783,0.214286,0.166667,0,0.114286,0.1,0,0.176471,0,0.363636,0,0.166667,0.125,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.125,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0.148148,0.097561,0.642857,0,0.125,0.173913,0,0.25,0.121212,0.0666667,0,0.259259,0.173913,0.0869565,0.0714286,0.166667,0,0.114286,0.1,0,0.117647,0,0.363636,0.0769231,0.166667,0.0625,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.125,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.296296,0.317073,0.272727,0,0.34375,0.26087,0,0.25,0.272727,0.333333,0,0.37037,0.217391,0.173913,0.214286,0.5,0,0.257143,0.5,0,0.235294,0.333333,0,0.153846,0,0.25,0.571429,0,0.2,0,0,0,0.125,0,0,0.1,0.2,0.2,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.111111,0.121951,0.166667,0,0.125,0.217391,0,0,0.151515,0.133333,0,0.111111,0.217391,0.0434783,0.214286,0.166667,0,0.114286,0.2,0,0.176471,0,0,0,0.166667,0.125,0,0,0.2,0,0.125,0,0.125,0.25,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.12963,0.097561,0.538462,0,0.125,0.173913,0,0.25,0.121212,0.0666667,0,0.222222,0.130435,0.0869565,0.142857,0.166667,0,0.114286,0.1,0,0.117647,0,0.272727,0.0769231,0.166667,0.0625,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.125,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.203704,0.170732,0.470588,0,0.1875,0.217391,0,0.25,0.212121,0.0666667,0,0.259259,0.173913,0.173913,0.142857,0.166667,0,0.171429,0.2,0,0.176471,0,0.272727,0.0769231,0.166667,0.125,0,0,0.2,0,0.25,0,0.0625,0.25,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.125,0.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.222222,0.146341,0.444444,0,0.125,0.26087,0,0.25,0.181818,0.0666667,0,0.296296,0.130435,0.173913,0.214286,0.166667,0,0.142857,0.2,0,0.294118,0,0.272727,0.0769231,0.166667,0.125,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.125,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.240741,0.292683,0.263158,0,0.34375,0.217391,0,0.25,0.242424,0.333333,0,0.296296,0.304348,0.0869565,0.142857,0.5,0,0.257143,0.4,0,0.117647,0.333333,0,0.153846,0,0.125,0.571429,0,0.4,1,0.125,0,0.125,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.259259,0.317073,0.3,0,0.375,0.217391,0,0.25,0.272727,0.333333,0,0.333333,0.26087,0.130435,0.142857,0.5,0,0.257143,0.5,0,0.117647,0.333333,0,0.153846,0,0.1875,0.571429,0,0.4,0.5,0.125,0,0.125,0,0,0.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.148148,0.097561,0.5,0,0.125,0.173913,0,0.25,0.121212,0.0666667,0,0.185185,0.173913,0.173913,0.0714286,0.166667,0,0.114286,0.1,0,0.176471,0,0.272727,0.0769231,0.166667,0.0625,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.5,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.0925926,0.0487805,0.454545,0,0.0625,0.173913,0,0,0.121212,0,0,0.185185,0.130435,0.0434783,0.142857,0.166667,0,0.0571429,0.1,0,0.176471,0,0.181818,0,0.166667,0.0625,0,0,0,0,0.125,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.125,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.166667,0.121951,0.466667,0,0.15625,0.173913,0,0.25,0.151515,0.0666667,0,0.185185,0.173913,0.217391,0.0714286,0.166667,0,0.142857,0.1,0,0.176471,0,0.272727,0.153846,0.166667,0.0625,0,0,0,0,0.25,0,0.0625,0.25,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.5,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
