CID,na_in_C4,bd_in_2,na_ex_Cl1,ms,C4_3_C4_3_1
2794,0.709677,0.928571,0.5,0.228689,0.1875
969516,0.548387,0.571429,0.0,0.175339,0.0
28417,0.516129,0.214286,0.0,0.081455,0.125
135398739,0.225806,0.214286,0.0,0.196784,0.0625
3059,0.322581,0.428571,0.0,0.299607,0.0625
3100,0.419355,0.428571,0.0,0.0740941,0.125
14208380,0.387097,0.214286,0.0,0.0629093,0.0625
150311,0.709677,0.642857,0.0,0.18855,0.25
28871,0.451613,0.571429,0.25,0.304677,0.125
3735,0.193548,0.214286,0.0,1.0,0.125
55283,0.967742,0.857143,0.5,0.194224,0.0
4189,0.516129,0.571429,1.0,0.372056,0.0625
55245,0.709677,0.357143,0.0,0.0760417,0.3125
4594,0.354839,0.5,0.0,0.188804,0.125
4829,0.483871,0.428571,0.0,0.180999,0.0625
4914,0.225806,0.214286,0.0,0.0743292,0.0625
441073,0.483871,0.357143,0.0,0.100192,0.25
5035,0.83871,0.714286,0.0,0.170072,0.25
135427209,1.0,0.642857,0.0,0.109103,1.0
441243,1.0,0.571429,0.0,0.101422,0.375
5323,0.258065,0.428571,0.0,0.246837,0.0
2733526,0.645161,0.714286,0.0,0.0834039,0.1875
65999,0.83871,1.0,0.0,0.148858,0.3125
5405,0.83871,0.642857,0.0,0.0617319,0.0625
5430,0.258065,0.428571,0.0,0.296548,0.125
