CID,na_in_C4,bd_in_2,na_ex_Cl1,ms,C4_3_C4_3_1,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_39_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_13_S2_0_/_/_0,na_in_O2,FC_43_C4_0_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,N3_2_O2_2_1,LeafAC_C4_C4_2,FC_73_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_O2_S4_2,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_78_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_33_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_56_C4_0_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_58_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0
71414,0.548387,0.142857,0.0,0.143559,0.125,0.2,0.363636,0.0,0.0,0.285714,0,0,0,0,0,0,0,0,0,0
56206,0.548387,0.5,0.0,0.208933,0.1875,0.4,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
39186,0.483871,0.428571,0.0,0.154286,0.25,0.3,0.0909091,0.0,0.333333,0.142857,0,0,0,0,0,0,0,0,0,0
11487,0.322581,0.428571,0.0,0.12049,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6047,0.193548,0.214286,0.0,0.178834,0.0,0.1,0.0909091,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
5388962,0.451613,0.214286,0.0,0.106202,0.125,0.1,0.454545,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
68570,0.483871,0.214286,0.0,0.0606497,0.1875,0.2,0.545455,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5870,0.483871,0.214286,0.0,0.0778223,0.1875,0.2,0.545455,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3295,0.16129,0.285714,0.0,0.32102,0.0,0.3,0.0,0.0,0.333333,0.142857,0,0,0,0,0,0,0,0,0,0
6419930,0.774194,0.428571,0.0,0.183423,0.8125,0.5,0.272727,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
2758,0.16129,0.0,0.0,0.0,0.0,0.0,0.363636,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
3335,0.419355,0.428571,0.0,0.166096,0.125,0.3,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3374,0.322581,0.285714,0.0,0.21637,0.1875,0.3,0.181818,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3394,0.354839,0.428571,0.0,0.178205,0.125,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
135398658,0.483871,0.5,0.0,0.232217,0.1875,0.5,0.181818,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
135398740,0.16129,0.214286,0.0,0.2029,0.0625,0.2,0.0909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
3478,0.580645,0.428571,0.0,0.164387,0.0625,0.3,0.636364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
441140,0.354839,0.285714,0.25,0.228602,0.1875,0.3,0.0909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
3559,0.612903,0.428571,0.25,0.163608,0.0625,0.2,0.636364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
24821094,0.677419,0.714286,0.0,0.16765,0.1875,0.6,0.363636,0.0,0.0,0.142857,0,0,1,0,0,0,0,0,0,0
5362440,0.967742,0.642857,0.0,0.0941403,0.3125,0.4,0.727273,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3715,0.451613,0.5,0.25,0.237089,0.125,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3718,0.419355,0.428571,0.0,0.173653,0.1875,0.4,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
456201,0.709677,0.571429,0.5,0.207628,0.0,0.4,0.636364,0.0,0.0,0.428571,0,0,0,0,0,0,0,0,0,0
4011,0.548387,0.428571,0.0,0.0685582,0.25,0.5,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
4170,0.387097,0.428571,0.25,0.266175,0.1875,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4409,0.322581,0.357143,0.0,0.111264,0.0,0.3,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1302,0.290323,0.357143,0.0,0.146775,0.0625,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
64143,0.806452,0.428571,0.0,0.0946654,0.3125,0.2,0.727273,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
4463,0.387097,0.428571,0.0,0.174904,0.125,0.4,0.181818,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4485,0.354839,0.357143,0.0,0.190422,0.375,0.3,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4495,0.322581,0.428571,0.0,0.279978,0.0,0.3,0.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
4539,0.354839,0.285714,0.0,0.171908,0.1875,0.3,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4543,0.516129,0.5,0.0,0.0768524,0.25,0.5,0.272727,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
275196,0.516129,0.428571,0.0,0.172741,0.4375,0.6,0.272727,0.0,0.0,0.428571,0,0,0,0,0,0,0,0,0,0
4583,0.419355,0.285714,0.0,0.176595,0.25,0.4,0.454545,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
4616,0.419355,0.5,0.25,0.273392,0.1875,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4641,0.483871,0.428571,0.0,0.142898,0.125,0.2,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4680,0.451613,0.571429,0.0,0.14331,0.125,0.4,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4748,0.580645,0.428571,0.25,0.160135,0.0625,0.4,0.636364,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
4754,0.129032,0.214286,0.0,0.10956,0.0,0.2,0.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
4756,0.290323,0.5,0.0,0.179452,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4828,0.290323,0.285714,0.0,0.0846248,0.0625,0.3,0.181818,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
4889,0.516129,0.142857,0.0,0.0775211,0.3125,0.1,0.363636,0.0,0.0,0.142857,0,0,0,0,0,1,0,0,0,0
4159,0.516129,0.142857,0.0,0.0870667,0.25,0.1,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4909,0.258065,0.214286,0.0,0.136149,0.0,0.1,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4911,0.193548,0.214286,0.0,0.152388,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4926,0.419355,0.428571,0.0,0.12455,0.125,0.4,0.181818,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
4927,0.387097,0.428571,0.0,0.12455,0.125,0.4,0.0909091,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
65981,0.612903,0.428571,0.0,0.0863235,0.125,0.4,0.545455,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
445154,0.387097,0.5,0.0,0.177586,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
392622,0.903226,0.714286,0.0,0.141736,0.125,0.4,0.454545,0.0,0.666667,0.142857,0,0,0,0,0,0,0,0,0,0
5090,0.451613,0.5,0.0,0.237448,0.1875,0.4,0.0909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
5833,0.580645,0.0714286,0.0,0.105041,0.1875,0.2,0.818182,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
441071,0.612903,0.285714,0.0,0.124994,0.3125,0.4,0.545455,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
5339,0.483871,0.714286,0.0,0.28992,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5340,0.225806,0.357143,0.0,0.340293,0.0,0.2,0.0,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
5343,0.258065,0.428571,0.0,0.21671,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5344,0.225806,0.357143,0.0,0.22984,0.0625,0.2,0.0,0.0,0.0,0.142857,0,1,0,0,0,0,0,0,0,0
1548887,0.483871,0.571429,0.0,0.220325,0.1875,0.5,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
5411,0.290323,0.214286,0.0,0.057707,0.0625,0.2,0.181818,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
54675776,0.516129,0.357143,0.0,0.182214,0.4375,0.3,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0
5370664,0.16129,0.285714,0.0,0.217011,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
31307,0.516129,0.142857,0.0,0.128979,0.0625,0.1,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5546,0.322581,0.571429,0.0,0.217343,0.1875,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
54678486,0.483871,0.5,0.0,0.180047,0.3125,0.4,0.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
1188,0.0967742,0.142857,0.0,0.335653,0.0625,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2130,0.258065,0.0,0.0,0.0057424,0.0,0.0,0.545455,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2157,0.548387,0.5,0.0,0.378338,0.3125,0.6,0.272727,0.0,0.0,0.285714,0,0,0,0,0,0,0,0,0,0
2165,0.451613,0.571429,0.25,0.156682,0.0625,0.5,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2405,0.322581,0.214286,0.0,0.0492849,0.0,0.2,0.454545,0.0,0.0,0.428571,0,0,0,0,0,0,0,0,0,0
31101,0.741935,0.357143,0.0,0.178716,0.375,0.5,0.454545,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
40473187,0.677419,0.214286,0.0,0.0637709,0.0625,0.5,0.818182,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
667467,0.451613,0.5,0.25,0.193252,0.1875,0.5,0.0909091,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2794,0.709677,0.928571,0.5,0.228689,0.1875,0.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0
969516,0.548387,0.571429,0.0,0.175339,0.0,0.2,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
28417,0.516129,0.214286,0.0,0.081455,0.125,0.3,0.636364,0.0,0.0,0.142857,0,1,0,0,0,0,0,0,0,0
135398739,0.225806,0.214286,0.0,0.196784,0.0625,0.2,0.181818,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
3059,0.322581,0.428571,0.0,0.299607,0.0625,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3100,0.419355,0.428571,0.0,0.0740941,0.125,0.2,0.0909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
14208380,0.387097,0.214286,0.0,0.0629093,0.0625,0.1,0.454545,0.0,0.0,0.285714,0,0,0,0,0,0,0,0,0,0
150311,0.709677,0.642857,0.0,0.18855,0.25,0.3,0.181818,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
28871,0.451613,0.571429,0.25,0.304677,0.125,0.5,0.0,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
3735,0.193548,0.214286,0.0,1.0,0.125,0.1,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
55283,0.967742,0.857143,0.5,0.194224,0.0,0.6,0.636364,0.0,0.0,0.428571,0,0,0,0,0,1,0,0,0,0
4189,0.516129,0.571429,1.0,0.372056,0.0625,0.2,0.181818,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
55245,0.709677,0.357143,0.0,0.0760417,0.3125,0.4,0.636364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4594,0.354839,0.5,0.0,0.188804,0.125,0.4,0.0909091,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
4829,0.483871,0.428571,0.0,0.180999,0.0625,0.3,0.272727,0.0,0.333333,0.142857,0,0,0,0,0,0,0,0,0,0
4914,0.225806,0.214286,0.0,0.0743292,0.0625,0.1,0.181818,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
441073,0.483871,0.357143,0.0,0.100192,0.25,0.3,0.363636,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1
5035,0.83871,0.714286,0.0,0.170072,0.25,0.7,0.636364,0.0,0.333333,0.142857,0,0,0,0,0,0,0,0,0,0
135427209,1.0,0.642857,0.0,0.109103,1.0,0.8,0.363636,0.0,0.0,0.428571,1,0,0,0,0,0,0,0,0,0
441243,1.0,0.571429,0.0,0.101422,0.375,0.4,0.727273,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5323,0.258065,0.428571,0.0,0.246837,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2733526,0.645161,0.714286,0.0,0.0834039,0.1875,0.5,0.0909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
65999,0.83871,1.0,0.0,0.148858,0.3125,1.0,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5405,0.83871,0.642857,0.0,0.0617319,0.0625,0.3,0.636364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5430,0.258065,0.428571,0.0,0.296548,0.125,0.4,0.0,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
