CID,na_in_C4,FC_9_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,C4_3_N3_3_1,na_ex_C4,ms,LeafAC_O2_P5_2,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_3_C4_0_/_/_0,FC_7_O2_0_/_/_0,C4_2_N3_2_1,LeafAC_O2_C4_1,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1,na_ex_Br1,LeafAC_O2_N3_2,N3_3_S6_4_1,S2_2_S2_2_1,na_ex_Cl1,FC_18_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_6_N3_0_H1_1_/_1_/_0_0,LeafAC_S2_P5_2,n,FC_13_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,LeafAC_C4_S2_1,FC_44_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,LeafAC_O2_S4_2,LeafAC_N3_C4_3,FC_30_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_77_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_100_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_1,C4_2_N3_3_1,C4_2_N3_3_2,na_ex_F1,LeafAC_F1_C4_1,na_ex_S4,FC_56_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_60_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_3_C4_3_1,FC_131_C4_0_Br1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_O2_2_1,FC_47_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,C4_2_C4_2_2,C4_2_C4_4_1,LeafAC_Br1_C4_1,FC_99_C4_0_O2_1_C4_1_H1_2_H1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_197_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_S2,FC_85_P5_0_S2_1_/_2_/_0_0
441401,0.358974,0.0,0.0,0.5,0.142857,0.16549,0,0.0,0.25,0.4,0.333333,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.321429,0.0,0,0,0,0.0,0,0,0,0.181818,0.333333,0,0.333333,0.333333,0,0,0,0.0,0,0.2,0.0,0.142857,0.0,0.0,0,0,0.0,0
3723,0.179487,0.0,0.0,0.0,0.357143,0.852221,0,0.0,0.25,0.0,0.333333,0.142857,1.0,0.2,0.0,0.0,0,0,0.0,0.5,0.0,0,0.267857,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.3,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
5320,0.153846,0.0,0.0,0.0,0.142857,0.23772,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.142857,0.5,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
2140,0.153846,0.0,0.0,0.0,0.357143,0.941042,0,0.0,0.25,0.0,0.0,0.142857,1.0,0.2,0.0,0.0,0,0,0.0,0.5,0.0,0,0.25,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.3,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
73942,0.153846,0.0,0.0,0.0,0.214286,0.171395,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.107143,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
10871,0.153846,0.0,0.25,0.0,0.142857,0.237669,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.25,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
9601,0.153846,0.0,0.0,0.0,0.142857,0.188093,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.333333,0.333333,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
31230,0.153846,0.0,0.0,0.0,0.142857,0.13584,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.5,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
1983,0.153846,0.0,0.0,0.0,0.142857,0.159224,0,0.0,0.125,0.0,0.0,0.142857,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
17499,0.153846,0.0,0.0,0.0,0.285714,0.168988,0,0.0,0.25,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.142857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.1,0.0,0.142857,0.0,0.0,0,0,0.0,0
8482,0.153846,0.0,0.0,0.0,0.142857,0.23772,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.142857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
7691,0.153846,0.0,0.0,0.0,0.142857,0.217891,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.333333,0,0,0.0,0.0,0.0,0,0.125,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
10843,0.153846,0.0,0.0,0.0,0.214286,0.114581,0,0.0,0.125,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
904,0.153846,0.0,0.0,0.0,0.142857,0.133681,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0714286,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.285714,0.0,0.0,0,0,0.0,0
10777,0.153846,0.0,0.25,0.0,0.142857,0.237669,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.25,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
11090,0.153846,0.0,0.0,0.0,0.142857,0.217891,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.333333,0,0,0.0,0.0,0.0,0,0.125,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
1986,0.0512821,0.0,0.0,0.0,0.142857,0.396675,0,0.0,0.125,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.125,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
12146,0.153846,0.0,0.0,0.0,0.142857,0.0654128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0714286,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.0,0,0.1,0.0,0.0,0.0,0.0,0,0,0.0,0
5541,0.0769231,0.0,0.0,0.0,0.428571,0.157343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.160714,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.1,0.0,0.0,0.0,0.0,0,0,0.0,0
6024,0.333333,0.0,0.0,0.5,0.214286,0.267121,0,0.0,0.25,0.0,0.0,0.142857,0.0,0.1,0.0,0.0,0,0,0.0,0.5,0.25,0,0.357143,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.2,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
36314,1.0,0.333333,0.0,0.0,0.571429,0.159148,0,0.0,0.625,0.6,0.0,0.428571,0.0,0.6,0.0,0.0,0,0,0.0,0.0,0.25,0,1.0,0.0,0,0,0,0.0,0,0,0,0.545455,0.0,0,0.0,0.0,0,0,0,0.9,0,0.6,0.0,0.857143,0.5,0.0,0,0,0.0,0
250948,0.435897,0.0,0.0,0.0,0.571429,0.0984461,0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.410714,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.3,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0
2244,0.153846,0.0,0.0,0.0,0.214286,0.217891,0,0.0,0.125,0.0,0.0,0.142857,0.0,0.1,0.0,0.0,0,0,0.0,0.5,0.0,0,0.125,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.1,0,0.1,0.0,0.142857,0.0,0.0,0,0,0.0,0
5833,0.512821,0.0,0.0,0.0,0.285714,0.117278,0,0.0,0.25,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.410714,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.3,0,0.1,0.0,0.0,1.0,0.0,0,0,0.0,0
5994,0.435897,0.0,0.0,0.0,0.285714,0.0658643,0,0.0,0.125,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.303571,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.2,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0
7468,0.153846,0.0,0.0,0.0,0.142857,0.133681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0714286,0.5,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
7417,0.153846,0.0,0.0,0.0,0.142857,0.133681,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0714286,0.5,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
7410,0.153846,0.0,0.0,0.0,0.142857,0.131013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.285714,0.0,0.0,0,0,0.0,0
11676,0.0,0.0,0.0,0.0,0.5,0.00319087,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0357143,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
18393,0.0512821,0.0,0.0,0.0,0.357143,0.00319087,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0357143,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
12233,0.025641,0.0,0.0,0.0,0.357143,0.00455838,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0178571,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
6404,0.0,0.0,0.0,0.0,0.357143,0.00638174,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
76576,0.025641,0.0,0.0,0.0,0.357143,0.0675884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
68741,0.461538,0.0,0.0,0.0,0.5,0.0728098,0,0.0,0.125,0.0,0.0,0.142857,0.0,0.5,0.0,0.0,0,0,0.0,0.5,0.0,0,0.410714,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.3,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0
156153,0.410256,0.166667,0.0,0.0,0.285714,0.0789605,0,0.0,0.25,0.2,0.333333,0.142857,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.5,0,0.357143,0.0,0,0,0,0.0,0,0,0,0.454545,0.0,0,0.0,0.0,0,0,0,0.0,0,0.1,0.0,0.142857,0.0,0.0,0,0,0.0,0
7048712,0.333333,0.5,0.0,0.0,0.285714,0.0877814,0,0.0,0.375,0.2,0.333333,0.428571,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.285714,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.2,0,0.1,0.0,0.142857,0.0,0.0,0,0,0.0,0
123600,0.205128,0.166667,0.0,0.0,0.357143,0.0868252,0,0.0,0.125,0.0,0.333333,0.428571,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.196429,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,1,0,0.1,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
77922,0.0,0.0,0.0,0.0,0.357143,0.0792679,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0357143,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
7393,0.153846,0.0,0.0,0.0,0.285714,0.0701991,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
6604035,0.717949,0.166667,0.0,0.0,0.285714,0.0815351,0,0.0,0.375,0.0,0.0,0.285714,0.0,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0,0.517857,0.0,0,0,0,0.0,0,0,0,0.818182,0.333333,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.714286,0.0,0.0,0,0,0.0,0
6119,0.0,0.0,0.0,0.0,0.285714,0.0953272,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0178571,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
6321415,0.461538,0.0,0.0,0.5,0.285714,0.249207,0,0.0,0.375,0.2,0.0,0.285714,0.0,0.2,0.0,0.0,0,0,0.0,0.5,0.25,0,0.553571,0.5,0,0,0,0.0,0,0,0,0.181818,0.222222,1,0.0,0.0,0,0,0,0.4,0,0.0,0.0,0.285714,0.0,0.0,0,0,0.0,0
39042,0.410256,0.0,0.25,0.0,0.214286,0.186857,0,0.0,0.375,0.2,0.333333,0.142857,0.0,0.2,0.0,0.0,0,0,0.25,0.0,0.25,0,0.339286,0.0,0,0,0,0.0,0,0,0,0.272727,0.0,0,0.0,0.0,0,0,0,0.1,0,0.1,0.0,0.285714,0.0,0.0,0,0,0.0,0
5852,0.025641,0.0,0.0,0.0,0.285714,0.153481,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0
92863,0.025641,0.0,0.0,0.0,0.285714,0.153481,0,0.0,0.0,0.0,0.0,0.142857,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0
