CID,bd_in_2,na_in_C4,na_in_O2,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_N3_2_1,C4_3_S2_2_1,FC_2_C4_0_/_/_0,FC_7_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_10_C4_0_F1_1_/_1_/_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,LeafAC_C4_C4_1
2265,0.6,0.285714,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2474,0.3,0.571429,0.0,0.25,0.222222,0.2,0.4,0.0,0.4,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2520,0.6,0.761905,0.0,0.5,0.777778,0.4,0.4,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
2581,0.6,0.52381,0.0,0.5,0.666667,0.4,0.0,0.0,0.4,0.0,0.833333,0.0,0.0,0.25,1.0,0.0,0.0,0.333333
2585,0.9,1.0,1.0,0.75,0.333333,1.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2725,0.6,0.571429,0.0,0.5,0.333333,0.6,0.0,0.0,0.2,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2726,0.6,0.619048,0.0,0.5,0.333333,0.6,0.2,0.0,0.0,1.0,0.666667,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2727,0.3,0.285714,0.0,0.25,0.222222,0.4,0.0,0.0,0.4,0.0,0.166667,0.0,0.0,0.25,0.0,0.0,0.0,0.333333
2733,0.3,0.238095,0.5,0.25,0.333333,0.2,0.0,0.0,0.4,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2756,0.2,0.238095,0.0,0.0,0.111111,0.0,0.0,0.0,0.8,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
2764,0.4,0.666667,0.0,0.0,0.444444,0.6,0.6,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2995,0.6,0.714286,0.0,0.5,0.222222,0.8,0.2,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3019,0.4,0.238095,0.0,0.25,0.333333,0.2,0.0,0.0,0.4,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,0.0,0.333333
3033,0.6,0.52381,0.0,0.5,0.222222,0.6,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
3100,0.6,0.619048,0.5,1.0,0.222222,0.4,0.0,0.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3342,0.6,0.52381,0.5,0.75,0.333333,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.333333
3371,0.6,0.47619,0.0,0.5,0.222222,0.8,0.0,0.0,0.4,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3374,0.4,0.47619,0.0,0.0,0.444444,0.6,0.2,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.333333
3394,0.6,0.52381,0.0,0.75,0.444444,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.333333
3478,0.6,0.857143,0.0,0.25,0.666667,0.6,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
3608,0.1,0.380952,0.0,0.0,0.111111,0.2,0.0,0.0,0.4,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
3647,0.3,0.238095,0.0,0.0,0.222222,0.4,0.0,0.0,0.2,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3672,0.3,0.285714,0.0,0.25,0.333333,0.4,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3948,0.4,0.52381,0.0,0.0,0.222222,0.4,0.6,0.0,0.2,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.666667
4011,0.6,0.809524,0.0,0.5,0.111111,0.8,0.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4044,0.6,0.47619,0.0,0.5,0.111111,0.6,0.0,0.0,0.4,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,0.0,0.666667
4168,0.3,0.333333,0.0,0.0,0.222222,0.4,0.2,0.0,0.2,0.0,0.166667,0.0,0.0,0.25,0.0,0.0,0.0,0.666667
4173,0.2,0.0952381,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4189,0.8,0.761905,0.5,0.75,0.888889,0.4,0.6,0.5,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4421,0.4,0.285714,0.0,0.25,0.222222,0.2,0.2,0.0,0.2,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,0.0,0.666667
4488,0.6,0.428571,0.0,0.5,0.333333,0.4,0.0,0.0,0.6,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,1.0,0.0
4539,0.4,0.52381,0.0,0.0,0.222222,0.6,0.6,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.333333
4583,0.4,0.619048,0.5,0.0,0.222222,0.4,1.0,0.5,0.0,0.0,0.666667,0.5,0.5,0.0,0.0,0.0,0.0,0.333333
4680,0.8,0.666667,0.0,0.5,0.888889,0.6,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4756,0.7,0.428571,0.0,0.75,0.333333,0.2,0.0,0.0,0.6,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4763,0.3,0.380952,0.0,0.5,0.111111,0.2,0.0,0.0,0.8,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4781,0.6,0.714286,0.0,1.0,0.333333,0.4,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4828,0.4,0.428571,0.5,0.5,0.444444,0.2,0.0,0.5,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
4914,0.3,0.333333,0.5,0.25,0.222222,0.4,0.2,0.5,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
4946,0.5,0.52381,0.5,0.5,0.333333,0.6,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5195,0.3,0.333333,0.0,0.5,0.333333,0.2,0.2,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5320,0.3,0.190476,0.0,0.25,0.222222,0.4,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,1.0,0.0,0.333333
5327,0.6,0.380952,0.0,0.25,0.333333,0.6,0.0,0.0,0.6,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
5339,1.0,0.714286,0.0,0.75,0.555556,0.8,0.0,0.0,0.8,0.0,0.666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5340,0.5,0.333333,0.0,0.5,0.222222,0.4,0.0,0.0,0.2,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5411,0.3,0.428571,0.5,0.25,0.222222,0.4,0.0,0.5,0.2,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5509,0.5,0.47619,0.0,0.25,0.333333,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
5560,0.3,0.238095,0.0,0.0,0.222222,0.4,0.0,0.0,0.6,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0
5578,0.6,0.428571,0.0,0.0,0.444444,0.6,0.0,0.0,0.2,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5584,0.6,0.714286,0.0,0.5,0.444444,0.8,0.2,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
6024,0.3,0.52381,0.5,0.25,0.444444,0.2,0.0,0.5,0.4,1.0,0.333333,0.5,0.0,0.0,0.0,0.0,0.0,0.333333
6989,0.3,0.190476,0.0,0.25,0.333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7005,0.5,0.380952,0.0,0.5,0.111111,0.6,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10894,0.3,0.190476,0.0,0.25,0.222222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39186,0.6,0.714286,0.5,0.5,0.222222,0.8,0.2,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
56206,0.7,0.809524,0.0,0.25,0.444444,1.0,1.0,0.0,0.0,0.0,0.666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0
56208,0.7,0.809524,0.0,0.25,0.444444,1.0,0.6,0.0,0.0,0.0,0.666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0
60464,0.4,0.666667,0.0,0.0,0.444444,0.2,0.6,0.0,0.4,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.666667
71188,0.4,0.666667,0.0,0.0,0.444444,0.6,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.333333
71335,0.4,0.714286,0.0,0.0,0.888889,0.6,0.6,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
77918,0.5,0.380952,0.0,0.75,0.222222,0.2,0.6,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79858,0.3,0.190476,0.0,0.25,0.333333,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
81814,0.3,0.190476,0.0,0.0,0.222222,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
156391,0.5,0.428571,0.0,0.5,0.666667,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.333333
174174,0.3,0.619048,0.5,0.5,0.777778,0.2,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667467,0.7,0.666667,0.0,0.5,0.333333,0.8,0.0,0.0,0.0,1.0,0.833333,0.0,0.0,0.25,0.0,0.0,0.0,0.0
1548887,0.8,0.714286,0.0,0.5,0.777778,0.8,0.0,0.0,0.0,0.0,0.833333,0.0,0.5,0.0,0.0,0.0,0.0,0.333333
3001055,0.3,0.380952,0.5,0.0,0.222222,0.6,0.0,0.0,0.2,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3034034,0.5,0.714286,0.0,0.5,0.888889,0.2,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5284596,0.3,0.714286,0.5,0.25,0.555556,0.0,0.4,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5702160,0.3,0.238095,0.0,0.0,0.222222,0.2,0.0,0.0,0.4,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6604200,0.3,0.285714,0.5,0.0,0.222222,0.4,0.2,0.0,0.4,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54675776,0.5,0.761905,0.0,0.25,0.333333,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
54675779,0.5,0.761905,0.0,0.25,0.111111,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
54676228,0.7,0.571429,0.0,0.5,0.0,0.6,0.0,0.0,0.6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54678486,0.7,0.714286,0.5,0.75,0.222222,0.6,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
135398634,0.3,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
