CID,ms,dg_in_3,dg_in_4,na_in_N3,na_ex_F1,na_ex_N3,na_ex_S2,C4_2_C4_2_1,C4_2_C4_3_1,C4_2_N3_2_1,C4_2_S2_2_1,C4_3_C4_3_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_O2_2_1,N3_3_N3_3_1,FC_3_C4_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_O2_0_/_/_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_18_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_23_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_26_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_28_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_29_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_41_N3_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_43_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_47_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_N3_1,LeafAC_O2_N3_1,LeafAC_O2_S4_2
1978,0.167726,0.142857,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.166667,0.0,0.2,0.5,0.333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.334737,0.0714286,0.0,0.125,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,0.528288,0.428571,0.0,0.5,0.0,0.0,0.0,0.2,0.625,0.333333,0.0,0.222222,1.0,0.5,0.0,0.0,0.0,0.833333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2206,0.285755,0.142857,0.0,0.25,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.166667,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
2337,0.277031,0.0714286,0.0,0.0,0.0,0.333333,0.0,0.1,0.25,0.0,0.0,0.111111,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2378,0.308799,0.428571,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.333333,0.0,0.333333,0.0,0.166667,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.847696,0.285714,0.0,0.375,0.0,0.0,0.0,0.2,0.5,0.333333,0.0,0.222222,0.333333,0.0,0.0,0.0,0.0,0.666667,0.166667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,0.225598,0.0714286,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2519,0.416571,0.142857,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.833333,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2712,0.488832,0.285714,0.0,0.25,0.0,0.333333,0.0,0.2,0.625,0.0,0.0,0.222222,0.333333,0.166667,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,1.0,0.0
2725,0.284264,0.214286,0.0,0.125,0.0,0.333333,0.0,0.4,0.375,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
2803,0.709326,0.142857,0.0,0.375,0.0,0.0,0.0,0.2,0.125,0.666667,0.0,0.111111,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3016,0.498637,0.285714,0.0,0.25,0.0,0.0,0.0,0.2,0.625,0.333333,0.0,0.222222,0.333333,0.333333,0.0,0.0,0.0,0.666667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
3114,0.13953,0.214286,0.0,0.25,0.0,0.333333,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3333,0.514678,0.285714,0.0,0.125,0.0,0.0,0.0,0.1,0.125,0.0,0.0,0.666667,0.0,0.0,0.166667,0.0,0.0,0.5,0.166667,0.666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335,0.357288,0.214286,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.5,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3365,0.557222,0.285714,0.0,0.75,0.666667,0.0,0.0,0.0,0.375,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3488,0.417367,0.285714,0.0,0.375,0.0,0.0,0.0,0.6,1.0,0.333333,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.5,0.333333,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3676,0.0969082,0.0714286,0.0,0.25,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3696,0.131005,0.357143,0.0,0.125,0.0,0.333333,0.0,0.7,0.25,0.0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
3718,0.373949,0.357143,0.0,0.125,0.0,0.0,0.0,0.3,0.375,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.666667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3823,0.448856,0.428571,0.5,0.5,0.0,0.0,0.0,0.3,0.875,0.333333,0.0,0.0,0.0,0.166667,0.333333,0.666667,0.0,0.666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3958,0.764116,0.285714,0.0,0.25,0.0,0.0,0.0,0.2,0.375,0.0,0.0,0.444444,0.333333,0.0,0.0,0.0,0.0,0.666667,0.166667,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4171,0.10737,0.142857,0.0,0.125,0.0,0.0,0.0,0.2,0.625,0.333333,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4201,0.245232,0.142857,0.0,0.375,0.0,0.666667,0.0,0.4,0.125,0.0,0.0,0.0,0.333333,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4463,0.376707,0.428571,0.0,0.5,0.0,0.0,0.0,0.2,0.5,0.333333,0.0,0.222222,0.333333,0.5,0.0,0.0,0.0,0.666667,0.166667,0.333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4594,0.407352,0.285714,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.333333,0.0,0.222222,0.666667,0.0,0.0,0.0,0.0,0.666667,0.0,0.666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4616,0.593849,0.285714,0.0,0.25,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.666667,0.166667,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4748,0.344146,0.5,0.0,0.375,0.0,0.0,0.0,0.6,0.375,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4754,0.232642,0.142857,0.0,0.125,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4763,0.403784,0.142857,0.0,0.25,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4764,0.460314,0.285714,0.5,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.222222,0.0,0.0,0.166667,0.333333,0.0,0.833333,0.166667,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4914,0.154966,0.0714286,0.0,0.125,0.0,0.333333,0.0,0.2,0.25,0.0,0.0,0.111111,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4917,0.34554,0.428571,0.0,0.375,0.0,0.0,0.0,0.6,0.375,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
4926,0.26569,0.357143,0.0,0.125,0.0,0.333333,0.0,0.6,0.0,0.0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5193,0.219659,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.5,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5429,0.491463,0.142857,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.5,0.0,0.0,0.0,0.333333,0.333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5452,0.289458,0.428571,0.0,0.25,0.0,0.0,1.0,0.6,0.625,0.0,0.0,0.111111,0.0,0.5,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
5556,0.679096,0.428571,0.0,0.5,0.0,0.0,0.0,0.2,0.5,0.333333,0.0,0.333333,1.0,0.5,0.0,0.0,0.0,0.833333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5556,0.679096,0.428571,0.0,0.5,0.0,0.0,0.0,0.2,0.5,0.333333,0.0,0.333333,1.0,0.5,0.0,0.0,0.0,0.833333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5566,0.377227,0.428571,0.0,0.375,1.0,0.0,0.0,0.6,0.375,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
5568,0.432331,0.357143,0.0,0.125,1.0,0.333333,0.0,0.4,0.375,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5568,0.432331,0.357143,0.0,0.125,1.0,0.333333,0.0,0.4,0.375,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5584,0.116088,0.357143,0.0,0.125,0.0,0.333333,0.0,0.5,0.5,0.0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0
5625,0.342409,0.571429,0.0,0.75,0.0,0.0,0.0,0.3,0.625,0.0,0.0,0.111111,0.0,0.333333,0.0,0.0,0.0,1.0,0.166667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5743,0.231503,0.5,0.0,0.0,0.333333,0.0,0.0,0.1,0.875,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.666667,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5744,0.192492,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.875,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.333333,0.666667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5745,0.221739,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.875,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.5,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
