CID,bd_in_2,FC_5_N3_0_H1_1_/_1_/_0_0,C4_2_N3_2_1,dg_in_1,FC_11_C4_0_Cl1_1_/_1_/_0_0,na_in_O2,C4_2_C4_4_1,FC_27_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,na_ex_Br1,C4_2_O2_2_1,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,na_ex_F1,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_N3_3_1,FC_44_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,C4_2_S2_2_1,N3_2_N3_2_2,LeafAC_O2_C4_2,C4_3_C4_4_1,C4_3_O2_2_1,C4_3_C4_3_1,C4_3_S2_2_1,LeafAC_C4_C4_1,na_in_N3,FC_52_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_50_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_56_N3_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,LeafAC_F1_C4_1,FC_9_O2_0_/_/_0,dg_1,N3_3_N3_3_1,C4_3_N3_2_2,FC_26_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_35_C4_0_Br1_1_/_1_/_0_0,FC_53_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,bd_in_3,LeafAC_C4_C4_3,na_ex_S4,FC_14_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,N3_2_N3_3_1,LeafAC_Br1_C4_1,ms,FC_23_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0
5195,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.333333,0.166667,0,1,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0554914,0
2995,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.0,0.0,0.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0816207,0
3019,0.4,0.333333,0.0,0.0,0.25,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.484145,0
3033,0.6,0.333333,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0.387688,0
56206,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.666667,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.253386,0
39186,0.6,0.0,0.0,1.0,0.0,0.5,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.4,0,0.0,0,0.5,0.0,0.5,0.444444,1.0,0.333333,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.185238,0
3100,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.5,0.222222,0.0,0.0,0.0,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0852368,0
1775,0.6,0.666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.5,0.6,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.237463,0
71188,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.857143,0.333333,0,0.6,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.333333,0.5,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.181064,1
5702160,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0,0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0.5,0,0,0.367603,0
3342,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25,0.0,1.0,0.111111,0.0,0.333333,0.0,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.188296,0
3371,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.111111,0.0,0.0,0.166667,0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.344873,0
3374,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.285714,0.333333,0,0.4,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.333333,0.166667,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.262659,0
3394,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.333333,1,0.0,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,0.333333,0.0,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.215067,0
3478,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.5,0.0,0.0,0.111111,0.0,0.333333,0.833333,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.197835,0
135398634,0.3,0.666667,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.111111,0.0,0.0,0.666667,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.35102,0
3608,0.1,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.75,0.6,0.0,0.0,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.152628,0
3647,0.3,0.666667,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0.142857,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.111111,0.0,0.0,0.333333,0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.557913,0
3672,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25,0.0,0.0,0.111111,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.073731,0
3948,0.4,0.333333,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.666667,0,0.4,0,0.0,0,0.5,0.0,0.0,0.444444,0.0,0.666667,0.5,0,0,0,0.666667,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.224292,1
4011,0.6,0.0,0.0,0.5,0.0,0.0,0.666667,0,0,0,0,0.0,0.571429,0.0,0,0.0,0,0.0,0,0.0,0.4,0.0,0.444444,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0783333,0
4044,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,0.666667,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.165777,0
4168,0.3,0.333333,0.5,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.285714,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,0.666667,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.150637,0
4173,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.5,0,0,1,0,0,0,0.0,0,0,0.238663,0
4189,0.8,0.0,0.5,0.0,1.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0,0.0,0.5,0.111111,0.0,0.0,0.333333,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.456805,0
4421,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.5,0.0,0.0,0.222222,0.0,0.666667,0.333333,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.226265,1
5284596,0.3,0.0,0.0,0.5,0.0,0.5,0.666667,0,0,0,0,0.0,0.714286,0.0,0,0.2,0,0.0,0,0.25,0.6,1.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.162621,0
156391,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25,0.0,0.0,0.111111,0.0,0.333333,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.175873,0
4488,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.333333,0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.375897,0
6604200,0.3,0.333333,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.2,0,0.0,0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0.430024,0
4539,0.4,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.333333,0,0.4,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.333333,0.5,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.207214,1
4583,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.5,0.714286,0.333333,0,0.6,0,0.0,0,0.5,0.0,0.5,0.444444,0.0,0.333333,0.5,0,0,0,0.333333,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.213058,0
54675779,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.75,1.0,0.0,1.0,0.0,0.333333,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.232355,0
4680,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.171552,0
1318,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.111111,0.0,0.0,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.242044,0
4756,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,1.0,0,0,0.216622,0
4763,0.3,0.666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.75,0.6,0.0,0.0,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.226265,0
4781,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.8,0,0.0,0,0.5,0.0,0.0,0.222222,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0.153606,0
1017,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.5,0.0,0.0,0.111111,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.332337,0
4828,0.4,0.333333,1.0,0.5,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0,0.0,0.5,0.111111,0.0,0.666667,0.333333,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0983689,0
54676228,0.7,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.25,0.0,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.329927,0
4914,0.3,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.25,0.0,0.5,0.111111,0.0,0.666667,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.08553,0
4946,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0,0.0,0.5,0.222222,0.0,0.666667,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0939154,0
3034034,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.2,0,0.0,0,0.0,0.0,0.0,0.444444,0.0,0.0,0.333333,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.117782,0
3001055,0.3,0.333333,0.5,1.0,0.0,0.5,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,0.666667,0,0.0,0.0,1.0,0.0,0.0,0.0,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.165716,0
56208,0.7,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.666667,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.27448,0
60464,0.4,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.571429,0.666667,0,0.6,0,0.0,0,0.5,0.0,0.0,0.555556,0.0,0.666667,0.5,0,0,0,0.666667,0.0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.212379,0
5320,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.333333,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.305819,0
5327,0.6,0.333333,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.666667,0.5,0,0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0.5,0,0,0.263083,0
5339,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.666667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.354378,0
5340,0.5,0.333333,0.5,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.333333,0,0.0,0.0,0.0,0.0,0.5,0.0,0.333333,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.417195,0
1548887,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.333333,0,0.0,0,0.0,0,0.25,0.0,0.0,0.333333,0.0,0.333333,0.0,0,0,0,0.333333,0.0,0,0,0.0,1,0,0,0,0,1,0.0,0,0,0.267592,0
5411,0.3,0.333333,0.5,1.0,0.0,0.5,0.0,0,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.25,0.0,0.5,0.111111,0.0,0.333333,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0648016,0
54675776,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.75,1.0,0.0,0.777778,0.0,0.333333,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.220066,0
